year,manure_N_applied,NO3_runoff,NH4_runoff,NH4_erosion,active_N_erosion,stable_N_erosion,fresh_N_erosion,NO3_drainage,NH4_drainage,active_N_drainage
,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha
1980,520.0,0.8608070134254093,0.3539210135911684,5.4616433955379376e-05,0.11313226581769804,0.030046198776105867,0.0018429834383088834,35.65901966501061,0.36349812152434013,0.19663553921236693
1981,24440.0,6.0183503949332176,18.120058212388134,0.0024080641089450783,2.6484440518895824,0.7820663729059768,0.021013775290998273,248.05206481344948,29.621747899369787,9.721299740936772
1982,0.0,0.9924355313632424,9.564553903192698,0.0013120574165405726,3.598669782116686,2.096853416037119,0.01767038596000154,117.26708406818234,42.67010447677285,43.508339102474835
1983,0.0,0.4900097755313521,4.072303622297097,0.0007016301310613916,2.2976911408184377,2.5759414419562376,0.009526652287728664,23.24841034853537,26.555577023188597,91.32125721342202
1984,520.0,2.2313627917353904,13.776349820975055,0.0031948796799645867,2.4814094974424763,3.897496861359622,0.05672158198741687,27.757430136947523,34.10953611045736,137.00792755627526
1985,31200.0,46.27165868568149,49.721953758455044,0.005616359682831705,6.851379725485309,4.842127901541363,0.10039622195510482,1290.3063115792436,97.10143482818104,210.11909549825162
1986,42640.0,20.24143562941952,45.38424548435184,0.006076026314973716,14.050625267989716,8.581544203219751,0.03653594803829161,972.8635215444536,71.28111790372776,228.66759295073945
1987,0.0,6.795740587144232,25.81155058598074,0.004182967461316542,9.451339004806352,10.53832345803179,0.009875791234895145,778.1017217418193,87.27602473574274,320.56244616113486
1988,520.0,2.309987431983053,8.46804190409457,0.0008575377481792563,2.2339130784681713,3.5819650871361546,0.01322410902986855,406.6135839218906,82.04671125111676,349.1724906391928
1989,43160.0,29.42342184840339,26.35688735127268,0.0034504118479598404,4.939420858717816,5.309201373928365,0.07538944198692692,753.3638470257097,45.54732769017899,230.77274282003313
1990,10000.0,15.399130241330557,44.34272114630639,0.004698090068677446,8.40250468816863,11.780918960396237,0.02422297985147011,2347.7517294462377,159.29788964140093,521.7811317852597
1991,0.0,11.34314949496989,22.15206042622423,0.003291013791890065,11.396760054474289,26.06487018741923,0.010069357580492346,1197.0965083518865,129.0959178125071,732.493505554475
1992,520.0,1.6832487120467445,16.14491468297302,0.0017689256055254134,5.481024415741924,18.736811551563218,0.06678878663295867,204.99310435698476,94.45629944341003,702.5698721582078
1993,57720.0,59.10486761142318,188.2152969808367,0.021201973311213835,15.519436874199329,24.43154661430067,0.4590879621576905,1630.7736917258876,354.4717724307113,1254.5157236053528
1994,0.0,11.722399239562444,37.24391850986773,0.003755748633901542,6.326031514910892,15.606661373040586,0.021036162988383345,2322.555630179373,186.20456456580405,1102.3116621755858
1995,0.0,2.833294922668517,16.08167047539646,0.0021977330841546254,5.617210040704103,22.16204357641293,0.00779163839905358,788.2916158446862,157.33162697704384,1311.075921552604
1996,520.0,3.177111486456057,24.387176674993825,0.004936550160359465,5.734266718709868,29.79960180238641,0.05725577004314952,257.29058682538937,102.34467603682174,785.1121876384389
1997,41600.0,37.47832247127854,144.6595952256567,0.01665046979311349,8.563028460328152,21.76222396109866,0.3534565799424023,1459.4499010966638,234.1494345111954,1181.222591229433
1998,0.0,19.620628035590144,41.412322881522755,0.00583865167627119,10.988232209165897,40.61505209727661,0.08312426554561222,2151.214624754936,209.95975064271173,1183.9430248641509
1999,39000.0,8.429915730041989,40.354196855420646,0.006551146632222852,15.159306650124746,38.64271867528525,0.04617259817464353,1116.03092352874,157.1436938019334,1276.154328284562
2000,520.0,9.31356597190556,74.61758713996234,0.015741499681673817,23.030670316352538,86.13834635282093,0.1317302250602874,937.4257557665937,222.7906687665308,1361.5296009576373
2001,59280.0,82.13614383573929,148.01303134879836,0.01636406875197153,14.815077305860582,35.66545642665538,0.2088213082988615,2773.737948658266,414.24677129678565,1900.7061698534517
2002,0.0,4.87572336498236,26.74581812639749,0.0029580407942140403,8.168237777238769,26.63827093334018,0.033182916280400765,1282.831716058137,157.72170197160784,879.7225237569995
2003,0.0,11.689195914826174,29.693828504282102,0.003900664053145723,9.128741841065587,49.37003944774292,0.00899266882196336,1292.0451886244605,177.1940331485476,1206.6182585970764
2004,520.0,2.37953119727504,37.62372056280089,0.007635096224828401,11.564317688032597,80.67733849694521,0.1165498160727553,525.3092274122749,185.3903387757898,1669.8272888969054
2005,45240.0,60.39025602282915,56.76825316743091,0.007952805632163492,9.286797638131441,36.63779929186259,0.1257876460594649,1473.224895577578,173.3633565705451,963.7179054598657
2006,48880.0,35.95582761525151,61.94222017916666,0.008930716926943758,19.598206072534747,55.38020397218821,0.04760887135781076,3444.186499594445,280.68220939323226,1653.0875519897672
2007,0.0,17.83307131929497,53.05112595774056,0.007581944368682355,19.852914727130134,87.72026851882359,0.01058595701503326,1543.327726231491,189.35697444384095,1679.5095181005304
2008,520.0,8.097924010568818,58.90302041530188,0.013241562225532475,33.049416908660895,197.79265281618817,0.15192941840391117,508.7441598057676,204.36186495544385,1545.0289200387313
2009,21840.0,39.84868575189613,147.30629252176226,0.016302902307883484,10.175090765596126,54.9205922127476,0.4081513733923508,1434.7226072239482,332.04168313483314,1553.7090702179437
2010,10000.0,22.720871391944165,56.66163882504889,0.006817079588982987,11.050111656157787,73.13773014021204,0.052855036564931984,2254.374758933019,180.65722534283896,1632.78135505832
2011,49520.0,17.584615830391993,36.91262641090028,0.006137942038351419,15.488987619129704,64.96133757970713,0.034185572141645165,1133.6141085882898,184.61046642724673,1188.2119056879394
2012,10520.0,11.879562219163484,36.43849598978908,0.00471972827919567,7.932163704206405,38.532284884339624,0.027730345305014545,1338.5450198694618,148.26750064935825,856.4780527259189
2013,68240.0,49.06995885104256,129.20614554610083,0.014731513146405889,18.64569708769829,60.31218328965971,0.2791153593843131,2320.6426679032365,339.3553591518912,1634.6776885979484
2014,10000.0,19.813563769836737,64.58227696437667,0.010140505700759908,21.9314744296141,91.04418842145834,0.04223751505347015,2429.1815480352698,224.72585111189707,1303.5776919998546
2015,10000.0,19.733670878690134,59.78813270274845,0.010117690278481521,22.971047799738994,124.31182434232676,0.011359549177948921,2033.908005894995,265.71809724723965,1625.2234200147968
2016,10520.0,12.771154895806495,53.15448079249766,0.006686302759154866,13.705412181829715,89.2907707041372,0.03868158708169863,1466.2041534673801,219.51438493013464,2229.014054202453
2017,25480.0,33.966663008483536,88.13546775439144,0.009863308965900021,7.317120574304325,44.044061535448385,0.1796945968197715,1275.4790263292007,274.61281030363074,1991.236401045696
2018,30680.0,40.43058645066963,77.14788854589158,0.010436635341969501,26.053570505121147,145.7912755884321,0.08659000611528299,3727.6853584307214,278.01581658454467,2424.4305658272797
2019,41600.0,18.162491425220097,71.5839959434156,0.010522752655428036,29.539272681259945,155.18941341192217,0.03787119262079621,1704.1442263222352,284.5475617188332,2633.6282651805955
