year,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,CH4_emissions
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,171065239.90978906,333220831.9076099,290493673.987662,24723789.95059074,42316985.46559742,498940283.07021844,272635226.1062262,677818572.6378781,37085684.9258861,239796250.97171882,695325.4175563302,161442.4746770065
2010,2486360514.3603754,4843223085.264481,3242862137.0614815,273663860.75314957,473782130.05917466,6752944550.480872,3690001843.6556187,6888859747.172256,373410106.2038376,2444969152.6969376,2073150.9484465658,2375415.435967756
2011,7584320185.195876,14773623694.07948,8928215297.455912,755297609.8468074,1291835302.2691977,14869049039.936905,8124873225.394111,13265824040.920328,722450623.6404852,4635634642.523459,2068490.6158465554,5166244.210488917
2012,12578689362.739368,24502238654.502728,14053675702.046518,1172162028.6439617,2011747356.0280373,14566910101.168478,7959775876.709987,11959407610.711454,625296628.1957304,4079501637.9667583,1393568.127866424,5049454.17546443
