year,NO3_average,NH4_average,active_N_average,stable_N_average,org_N_average
,kg,kg,kg,kg,kg
2009,15.273329064318743,0.10001557032019374,0.0,0.0,0.0
2010,591.0874173692467,344.3841737714132,1835.23705404672,96.1681638889723,0.0
2011,211.32100835095554,8.434734898035432,4143.838117461375,678.8430361313026,0.0
2012,65.98898991170563,6.530858996469003,4671.442644519864,1348.0751263904508,0.0
