year,actual,calculated,difference,delta,runoff,evaporation,transpiration,drainage
,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
2009,262.89,262.89,0.0,0.929,66.762,60.291,4.396,130.513
2010,1027.43,1027.43,0.0,-1.891,278.768,285.668,80.861,384.024
2011,872.49,872.49,-0.0,3.435,204.331,230.259,129.982,304.483
2012,582.168,582.168,-0.0,-0.693,96.23,224.314,101.049,161.269
2013,941.07,941.07,-0.0,-1.757,270.744,227.173,143.201,301.709
2014,892.048,892.048,0.0,-0.258,247.271,162.933,146.192,335.909
2015,922.528,922.528,0.0,3.839,243.942,123.929,152.083,398.735
2016,774.192,774.192,-0.0,-0.33,204.463,76.681,145.875,347.503
