year,manure_applied,ET_max,ET
,kg,mm H20,mm H20
2009,0.0,95.05947083362915,63.77478450831217
2010,0.0,501.3493347841903,366.59322853159654
2011,0.0,494.7423604455094,356.9545495698446
2012,0.0,568.5055201229012,325.97150061987895
2013,0.0,545.6072352414698,359.4151502261891
2014,0.0,473.2698954877458,291.9499815263315
2015,0.0,501.00671137435876,268.3635215198418
2016,0.0,400.6623759419546,215.8453114400226
