year,NO3_average,NH4_average,active_N_average,stable_N_average,org_N_average
,kg,kg,kg,kg,kg
2009,6.530542785703622,0.07914950195459021,0.0,0.0,0.0
2010,19.023759574108773,16.18193355891035,5600.815689235717,1281.3066246837097,0.0
2011,158.34428649231015,35.888780914312896,12105.64012117512,4218.3503971345735,0.0
2012,362.0787632714131,102.11741856511638,16727.90584501684,7440.791368173574,0.0
