year,NO3_average,NH4_average,active_N_average,stable_N_average,org_N_average
,kg,kg,kg,kg,kg
2009,6.530542785703622,0.07914950195459021,0.0,0.0,0.0
2010,46.40900460444812,17.401992281899496,29997.18092647769,7512.001025667632,0.0
2011,86.58562651334604,15.5719468829113,31079.769372452723,14860.258219772082,0.0
2012,61.34633989741803,16.17452774781739,30632.707535611757,20420.921490162506,0.0
