year,DM,NDF,C,N,P,CP,NPN,C_loss,CP_loss
,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,8048074.857102237,0.0,8048074.857102237,8048074.857102237,8048074.857102237,8048074.857102237,898.1606822000908,509170.68537580647,48.87427728382162
2011,32504303.68505392,0.0,32504303.68505392,32504303.68505392,32504303.68505392,32504303.68505392,3491.399180876427,1846932.0316263027,198.32786716226482
2012,31016251.128603484,0.0,31016251.128603484,31016251.128603484,31016251.128603484,31016251.128603484,7088.683458087116,4248410.229976729,391.50863795384754
2013,28945933.314532522,0.0,28945933.314532522,28945933.314532522,28945933.314532522,28945933.314532522,6546.865493542575,4747766.864376102,329.2722447202283
2014,27330454.813474398,0.0,27330454.813474398,27330454.813474398,27330454.813474398,27330454.813474398,10779.381109186716,4954870.577312941,621.186506534652
2015,25393914.852900222,0.0,25393914.852900222,25393914.852900222,25393914.852900222,25393914.852900222,8476.129534251068,4445440.871694936,475.2790796058292
2016,17345425.981744874,0.0,17345425.981744874,17345425.981744874,17345425.981744874,17345425.981744874,2675.3451597592507,2763787.9760797773,119.36743138654028
