year,j_day,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,WIP,WOP,CH4,WOP_frac,WIP_frac
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,%,%
2009,244,15065.878179769259,29347.075204342193,18852.480693280035,1719.3901696634393,2908.847297698525,43942.144690993664,24011.243349007247,43989.121617653414,2579.0852544951586,16483.46802029164,624.6443364747613,62.46443364747613,137487.31848563382,0.0014064462929822296,0.014064462929822297
2009,245,30131.766513285897,58694.170187338146,37712.99987473138,3804.4380807239577,5820.321807439555,87884.31899708386,48022.502880549386,87996.99970770653,5706.657121085936,32981.82357549081,1264.9968678971159,126.4996867897116,274988.0654619768,0.001424130062552134,0.014241300625521338
2009,246,45197.66561982475,88041.28615528363,56581.52608496617,5889.501503555004,8741.941111051434,131826.52472448885,72033.77958159569,132023.56086492108,8834.252255332505,49537.66629595812,1905.3054742949198,190.530547429492,412502.7598770524,0.0014299913418043477,0.014299913418043476
2009,247,60263.57516468572,117388.42245621071,75457.98401093326,7974.580584385087,11661.745316027645,175768.760897,96045.07291871787,176068.6293588443,11961.870876577628,66083.22345748998,2545.567351408451,254.55673514084515,550031.0146356265,0.0014328954278581259,0.014328954278581255
2009,248,75329.49493462798,146735.57867474406,94342.38108935756,10059.675727933929,14572.074738090352,219711.02689266493,120056.38255206334,220132.22254183434,15089.513591900892,82575.090182512,3185.784158704397,318.5784158704398,687572.5946905911,0.001434617388013216,0.014346173880132155
2009,249,90395.42436980308,176082.75372034556,113234.68520677875,12144.787308979201,17493.130406102442,263653.32107859233,144067.70758937366,264214.26548248384,18217.1809634688,99127.73896791384,3825.94875409841,382.5948754098411,825126.9511779398,0.0014357456139632216,0.014357456139632211
2009,250,105461.36305445344,205429.94678315407,132134.9033867764,14229.915709756526,20422.016522556994,307595.64224215585,168079.04736803516,308314.774569145,21344.873564634785,115724.76029448965,4466.057459524575,446.6057459524576,962693.6870340068,0.0014365333858503148,0.014365333858503146
2009,251,120529.70648688804,234781.82409425065,152860.13871828574,16381.053030163928,23705.262333487233,351544.9772534235,192094.21971347783,356673.6570093335,24571.579545245888,134329.81988976098,5111.013165929203,511.1013165929204,1098048.851250953,0.0014384596969227986,0.014384596969227982
2009,252,135598.05824217244,264133.71761756507,173593.58738104207,18411.468101988852,27166.14256356601,395494.33653966966,216109.40532346233,405051.70388909825,27617.202152983275,153941.47452687405,5727.214189044908,572.721418904491,1233415.6003730535,0.0014327643021941143,0.014327643021941141
2009,253,150666.41830737086,293485.62732789945,194335.25338274956,20441.90588613765,30608.33164111387,439443.720063165,240124.6041773723,453448.9245597491,30662.85882920647,173447.2126329786,6343.395426429514,634.3395426429516,1368793.9257196202,0.001428203582256739,0.014282035822567384
2009,254,165734.78651688906,322837.55290269013,215085.10125569836,22472.366574843796,34059.86837297375,483393.12734092644,264139.8160112919,501865.2362632962,33708.54986226569,193005.92078018462,6959.556704721126,695.9556704721127,1504183.6217013765,0.0014244680149083013,0.014244680149083009
2009,255,180803.1626990188,352189.49400746374,235843.0953794006,24502.85035202632,37513.44616718269,527342.5578721382,288155.0405515612,550300.555885268,36754.27552803948,212576.19494736858,7575.697280958539,757.569728095854,1639584.4818869466,0.0014213511547740618,0.014213511547740615
2009,256,195871.54665595188,381541.45025690633,256609.2393707555,26533.357414523274,40952.54709884391,571292.0110798597,312170.2774829233,598754.8918650962,39800.03612178491,232064.43356011555,8191.8173698327055,819.1817369832706,1774996.2980168897,0.0014187102496186097,0.014187102496186096
2009,257,210939.93858478265,410893.42203494126,277383.5367198295,28563.88795227025,44398.013899599864,615241.4875389495,336185.52711949736,647228.2523462687,42845.83192840537,251588.74543106594,8807.918805253978,880.7918805253978,1910419.2223827397,0.0014164435945469278,0.014164435945469279
2009,258,226010.56592940527,440249.74821665406,295818.88081634307,30706.17341163526,47445.05991003843,659197.4839607654,360204.33944998967,690244.0552381338,46059.26011745289,268855.33949021786,9447.360130400635,944.7360130400637,2047945.602558766,0.001417968312056714,0.014179683120567136
2009,259,241081.1996277021,469606.08677479473,314262.441105907,32748.754104162195,50655.60649517554,703153.4989141311,384223.1619066502,733279.0292471164,49123.1311562433,287048.43680599483,10064.87418445858,1006.4874184458581,2185481.626659101,0.0014162170024747498,0.014162170024747497
2009,260,256151.84026231934,498962.4388443096,332714.2210546938,34791.357635286295,53875.5491841725,747109.5340984315,408241.9954180714,776333.1824609523,52187.036452929446,305294.77871031093,10682.382926568536,1068.2382926568537,2323027.809281851,0.0014146710269082447,0.014146710269082445
2009,261,271222.48783325707,528318.8044251987,351174.224008961,36833.98418711681,57087.13314585801,791065.5895136665,432260.83998425334,819406.5226875758,55250.97628067522,323493.7544931955,11299.887063687816,1129.9887063687815,2460584.1238281294,0.0014132962453720364,0.014132962453720366
2009,262,286293.1423405152,557675.183517462,369642.45319783734,38876.633935388636,60302.50070640417,835021.6651598361,456279.695605196,862499.0574616205,58314.95090308296,341714.17066962377,11917.387276896417,1191.7387276896416,2598150.544049671,0.001412065703387768,0.014120657033877684
2009,263,301363.803394269,587031.5753617532,388118.91173605237,40919.30704961086,63523.00804572304,878977.7598999513,480298.5616596161,905610.7940507889,61378.9605744163,359963.7122590974,12534.885529305877,1253.4885529305875,2735726.6815173742,0.001410957984367037,0.01410957984367037
2009,264,316434.4707931788,616387.9795658796,406603.602626611,42962.00369321234,66724.45752756837,922933.8731467716,504317.4378266286,948741.7394620924,64443.005539818514,378105.2593228876,13152.379854097595,1315.2379854097594,2873312.339041737,0.001409955329552267,0.014099553295522671
2009,265,331508.21152577724,645750.3703679201,426374.7751103356,45122.40523488653,69897.41846846284,966898.9502835169,528341.2121192074,994874.4752574498,67683.60785232979,396085.3713212895,13799.703424107945,1379.9703424107945,3018333.749627829,0.0014120831149282275,0.014120831149282276
2009,266,346581.9576499556,675112.7716723093,446154.2115695125,47272.79907097445,73078.42436285203,1010864.0431457037,552364.9950046166,1041026.4936621957,70909.19860646166,414111.07138949493,14449.965907479173,1444.9965907479173,3163363.777677148,0.001414313443416163,0.014143134434161632
2009,267,361655.70876393747,704475.1826964198,465941.9167062791,49423.22053577474,76247.96714270659,1054829.1505614843,576388.7858425252,1087197.8056479846,74134.83080366209,432071.8138086708,15100.230854935833,1510.0230854935835,3308402.025999871,0.0014163580640883548,0.014163580640883546
2009,268,376729.4644825144,733837.6026898979,485737.8924326989,51573.66973334527,79414.96133130508,1098794.2714073337,600412.5840190073,1133388.4156762976,77360.50460001788,450018.1142107289,15750.49588895025,1575.0495888950252,3453448.139138649,0.0014182390559313275,0.014182390559313274
2009,269,391803.22525072563,763200.0325196426,505542.06018403335,53724.14663295197,82580.18921495497,1142759.406981283,624436.3902433439,1179598.1404294113,80586.21994942793,467954.40555141156,16400.760538532533,1640.0760538532534,3598502.4600432366,0.0014199752622510132,0.014199752622510131
2009,270,406876.98988077923,792562.4698719346,525354.4217016374,55874.65132936246,85742.06650632361,1186724.5538189395,648460.2026224919,1225826.9839704877,83811.97699404367,485871.7102025005,17051.02417032414,1705.1024170324142,3743563.8950831946,0.0014215827261377177,0.014215827261377175
2009,271,421950.75819688477,821924.9144043485,545174.9393584811,58025.18389729619,88906.2792451648,1230689.7114075806,672484.020876285,1272074.858503123,87037.77584594427,503802.24905593396,17701.28491376268,1770.128491376268,3888632.257807955,0.0014230750953385218,0.014230750953385218
2009,272,437024.30930944445,851286.9358423554,567909.4564708582,60218.31695292549,92438.4103423612,1274654.2354858797,696507.4929619271,1325122.0650986696,90327.47542938821,523817.6586067135,18358.0815354079,1835.80815354079,4026445.2681517573,0.0014249725448328904,0.014249725448328903
2009,273,452097.86400208983,880648.9642540709,590652.275344856,62216.15554250965,96306.73371950215,1318618.7700060955,720530.9707533306,1378188.6424713312,93324.23331376446,545738.1577438456,18970.41792410757,1897.0417924107571,4164265.1917239632,0.0014234074710895775,0.014234074710895772
2009,274,467171.4223021809,910010.99969279,613403.3533942647,64214.02124368081,100167.97515733771,1362583.3150480278,744554.4542941008,1431274.4912532847,96321.03186552119,567618.5258915805,19582.762431656138,1958.276243165614,4302092.011672492,0.0014219439719023405,0.014219439719023402
2009,275,482244.98339814966,939373.0405776458,636162.6959572912,66211.9143469536,104026.70475951485,1406547.8682446033,768577.942290801,1484379.6239003465,99317.87152043039,589484.6603039176,20195.112920153744,2019.5112920153745,4439924.991181053,0.001420572374545076,0.01420572374545076
2009,276,497318.5469034633,968735.0861557047,658930.3039457111,68209.8349019485,107888.12597165874,1450512.4284684348,792601.4341273947,1537504.042539993,102314.75235292273,611366.047172733,20807.47069053982,2080.747069053982,4577763.75866894,0.0014192844123390989,0.014192844123390988
2009,277,512392.11283786583,998097.1364654263,681706.1372167311,70207.78284647265,111749.33871368486,1494476.9957771087,816624.9298353487,1590647.6535057062,105311.67426970895,633246.2527108811,21419.833464749292,2141.9833464749295,4715608.312082532,0.0014180725532888844,0.014180725532888842
2009,278,527465.6814002651,1027459.1918942666,704490.1965603082,72205.75822351691,115609.57947133787,1538441.5707507734,840648.4297316726,1643810.4586407195,108308.63733527534,655120.9503375815,22032.20153367672,2203.2201533676725,4853458.818381184,0.0014169302911076023,0.01416930291107602
2009,279,542541.6086983886,1056825.8419437364,723774.8426877556,74280.99084246607,118762.94585495204,1582413.0253703003,864675.688863057,1688807.96627143,111421.48626369907,672990.0265113951,22663.042504857207,2266.304250485721,4997996.0532853585,0.0014170003582202636,0.014170003582202636
2009,280,557617.5379719988,1086192.4958412896,743067.8173861466,76378.27840758086,121997.72190692839,1626384.4857516633,888702.9511428733,1733824.9072343423,114567.41761137126,691320.4241392611,23302.335703213175,2330.2335703213175,5142538.688893164,0.0014175808167539122,0.014175808167539123
