year,actual,calculated,difference,delta,runoff,evaporation,transpiration,drainage
,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
2009,262.89,262.89,0.0,0.929,66.818,63.775,0.0,131.368
2010,1027.43,1027.43,-0.0,-1.542,269.469,237.526,133.173,388.804
2011,872.49,872.49,-0.0,3.509,209.236,177.71,136.033,346.002
2012,424.434,424.434,0.0,-23.227,59.847,153.076,117.016,117.721
