year,manure_N_applied,NO3_runoff,NH4_runoff,NH4_erosion,active_N_erosion,stable_N_erosion,fresh_N_erosion,NO3_drainage,NH4_drainage,active_N_drainage
,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha
1980,0.0,0.13393948076068007,4.446716051792262e-05,4.968286684275413e-08,3.0588339844547346e-05,0.0015456672206029176,0.0,19.264901434807435,0.0018372060469653987,0.04345132416547121
1981,0.0,0.04100544865310116,3.5067829846604514e-05,1.5935274414706052e-08,1.1642707514812663e-05,0.0005963972307382137,0.0,13.22277933998365,0.003046780312560923,0.023573363737956307
1982,0.0,0.03725560822142407,6.037710224942746e-05,4.658457075542714e-08,4.652214653379883e-05,0.002453915104504473,0.0,15.289777027344785,0.003149630911147154,0.023783300119721844
1983,0.0,0.00681802591523347,8.999774533640289e-05,8.504075143482566e-08,9.236294182170357e-05,0.005024024951053214,0.0,25.313513488635902,0.0047688616937157265,0.03570047726644179
1984,0.0,0.0014113097657222494,2.7078222649577276e-05,5.830963563350195e-09,1.0622716359776856e-05,0.0005842479783437635,0.0,14.150319425320916,0.0026734337834699064,0.019462388189579342
1985,0.0,0.0009527311236925504,0.00012912523852592892,1.3528536881757253e-07,0.00011086693764010186,0.006128028253010648,0.0,9.53193826865142,0.002046491652756152,0.013283705799644137
1986,0.0,0.000296210410754806,5.037632084084422e-05,8.493815572825447e-09,1.0762192913964188e-05,0.0005971571233575536,0.0,16.00936409469742,0.003488836955080403,0.022796898492329565
1987,0.0,9.4393848393825e-05,7.379462815048836e-05,1.499037068955667e-08,9.442813511107677e-06,0.0005266542845022859,0.0,9.448948044562483,0.001964846963906345,0.014090121396350302
1988,0.0,3.885376014100893e-05,3.295299030397677e-05,2.5670879056914645e-08,2.5200231973583272e-05,0.0014070240903371158,0.0,11.574844751598453,0.0021588552000848006,0.017904786859212565
1989,0.0,8.914506924644681e-06,1.007265601060315e-05,8.304600272569475e-09,1.0513604679796864e-05,0.0005870776922121704,0.0,10.673438135085975,0.0023879199321066996,0.01756474852582106
1990,0.0,2.091287644495083e-05,3.515918002317563e-05,1.8169979856381435e-08,1.202425720768188e-05,0.0006723105765113228,0.0,7.847240752234205,0.0019691874061102035,0.013648875480389058
1991,0.0,1.5103280546966127e-05,1.9655803009249455e-05,9.166975252892227e-09,6.635545941821244e-06,0.0003695465063414811,0.0,7.353995766092699,0.0017060359983791051,0.013580198616359996
1992,0.0,0.00013987132946460766,0.00011598074881893208,8.94637757185756e-08,7.573831254918751e-05,0.004182282679012916,0.0,3.7738727206040483,0.000897311957081929,0.007293432546769074
1993,0.0,5.326707670922306e-05,4.5015768065499936e-05,4.2911332511655506e-08,5.260392859919261e-05,0.0029219292572379586,0.0,10.231407820443362,0.0029713001064725587,0.02095341565120361
1994,0.0,9.902229813652381e-05,0.00011356773725634758,7.836876749083184e-08,6.91919447991738e-05,0.0038584693048026248,0.0,7.145917832996835,0.0020298391557020175,0.01609985689248695
1995,0.0,2.072992386771722e-05,3.637652704710637e-05,1.837480053809239e-08,1.8061978352635304e-05,0.0010228779529596556,0.0,17.482706163986556,0.005965004935669614,0.045924902376726154
1996,0.0,5.736835300248171e-05,0.00011238494686329009,4.586201507145428e-08,5.821276851331614e-05,0.0033614838418641246,0.0,9.882948296364875,0.004029119976919088,0.03228842603507882
1997,0.0,9.922668472179746e-06,1.8901377921896022e-05,7.452597617188748e-09,1.1388254150096556e-05,0.0006641194421057802,0.0,4.27187695123884,0.001959966885264227,0.01605432799369906
1998,0.0,5.350280587270796e-05,8.139948037040708e-05,2.0097186391364702e-08,1.5321125445792478e-05,0.0008904487950875487,0.0,7.481313325551319,0.004267741226071477,0.03245902909749656
1999,0.0,1.7338561984182246e-05,3.467234442385345e-05,1.3080837297377794e-08,1.2490302429376229e-05,0.0007324242074316415,0.0,4.587587418310783,0.003189204135510479,0.023665103327956606
2000,0.0,2.685769852710744e-05,5.915569056392695e-05,3.9592057731620496e-08,2.757860638992825e-05,0.0015924607676532816,0.0,2.787404370595535,0.0022012315793055416,0.01634278801281184
2001,0.0,8.783936742997736e-05,0.00012500301930039876,1.405359171817911e-07,0.00010386256594718144,0.0059001747612015005,0.0,1.4362389401591475,0.0011093169872305575,0.009130116838599638
2002,0.0,2.97899131586024e-05,4.6025468722525576e-05,2.288127924479673e-08,2.2934344091353752e-05,0.0013008510746171614,0.0,0.656217869593536,0.0005802193908099381,0.004363240622349356
2003,0.0,1.6414046056059054e-05,2.0694772984730103e-05,1.869439514259917e-08,1.3232105749075332e-05,0.0007382382973177172,0.0,2.436119092370063,0.0021669687113878328,0.017253974583874204
2004,0.0,0.00010943280415926841,0.00012473937021544127,1.15621922939543e-07,8.126727210066747e-05,0.004561573766041873,0.0,1.550446283122951,0.0014857974297414777,0.012106625193857265
2005,0.0,8.647863209295394e-05,0.00012273790960586512,7.702336077249292e-08,6.472045705425691e-05,0.0036632663145633507,0.0,3.6889997265125296,0.004790070046744199,0.03319068329520834
2006,0.0,1.550202210446925e-05,4.066473135730172e-05,2.0965856802101182e-08,2.242715479906485e-05,0.0013001960070079084,0.0,3.798379209701555,0.00542247170131463,0.04407065456729288
2007,0.0,1.3116675235123208e-05,3.384747270856144e-05,1.7057284064570873e-08,1.2553376866129837e-05,0.0007229893331228351,0.0,0.6943159618863324,0.0011273416094483416,0.009661476824933833
2008,0.0,4.6907482458462656e-05,9.67914291548932e-05,1.8398137023752635e-08,1.4654812874074986e-05,0.0008350857385153678,0.0,0.753840018085015,0.0014200604731660876,0.011264265716367917
2009,0.0,4.790044948045461e-05,7.913866037714317e-05,7.600576665223394e-08,6.113435233319234e-05,0.0034865919495222965,0.0,1.382884646578552,0.0030106952806560664,0.0231235816789019
2010,0.0,6.410416491046397e-05,0.00010561436795752836,6.749749569102886e-08,5.911615020034592e-05,0.003383186271785636,0.0,1.2624342534629736,0.003100014144779863,0.024781224007895238
2011,0.0,2.0831780232186606e-05,3.7696150409697006e-05,8.81186365389198e-09,1.1168487462913827e-05,0.0006414989268813594,0.0,0.778392019537733,0.0023746376647600775,0.017681470728020003
2012,266.4,6.105708047030634e-05,0.008676502230066507,5.092828111058602e-06,0.0016807535379895107,0.0014887147167371572,0.00013184874686725522,0.4228168081111267,0.0047731505955811845,0.020011766718225958
2013,329.4,1.073802803519718,12.932154522850261,0.002285712380350417,0.6779688856735444,0.3020797396038578,0.08520881406612033,0.030687723804065092,0.15863478991840188,0.09431128397825767
2014,216.0,2.030209209105164,22.026822005768253,0.0019762822148815026,0.6875877302021295,0.33417587905179447,0.05075110606530355,1.1338139409869181,0.4667099949168551,0.2018125126364559
2015,270.0,4.2513402497896156,71.49448769337704,0.0036795204669101836,0.4009159726266795,0.24308219181635501,0.15069183004747294,0.4541809522236836,0.9563172925919831,0.12651965866178713
2016,433.79999999999995,14.577602494014371,119.98831279919355,0.008018632575264025,1.1982952676529124,0.7311155967212462,0.19206071603319969,10.827466349791981,5.085983698950787,0.4202180336476138
2017,0.0,0.08160234811172637,1.664449651852277,3.038042112197402e-05,0.001653283363731678,0.0011495417658701388,0.0012201890697913374,1.7640818132220057,0.13192934765806313,0.035316732794855796
2018,0.0,21.3511744370079,12.702436577733945,0.0015758408142767005,0.026130140254837633,0.018857296004340506,0.01866242280376103,1.7672760758640014,0.2008496504199484,0.03857404619024379
