year,j_day,manure_applied,manure_N_applied,active_N_l1,stable_N_l1,profile_N,fert_N_applied,N_uptake,biomass,bio_N,yield_actual
,,kg,kg,kg,kg,kg,kg,kg,kg ha^-1,kg N ha^-1,kg ha^-1
2009,306,0.0,0.0,0.0,0.0,97.17053852572914,0.0,0.0,0,0,0
2009,307,0.0,0.0,0.0,0.0,97.17053782437941,0.0,0.0,0,0,0
2009,308,0.0,0.0,0.0,0.0,97.17053724537317,0.0,0.0,0,0,0
2009,309,0.0,0.0,0.0,0.0,97.17053675817633,0.0,0.0,0,0,0
2009,310,0.0,0.0,0.0,0.0,97.17053630787967,0.0,0.0,0,0,0
2009,311,0.0,0.0,0.0,0.0,97.17053560317854,0.0,0.0,0,0,0
2009,312,0.0,0.0,0.0,0.0,97.17053479347719,0.0,0.0,0,0,0
2009,313,0.0,0.0,0.0,0.0,97.1705338643906,0.0,0.0,0,0,0
2009,314,0.0,0.0,0.0,0.0,97.17053301406276,0.0,0.0,0,0,0
2009,315,0.0,0.0,0.0,0.0,97.17053232267702,0.0,0.0,0,0,0
2009,316,0.0,0.0,0.0,0.0,97.17053176893182,0.0,0.0,0,0,0
2009,317,0.0,0.0,0.0,0.0,97.17053132026955,0.0,0.0,0,0,0
2009,318,0.0,0.0,0.0,0.0,97.17053077910964,0.0,0.0,0,0,0
2009,319,0.0,0.0,0.0,0.0,97.17053029277471,0.0,0.0,0,0,0
2009,320,0.0,0.0,0.0,0.0,97.17052990245394,0.0,0.0,0,0,0
2009,321,0.0,0.0,0.0,0.0,97.17052956005858,0.0,0.0,0,0,0
2009,322,0.0,0.0,0.0,0.0,97.17052922624976,0.0,0.0,0,0,0
2009,323,0.0,0.0,0.0,0.0,97.17052890731408,0.0,0.0,0,0,0
2009,324,0.0,0.0,0.0,0.0,97.1705285855899,0.0,0.0,0,0,0
2009,325,0.0,0.0,0.0,0.0,97.17052827446203,0.0,0.0,0,0,0
2009,326,0.0,0.0,0.0,0.0,97.17052798177983,0.0,0.0,0,0,0
2009,327,0.0,0.0,0.0,0.0,97.17052763728806,0.0,0.0,0,0,0
2009,328,0.0,0.0,0.0,0.0,97.1705272830661,0.0,0.0,0,0,0
2009,329,0.0,0.0,0.0,0.0,97.17052232873897,0.0,0.0,0,0,0
2009,330,0.0,0.0,0.0,0.0,97.16535424628104,0.0,0.0,0,0,0
2009,331,0.0,0.0,0.0,0.0,97.16529429981944,0.0,0.0,0,0,0
2009,332,0.0,0.0,0.0,0.0,95.7500252986444,0.0,0.0,0,0,0
2009,333,0.0,0.0,0.0,0.0,91.80998054714486,0.0,0.0,0,0,0
2009,334,0.0,0.0,0.0,0.0,91.8099804389482,0.0,0.0,0,0,0
2009,335,0.0,0.0,0.0,0.0,91.80998035388083,0.0,0.0,0,0,0
2009,336,0.0,0.0,0.0,0.0,91.8099802676894,0.0,0.0,0,0,0
2009,337,0.0,0.0,0.0,0.0,91.80998019432988,0.0,0.0,0,0,0
2009,338,0.0,0.0,0.0,0.0,91.80871666590231,0.0,0.0,0,0,0
2009,339,0.0,0.0,0.0,0.0,91.80871663994274,0.0,0.0,0,0,0
2009,340,0.0,0.0,0.0,0.0,91.8087166237376,0.0,0.0,0,0,0
2009,341,0.0,0.0,0.0,0.0,91.80741421362967,0.0,0.0,0,0,0
2009,342,0.0,0.0,0.0,0.0,91.80727250436944,0.0,0.0,0,0,0
2009,343,0.0,0.0,0.0,0.0,91.7431807665971,0.0,0.0,0,0,0
2009,344,0.0,0.0,0.0,0.0,91.41646449185168,0.0,0.0,0,0,0
2009,345,0.0,0.0,0.0,0.0,91.09105947929271,0.0,0.0,0,0,0
2009,346,0.0,0.0,0.0,0.0,89.8318791167393,0.0,0.0,0,0,0
2009,347,0.0,0.0,0.0,0.0,89.31039779045801,0.0,0.0,0,0,0
2009,348,0.0,0.0,0.0,0.0,89.31039779045393,0.0,0.0,0,0,0
2009,349,0.0,0.0,0.0,0.0,89.30686154416952,0.0,0.0,0,0,0
2009,350,0.0,0.0,0.0,0.0,89.01085721910614,0.0,0.0,0,0,0
2009,351,0.0,0.0,0.0,0.0,88.85394003406859,0.0,0.0,0,0,0
2009,352,0.0,0.0,0.0,0.0,88.15620491898584,0.0,0.0,0,0,0
2009,353,0.0,0.0,0.0,0.0,88.15620491898524,0.0,0.0,0,0,0
2009,354,0.0,0.0,0.0,0.0,88.15620491898356,0.0,0.0,0,0,0
2009,355,0.0,0.0,0.0,0.0,88.15620491898126,0.0,0.0,0,0,0
2009,356,0.0,0.0,0.0,0.0,88.15295645488973,0.0,0.0,0,0,0
2009,357,0.0,0.0,0.0,0.0,88.14958733346693,0.0,0.0,0,0,0
2009,358,0.0,0.0,0.0,0.0,88.10226664738518,0.0,0.0,0,0,0
2009,359,0.0,0.0,0.0,0.0,87.53455058994717,0.0,0.0,0,0,0
2009,360,0.0,0.0,0.0,0.0,86.82379114841824,0.0,0.0,0,0,0
2009,361,0.0,0.0,0.0,0.0,85.60461382419889,0.0,0.0,0,0,0
2009,362,0.0,0.0,0.0,0.0,84.44157140178075,0.0,0.0,0,0,0
2009,363,0.0,0.0,0.0,0.0,83.75093977833632,0.0,0.0,0,0,0
2009,364,0.0,0.0,0.0,0.0,83.42184065206169,0.0,0.0,0,0,0
2009,365,0.0,0.0,0.0,0.0,83.42136952711954,0.0,0.0,0,0,0
2010,1,0.0,0.0,0.0,0.0,83.42136952711954,0.0,0.0,0,0,0
2010,2,3481.6200594069755,520.0,454.7777,65.2223,83.42136952711954,0.0,0.0,0,0,0
2010,3,3500.4237271033708,520.0,909.33321115,130.66678885000002,83.07120253317036,0.0,0.0,0,0,0
2010,4,3519.128781224083,520.0,1363.6666445444248,196.33335545557503,83.07120253317036,0.0,0.0,0,0,0
2010,5,3539.8142211230424,520.0,1817.7781112221526,262.22188877784725,83.07120253317036,0.0,0.0,0,0,0
