year,actual,calculated,difference,delta,runoff,evaporation,transpiration,drainage
,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
2055,736.854,736.854,0.0,1.044,161.818,234.116,111.559,228.317
2056,713.486,713.486,-0.0,0.395,138.626,242.397,124.69,207.378
2057,879.094,879.094,0.0,-21.891,273.514,251.266,148.914,227.29
2058,925.068,925.068,0.0,21.38,234.027,222.0,126.96,320.701
2059,735.838,735.838,0.0,5.147,163.901,249.513,92.659,224.618
2060,1129.792,1129.792,0.0,-14.214,300.646,282.88,89.321,471.159
2061,1154.684,1154.684,0.0,7.269,308.59,254.8,129.779,454.246
2062,736.854,736.854,-0.0,0.966,161.593,232.419,112.913,228.962
2063,713.486,713.486,-0.0,1.4,138.614,238.551,127.068,207.853
2064,879.094,879.094,0.0,-22.92,273.613,250.25,149.612,228.539
2065,931.418,931.418,0.0,27.939,235.164,221.404,123.121,323.79
2066,732.282,732.282,0.0,0.813,164.885,249.495,87.058,230.032
2067,1126.998,1126.998,0.0,-15.467,300.905,279.339,89.539,472.682
2068,1157.986,1157.986,0.0,9.276,308.67,254.101,131.031,454.908
2069,665.226,665.226,-0.0,-11.303,155.057,199.173,113.776,208.523
