year,DM,NDF,C,N,P,CP,NPN,C_loss,CP_loss
,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,36536249.448033236,0.0,36536249.448033236,36536249.448033236,36536249.448033236,36536249.448033236,1638.1149994935608,675127.92768917,102.38218746834755
2011,147887061.7832493,0.0,147887061.7832493,147887061.7832493,147887061.7832493,147887061.7832493,10985.917058903295,4183162.251291501,674.5152196844252
2012,126791484.31170955,0.0,126791484.31170955,126791484.31170955,126791484.31170955,126791484.31170955,16455.80224534897,7024496.541510184,992.2021767320565
