year,j_day,DM,NDF,C,N,P,CP,NPN,C_loss,CP_loss
2011,309,120771213.23810314,0.0,120771213.23810314,120771213.23810314,120771213.23810314,120771213.23810314,7461.4371143055,2710407.1917210887,462.16647202187414
2011,310,121250778.35639481,0.0,121250778.35639481,121250778.35639481,121250778.35639481,121250778.35639481,7519.856756253221,2736242.8642598907,465.67607019941374
2011,311,121730343.47468649,0.0,121730343.47468649,121730343.47468649,121730343.47468649,121730343.47468649,7578.276398200942,2762078.536798693,469.18566837695334
2011,312,122244917.57507583,0.0,122244917.57507583,122244917.57507583,122244917.57507583,122244917.57507583,7639.476040125837,2788451.350759573,472.86901655306633
2011,313,122758014.53655443,0.0,122758014.53655443,122758014.53655443,122758014.53655443,122758014.53655443,7708.3206819879615,2816301.3036311674,477.0301772252561
2011,314,123271111.49803302,0.0,123271111.49803302,123271111.49803302,123271111.49803302,123271111.49803302,7777.165323850086,2844151.256502762,481.1913378974459
2011,315,123784208.45951161,0.0,123784208.45951161,123784208.45951161,123784208.45951161,123784208.45951161,7846.00996571221,2872001.2093743565,485.3524985696357
2011,316,124297305.4209902,0.0,124297305.4209902,124297305.4209902,124297305.4209902,124297305.4209902,7914.854607574334,2899851.162245951,489.5136592418255
2011,317,124810402.38246879,0.0,124810402.38246879,124810402.38246879,124810402.38246879,124810402.38246879,7983.699249436459,2927701.1151175457,493.6748199140153
2011,318,125323499.34394738,0.0,125323499.34394738,125323499.34394738,125323499.34394738,125323499.34394738,8052.543891298583,2955551.0679891403,497.8359805862051
2011,319,125836596.30542597,0.0,125836596.30542597,125836596.30542597,125836596.30542597,125836596.30542597,8121.388533160707,2983401.020860735,501.9971412583949
2011,320,126349693.26690456,0.0,126349693.26690456,126349693.26690456,126349693.26690456,126349693.26690456,8190.233175022831,3011250.9737323294,506.1583019305847
2011,321,126862790.22838315,0.0,126862790.22838315,126862790.22838315,126862790.22838315,126862790.22838315,8259.077816885008,3039100.926603924,510.3194626027745
2011,322,127375887.18986174,0.0,127375887.18986174,127375887.18986174,127375887.18986174,127375887.18986174,8327.922458747187,3066950.8794755186,514.4806232749663
2011,323,127888984.15134034,0.0,127888984.15134034,127888984.15134034,127888984.15134034,127888984.15134034,8396.767100609366,3094800.832347113,518.6417839471595
2011,324,128402081.11281893,0.0,128402081.11281893,128402081.11281893,128402081.11281893,128402081.11281893,8465.611742471545,3122650.7852187078,522.8029446193527
2011,325,128915178.07429752,0.0,128915178.07429752,128915178.07429752,128915178.07429752,128915178.07429752,8534.456384333724,3150500.7380903023,526.9641052915459
2011,326,129428275.03577611,0.0,129428275.03577611,129428275.03577611,129428275.03577611,129428275.03577611,8603.301026195903,3178350.690961897,531.1252659637391
2011,327,129941371.9972547,0.0,129941371.9972547,129941371.9972547,129941371.9972547,129941371.9972547,8672.145668058081,3206200.6438334915,535.2864266359323
2011,328,130454468.95873329,0.0,130454468.95873329,130454468.95873329,130454468.95873329,130454468.95873329,8740.99030992026,3234050.596705086,539.4475873081255
2011,329,130967565.92021188,0.0,130967565.92021188,130967565.92021188,130967565.92021188,130967565.92021188,8809.834951782439,3261900.5495766806,543.6087479803188
2011,330,131480662.88169047,0.0,131480662.88169047,131480662.88169047,131480662.88169047,131480662.88169047,8878.679593644618,3289750.502448275,547.769908652512
2011,331,131960763.2502026,0.0,131960763.2502026,131960763.2502026,131960763.2502026,131960763.2502026,8947.524235506797,3317600.45531987,551.9310693247052
2011,332,132440863.61871472,0.0,132440863.61871472,132440863.61871472,132440863.61871472,132440863.61871472,9016.368877368976,3345450.4081914644,556.0922299968984
2011,333,132920963.98722684,0.0,132920963.98722684,132920963.98722684,132920963.98722684,132920963.98722684,9085.213519231154,3373300.361063059,560.2533906690916
2011,334,133401064.35573897,0.0,133401064.35573897,133401064.35573897,133401064.35573897,133401064.35573897,9154.058161093333,3401150.3139346535,564.4145513412848
2011,335,133881164.72425109,0.0,133881164.72425109,133881164.72425109,133881164.72425109,133881164.72425109,9222.902802955512,3429000.266806248,568.575712013478
2011,336,134361265.09276307,0.0,134361265.09276307,134361265.09276307,134361265.09276307,134361265.09276307,9291.74744481769,3456850.2196778427,572.7368726856712
2011,337,134827671.87519363,0.0,134827671.87519363,134827671.87519363,134827671.87519363,134827671.87519363,9350.167086682712,3481895.462147279,576.246470858042
2011,338,135294078.65762419,0.0,135294078.65762419,135294078.65762419,135294078.65762419,135294078.65762419,9408.586728547732,3506940.7046167157,579.7560690304128
2011,339,135760485.44005474,0.0,135760485.44005474,135760485.44005474,135760485.44005474,135760485.44005474,9467.006370412753,3531985.947086152,583.2656672027837
2011,340,136226892.2224853,0.0,136226892.2224853,136226892.2224853,136226892.2224853,136226892.2224853,9525.426012277774,3557031.1895555886,586.7752653751545
2011,341,136693299.00491586,0.0,136693299.00491586,136693299.00491586,136693299.00491586,136693299.00491586,9583.845654142795,3582076.432025025,590.2848635475253
2011,342,137159705.78734642,0.0,137159705.78734642,137159705.78734642,137159705.78734642,137159705.78734642,9642.265296007816,3607121.6744944616,593.7944617198962
2011,343,137626112.56977698,0.0,137626112.56977698,137626112.56977698,137626112.56977698,137626112.56977698,9700.684937872837,3632166.916963898,597.304059892267
2011,344,138092519.35220754,0.0,138092519.35220754,138092519.35220754,138092519.35220754,138092519.35220754,9759.104579737857,3657212.1594333346,600.8136580646378
2011,345,138558926.1346381,0.0,138558926.1346381,138558926.1346381,138558926.1346381,138558926.1346381,9817.524221602878,3682257.401902771,604.3232562370086
2011,346,139025332.91706866,0.0,139025332.91706866,139025332.91706866,139025332.91706866,139025332.91706866,9875.943863467899,3707302.6443722076,607.8328544093795
2011,347,139491739.69949922,0.0,139491739.69949922,139491739.69949922,139491739.69949922,139491739.69949922,9934.36350533292,3732347.886841644,611.3424525817503
2011,348,139958146.48192978,0.0,139958146.48192978,139958146.48192978,139958146.48192978,139958146.48192978,9992.78314719794,3757393.1293110806,614.8520507541211
2011,349,140424553.26436034,0.0,140424553.26436034,140424553.26436034,140424553.26436034,140424553.26436034,10051.202789062962,3782438.371780517,618.361648926492
