year,manure_applied,manure_N_applied,manure_P_applied,fert_applied,fert_N_applied,fert_P_applied,fert_K_applied
,kg,kg,kg,kg,kg,kg,kg
2042,1.6587283219235462,608.7352606959379,300.0,0.0,0.0,0.0,0.0
2043,92.88600097380298,34089.69624670191,16800.0,0.0,0.0,0.0,0.0
2044,68.00319725354484,24959.018393184597,12300.0,0.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,1.6584762733878415,608.7822411412909,300.0,0.0,0.0,0.0,0.0
2047,87.8969885002871,32265.876874047073,15900.0,0.0,0.0,0.0,0.0
2048,58.04327648544224,21308.013991655083,10500.0,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,1.6582626648671157,608.8238769931651,300.0,0.0,0.0,0.0,0.0
2051,66.32899826513238,24353.256317757972,12000.0,0.0,0.0,0.0,0.0
2052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,1.6580525146974885,608.8657515828063,300.0,0.0,0.0,0.0,0.0
2055,58.030527460943794,21310.557114563187,10500.0,0.0,0.0,0.0,0.0
2056,63.00261712303984,23137.547552900785,11400.0,0.0,0.0,0.0,0.0
2057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,1.6578559444957148,608.9041233846211,300.0,0.0,0.0,0.0,0.0
2059,61.33940542104563,22529.69719209592,11100.0,0.0,0.0,0.0,0.0
2060,58.02215585654967,21312.18717385693,10500.0,0.0,0.0,0.0,0.0
2061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,1.6576724106273952,608.9394907281675,300.0,0.0,0.0,0.0,0.0
2063,61.3325938162531,22530.989964794655,11100.0,0.0,0.0,0.0,0.0
2064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2066,1.6574842509052685,608.971890912729,300.0,0.0,0.0,0.0,0.0
2067,58.01080881198801,21314.203856752145,10500.0,0.0,0.0,0.0,0.0
2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
