year,actual,calculated,difference,delta,VS,N,P,other_solids,VS_liquid,N_liquid,P_liquid,TS_DM_effluent,other_liquids,manure_applied
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,1722792252.115018,47647325.559115425,1675144926.5559025,741812.8924426392,36475451.43607243,4200253580.498971,2854608134.648513,-7080767261.753893,29843551.174968336,9800591687.830938,4281912201.9727693,2814299.058784108,-14083408603.2572,528.3536043062668
2010,28895336640.36815,733137796.251114,28162198844.117035,2069764.558030334,603227404.0394977,63116351221.14822,43922867451.398094,-107469212147.60323,463706143.0391658,137470894494.84827,61602388975.124374,43188563.76154801,-213173709614.1126,1439.432147309595
2011,81750723364.99344,1581329035.0710082,80169394329.92242,1427033.5903055845,1704271647.8190422,180150606105.29556,125046273618.36684,-306415036849.4855,900854381.2741717,273079928063.01108,121685109250.45314,83753375.46558356,-607987898411.8973,959.1063147875971
2012,152296908052.014,2381710582.6471586,149915197469.36685,1134649.3434229465,3173205525.477214,340215802021.8156,234879088479.03412,-577369495257.8704,1201854990.8112326,373485457138.5479,164749222291.00082,111693001.75671381,-1146315633788.301,950.8815082561148
2013,240461572477.7712,3292156487.488825,237169415990.28238,1201823.3641550494,5008130711.891445,543491057776.03253,373390286728.55524,-920479088082.0834,1501302425.2480056,474308930093.1738,207766797374.28094,139509406.08447137,-1828527144407.612,935.8796237759465
2014,346420094459.4752,4318465002.590762,342101629456.88446,1219126.7698775167,7212755164.6283865,790349901624.7172,540815701100.17285,-1336355846204.014,1803783643.1484041,576003968980.2633,251138121557.42618,167604621.8656391,-2655847963639.3643,926.8851573524996
2015,470356129146.4842,5461983699.353419,464894145447.1308,1230837.6565939002,9790900407.154747,1081119543037.6165,737414033354.1927,-1825588341999.0137,2109391562.0670233,678462496630.0962,294897498381.0294,195989932.18872824,-3629429375151.4507,919.9137235538008
2016,562963191525.2965,5419411774.2245035,557543779751.072,828671.5226160418,11717077061.641329,1299355944262.6338,884675526355.1438,-2192480228524.6968,1575962717.3071942,509218269525.04144,220892239501.4259,146422186.8581323,-4359710779606.9634,521.0071359261735
