year,actual,calculated,difference,delta,P_drainage,P_runoff,P_erosion,P_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
1980,0.0,0.05918270557985489,-0.05918270557985489,-0.31519485804165015,0.08491908860223593,0.07773730123253621,0.2117211737867329,0.0
1981,0.0,0.058710857491977186,-0.058710857491977186,-0.18460097953698096,0.07093243994283291,0.06896375040494694,0.1034156466811783,0.0
1982,0.0,0.07023910806631534,-0.07023910806631534,-0.2820418285248252,0.06851010173022067,0.08737528182711372,0.19639555303380613,0.0
1983,0.0,0.0670594882466362,-0.0670594882466362,-0.25130025767202824,0.0688177849562479,0.0835850783428597,0.16595688261955682,0.0
1984,0.0,0.07304864969667554,-0.07304864969667554,-0.29382776373881825,0.08035459850677465,0.09177175077775658,0.19475006415096258,0.0
1985,0.0,0.07104303572628223,-0.07104303572628223,-0.3695698666354019,0.08229463752291023,0.0947791976248136,0.26353906721396037,0.0
1986,0.0,0.06276166762366939,-0.06276166762366939,-0.31976464736794696,0.06922479517733496,0.08493021142570237,0.22837130838857903,0.0
1987,0.0,0.05715679586856885,-0.05715679586856885,-0.2455779325775893,0.06570603324877881,0.0725259753002218,0.16450271989715753,0.0
1988,318.76919999999996,225.19092472629873,93.57827527370122,224.72319286540096,0.05465276050083309,0.35552813611326994,0.057550964283679104,0.0
1989,318.76919999999996,226.0003265887467,92.76887341125325,224.32671598293564,0.03705486435375208,1.2861512594284872,0.12610198250700833,0.22430249952179857
1990,0.0,-5.98277334647161,5.98277334647161,-32.480837622364106,0.060418535087618117,2.4375943643485414,0.11479160217429385,23.885259774282044
1991,0.0,-6.379398335531327,6.379398335531327,-34.52409384768134,0.06958209206114181,2.7593440930329454,0.07270298242115113,25.243066344634776
1992,326.8404,225.87405222729177,100.96634777270822,201.12415946095598,0.06229380133179617,3.3163976067445122,0.10384509790895162,21.267356260350503
1993,240.7584,170.61932724618163,70.13907275381837,150.8126843731534,0.08685054745233796,4.409104077282453,0.10019761863152707,15.210490629661912
1994,0.0,-4.353929620371808,4.353929620371808,-34.21307965559936,0.0701810782755428,4.60467347669148,0.030798466756360398,25.153497013504168
1995,0.0,-5.895402422468585,5.895402422468585,-38.17924988991399,0.07091163637844049,4.03967577330033,0.04278594869621696,28.13047410907042
1996,256.8984,177.00990684873443,79.88849315126555,149.07518546858228,0.04846433970043837,4.470820737467357,0.06925619390600951,23.346180109078347
1997,275.7288,196.2175876395788,79.51121236042118,172.30628138761085,0.06274257126821838,6.0559592427707925,0.09828370405502249,17.694320733873898
1998,0.0,-4.168226804493511,4.168226804493511,-36.10068981898712,0.0731409706707835,5.861360536436128,0.0970350522056386,25.90092645518106
1999,0.0,-3.728652279283555,3.728652279283555,-35.49851628883562,0.07014305340914491,6.134747434868969,0.08510380527116498,25.479869716002785
2000,341.23199999999997,237.20984182286583,104.02215817713414,203.103509347407,0.07841890764377309,7.1468738638412885,0.136653345430655,26.744386358543114
2001,257.3028,183.9531248951725,73.3496751048275,162.5040148640178,0.09242480024969571,6.6927573905809625,0.14329259368805575,14.52063524663599
2002,0.0,-3.1135618716167492,3.1135618716167492,-32.280587267705414,0.04425882485658153,5.932412757232426,0.050715552135303064,23.139638261864356
2003,0.0,-5.798140310892897,5.798140310892897,-39.34908158806775,0.05905539016947091,5.282278076997585,0.12649715089807417,28.08311065910972
2004,299.93999999999994,207.67957767501372,92.26042232498622,173.30182671643342,0.07705395863521858,7.1699577311166065,0.1565224347096717,26.974216834118803
2005,383.37119999999993,273.662031695294,109.70916830470594,247.87390494786905,0.04763312648195821,7.878025408328855,0.1007994559767362,17.761668756637388
2006,0.0,-2.934523827518852,2.934523827518852,-37.04309070901627,0.07813134062302657,8.07045695905317,0.11423747025973197,25.84574111156149
2007,0.0,-4.572339249259656,4.572339249259656,-41.22356974982358,0.07652297300862124,7.7476369130260725,0.19807093286630784,28.628999681662926
2008,210.02039999999997,146.5722233325384,63.44817666746155,112.40927086632792,0.0722419395155384,10.080540361258832,0.44847984643523287,23.56169031900091
2009,425.7252,302.8124207639277,122.91277923607225,279.33956958257886,0.06311292289583227,7.455748580036211,0.28749638872445604,15.666493289692433
2010,0.0,-2.9709279653399463,2.9709279653399463,-37.64169242658181,0.07442813578862177,8.51066814225774,0.22659935839713014,25.85906882479837
2011,0.0,-3.5143642401193844,3.5143642401193844,-34.28029571449906,0.04912259523865074,6.292985791887247,0.16342916493681034,24.26039392231697
2012,202.3452,143.44562778067922,58.89957221932079,106.4734240693706,0.033851509233050546,5.206363710378296,0.13082481917396854,31.601163672523306
2013,293.43,222.92821301616863,70.50178698383138,181.81225789212021,0.06987934681240834,8.25000335411153,0.28862594485256915,32.50744647827194
2014,0.0,-3.302708126096583,3.302708126096583,-35.26449082740464,0.05682158807425559,7.080435789602021,0.20611795348901213,24.61840737014277
2015,0.0,-6.156164823889696,6.156164823889696,-39.9862908766122,0.06755388484109251,5.387037562697831,0.2287817670565801,28.146752838127007
2016,86.42519999999999,56.19794589672257,30.227254103277417,24.93919956560967,0.07748044391270371,5.704886985713017,0.24581031141606707,25.230568590071112
2017,86.42519999999999,62.52602348843331,23.89917651156668,44.66508857145618,0.061030535067284994,4.701966596006988,0.16271891388826082,12.935218872014593
2018,330.048,230.57389853383012,99.47410146616988,197.97729530519518,0.08230449309633633,8.365062151380597,0.29673500515425905,23.852501579003768
2019,0.0,-2.5047288370138716,2.5047288370138716,-37.071641174986325,0.08060977335514732,9.201896289212174,0.41522822888130567,24.86917804652383
