year,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,manure_applied,N_applied,P_applied
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,6914289.237637376,22421726.39708507,2552644029.1531005,1661094102.006927,473575.35006106255,20166676.943109006,18345048.870342333,5956169401.357232,2491641153.0103908,2683593.6503460207,1728572.309409344,0.0,0.0,0.0
2010,104865257.86926712,343725719.9542717,40210004926.01246,26100687842.815926,7426207.944351708,285690325.1755868,262885085.6376978,87867175426.00517,36659390611.21348,39398251.367647,24487742.157907426,178.36686634737032,56739.84652563666,27674.64416153457
2011,316534284.79767406,1039148463.2938153,122308590564.36542,79374060623.69508,22676798.847465847,617367995.2078549,568982244.5505353,191563366489.49005,79910059171.31883,86420015.11764677,52917256.73210186,34.298194445188955,11232.666466903003,5467.505116305688
2012,643927377.607833,2115270592.6320012,249567490556.1376,161994801294.037,46301262.84141039,954896520.6962979,880463560.3676075,296937433314.13513,123931111005.51292,133871962.63235262,81848273.20253973,47.21525802780424,15547.116691986068,7567.396153669718
2013,1084983199.876851,3565324832.0197897,421167450736.5517,273449171800.87238,78170504.49452442,1286412814.9513025,1186408014.044553,400399907087.6337,167181555760.2535,180592369.3676459,110263955.5672546,45.23386510440107,14929.45819683333,7268.667120397854
2014,1640851663.9485757,5393094684.477196,637406877986.7883,413953626641.35596,118337704.456462,1621283020.2091906,1495448061.1015096,504558663583.8855,210756682260.7241,227614133.11764666,138967116.01793087,43.30985563576866,14312.155612699762,6969.918865213554
2015,2310949553.3987236,7596657081.106852,898170118939.9573,583431221321.6583,166802862.72722343,1954452177.562938,1802914688.1515415,608447562224.0624,254216392020.45367,274635896.8676477,167524472.36253762,32.10477109533182,10615.871846777372,5171.136843701667
2016,2820835866.2095666,9273462431.535383,1096604552003.0529,712430456106.2303,203669847.06961122,1487168412.364962,1371931650.3506162,463013677147.2208,193498852176.8577,208912911.27353105,127471578.202711,37.67359187084777,12462.981178720664,6072.174261134707
