year,manure_N_applied,NO3_runoff,NH4_runoff,NH4_erosion,active_N_erosion,stable_N_erosion,fresh_N_erosion,NO3_drainage,NH4_drainage,active_N_drainage,fresh_N,profile_N
,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg,kg
2009,0.0,0.706404294865607,0.04514201662264935,4.898316412274495e-05,0.0,0.0,0.0,43.06649029915777,0.7957076216357521,0.0,0.0,35.82754151677479
2010,37440.0,33.60407372484205,1407.932900977344,1.0394854834865699,16.68237559518179,3.7481057185387745,0.00011867423997183244,2843.794586868542,1812.969622001233,12.185924581431955,0.5142435809147939,3065.2741934010305
2011,0.0,4.043953958086816,16.86063156962653,0.002550301782085314,6.483352202845273,3.5003740939182433,0.003725758431022492,1111.1802719833663,47.76913058048687,45.435375728204285,9.273746851365672,797.54648231169
2012,0.0,0.5851007635742189,3.3379912586896374,0.0006563133492037655,1.938160583549058,1.6317859061273834,0.0019276601798893086,124.96933592912026,13.53085352508258,20.572212025578025,12.791781565469973,291.9523220756845
