year,manure_P_applied,P_uptake,fert_P_leached,M_leach,DRP_drainage,M_DRP_runoff,fert_P_runoff,DRP_runoff,MIP_runoff,MOP_runoff,profile_P,STP
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,0.0,0.0,0.0,0.0,0.020281463549408546,0.24850941906556878,0.0,0.07908221034842966,0.0,0.0,0.0,180.32666213142156
2010,10600.0,22.009522175374766,0.0,0.0,0.05863337777588243,50.61404479789805,0.0,31.574297396216952,0.0,0.0,0.0,5490.300061955758
2011,10300.0,27.86896286329595,0.0,0.0,0.04902594358886635,101.07946706536659,0.0,46.7038866752599,0.0,0.0,0.0,12631.72999264416
2012,10300.0,19.62283892562718,0.0,0.0,0.01751792149845452,93.7550820716253,0.0,17.570479458215313,0.0,0.0,0.0,18698.86213577824
