year,j_day,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,WIP,WOP,CH4,WOP_frac,WIP_frac
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,%,%
2009,244,7732.56793435257,15062.397955457614,22819.54230150483,1160.9413369136328,2770.3926655078412,22553.32314186167,12323.78014537441,53245.59870351128,1741.4120053704492,15698.891771211098,1828.8605392471206,182.88605392471203,399939.3660161185,0.008023089607098988,0.08023089607098989
2009,245,15465.11723654514,30124.75961702023,45644.54716519604,2681.977683510878,5592.030769657391,45106.59193992334,24647.530595743818,106503.94338545743,4022.9665252663167,31688.17436139188,4145.6611056668835,414.56611056668845,799878.732032237,0.00909338079368528,0.09093380793685278
2009,246,23197.647961297713,45187.08509127784,68474.98239114415,4203.025151863601,8418.600716250132,67659.806553785,36971.25143831823,159774.9589126697,6304.537727795401,47705.40405875075,6462.479024638036,646.2479024638036,1199818.0980483554,0.009450178038524406,0.09450178038524407
2009,247,30930.160053890286,60249.37427164045,91310.85684185194,5724.084224284879,11243.442924827303,90212.96682384667,49294.942585887635,213058.66596432123,8586.126336427318,63712.84324068805,8779.315119520772,877.9315119520772,1599757.464064474,0.009628602717114907,0.09628602717114908
2009,248,38662.653541682856,75311.62721140307,114152.17911908378,7245.15536889794,14061.244223237472,112766.07282990834,61618.60408205704,266355.0846111955,10867.73305334691,79680.38393167901,11096.169966678568,1109.6169966678567,1999696.8300805925,0.00973567886839078,0.0973567886839078
2009,249,46395.12839731543,90373.84385727068,136998.9575694977,8766.239039942679,16886.492784904658,135319.12449217,73942.23588322145,319664.23432882794,13149.358559914019,95690.12578112641,13413.044193842245,1341.3044193842243,2399636.196096711,0.009807081220786521,0.09807081220786523
2009,250,54127.584620787995,105436.02420924329,159851.2002901699,10287.335678076304,19701.239755989885,157872.12181063165,86265.83798938086,372986.13401039643,15431.003517114457,111640.35861727603,15729.938377854613,1572.9938377854612,2799575.562112829,0.009858098906881892,0.09858098906881892
2009,251,61859.93317823663,120497.99483677345,184227.16466262436,11676.283529039953,22528.73719662552,180424.80510319019,98589.26850281462,429863.3842127902,17514.425293559932,127662.84411421129,18003.586066224518,1800.3586066224518,3199467.495011314,0.009872664304862371,0.0987266430486237
2009,252,69592.26324032526,135559.9294368836,208608.21425843466,13129.72537383249,25343.160944507825,202977.4344509487,110912.66953926839,486752.4999363476,19694.58806074874,143611.24535221103,20315.332173359853,2031.5332173359852,3599359.4279097985,0.009902566435311982,0.09902566435311984
2009,253,77324.5748344139,150621.82806286876,232994.3595260253,14583.17498307566,28163.80460994087,225530.00993370722,123236.04114234715,543653.5055607258,21874.762474613493,159594.89278966497,22627.099190149416,2262.7099190149415,3999251.360808283,0.00992649978352396,0.0992649978352396
2009,254,85056.86796050254,165683.69071472893,257385.61062260842,16036.63290954291,30985.628619598625,248082.53155146574,135559.38331205092,600566.4247860864,24054.94936431437,175585.22884439223,24938.887671665936,2493.8887671665934,4399143.293706767,0.009946092408595017,0.09946092408595018
2009,255,92789.14259123118,180745.51733916908,281781.97742036066,17490.099690495554,33805.05541181863,270634.99922442425,147882.69600477468,657491.2806475083,26235.149535743334,191561.98066697223,27250.698158416333,2725.069815841633,4799035.226605251,0.00996242968454168,0.09962429684541681
2009,256,100521.39878131982,195807.30804277924,306183.4265522588,18943.575632490152,36623.59154563873,293187.41311218275,160205.97930772844,714427.9952886039,28415.36344873523,207533.68542528615,29562.531042101782,2956.253104210178,5198927.159503736,0.009976262967883879,0.09976262967883878
2009,257,108253.63653076845,210869.0628255594,330590.01025661215,20397.06145597891,39451.33242789167,315739.77321474126,172529.2332209122,771376.6905987618,30595.592183968365,223557.5504247195,31874.38682467639,3187.438682467639,5598819.09240222,0.009988128982666288,0.09988128982666288
2009,258,115983.7907547559,225926.7590743683,350998.9159344572,21721.022581214293,41932.24167350149,338286.056368038,184849.16651539222,818997.4705137336,32581.53387182144,237616.03614984182,34140.95607476318,3414.095607476318,5995356.346523686,0.00998534736404762,0.09985347364047618
2009,259,123713.92664754335,240984.4196155272,371412.73429731233,23086.677126730498,44449.72799223289,360832.2860553348,197169.07059452223,866629.7133603955,34630.01569009575,251881.7919559864,36445.98964697641,3644.5989646976423,6391893.600645153,0.00999346172540266,0.09993461725402658
2009,260,131444.04423649082,256042.04450233112,391831.4732071124,24452.342640787923,46957.08170025868,383378.4623564315,209488.94550190723,914273.4374832624,36678.51396118189,266090.1296347992,38751.047542701024,3875.1047542701035,6788430.854766619,0.01000062935648265,0.10000629356482647
2009,261,139174.14352159828,271099.63373478,412255.140294125,25818.01953863923,49466.50291947767,405924.5852713283,221808.79123754724,961928.6606862919,38727.02930795885,280310.1832103735,41056.1301954858,4105.613019548581,7184968.108888086,0.010007008117857362,0.10007008117857359
2009,262,146904.22450286575,286157.1873128739,432683.7429619645,27183.708223202204,51985.10287229963,428470.65480002505,234128.60780144224,1009595.4002445841,40775.56233480331,294582.24960969796,43361.23801800129,4336.12380180013,7581505.3630095525,0.010012722638158023,0.1001272263815802
2009,263,154634.2871802932,301214.7052366128,453117.28839251,28549.409085327407,54500.60172854689,451016.6709425218,246448.39519359224,1057273.6729158568,42824.113627991115,308836.7431284325,45666.371409712745,4566.637140971276,7978042.617131019,0.010017872622157217,0.10017872622157213
2009,264,162364.33158124067,316272.1875592917,473555.783550729,29915.122504060695,57009.70460769525,473562.6337786186,258768.15345760225,1104963.4949517013,44872.68375609105,323054.9927769398,47971.530697148846,4797.1530697148855,8374579.871252486,0.01002253876977238,0.10022538769772378
2009,265,170090.46081875305,331322.0434698627,493746.3688349604,31212.403289833233,59467.908513356,496097.1773880297,271081.6719298876,1152074.860614908,46818.60493474986,336984.8149090174,50241.00895972414,5024.100895972415,8765098.874367306,0.010019895501210945,0.10019895501210943
2009,266,177816.57177978542,346371.8637793737,513941.74438749853,32556.269673100018,61964.38196702168,518631.6676910408,283395.16127403296,1199197.4035708304,48834.404509650034,351131.4978131229,52530.420894953786,5253.0420894953795,9155617.877482126,0.01002128573075422,0.10021285730754219
2009,267,185542.6644916978,361421.6485411197,534141.9176581992,33900.14670769537,64456.76340087712,541166.1047674519,295708.6215336433,1246331.1412024652,50850.22006154306,365254.9926049704,54819.85915782376,5481.985915782378,9546136.880596945,0.010022565979461738,0.10022565979461735
2009,268,193268.73900921017,376471.39786169067,554346.8958740137,35244.03478692277,66953.76284911374,563700.488776863,308022.0527959286,1293476.0903726988,52866.05218038416,379404.65614497795,57109.323990646786,5710.93239906468,9936655.883711765,0.010023749477138797,0.10023749477138796
2009,269,200994.79527760253,391521.11163449666,574556.6860438316,36587.934292218386,69441.64573556204,586234.819559674,320335.454973679,1340632.2674356075,54881.901438327586,393502.65916818497,59398.815810653905,5939.881581065391,10327174.886826584,0.01002484745434283,0.10024847454342829
2009,270,208720.8333242349,406570.7899128326,594771.294963231,37931.84559340959,71935.68742197873,608769.0971956851,332648.8281104993,1387799.6882475393,56897.76839011439,407635.5620578795,61688.33488768886,6168.833488768887,10717693.889941404,0.010025869450837752,0.10025869450837752
2009,271,216446.85312174726,421620.4326434036,614990.7292191366,39275.76904896848,74428.81492797697,631303.3216050962,344962.1721627847,1434978.3681779858,58913.65357345273,421763.28459186957,63977.881565991804,6397.788156599181,11108212.893056223,0.0100268236584597,0.100268236584597
2009,272,224170.4566533449,436665.3686893282,634780.4629121241,40521.7685618889,76824.17349016633,653830.4985722561,357271.66529126844,1481154.4134616232,60782.652842833355,435336.9831109426,66246.00761748396,6624.600761748397,11482204.953053657,0.010024578734534018,0.10024578734534016
2009,273,231894.04204526255,451710.2694006678,654574.8130629668,41819.63699227627,79218.44571693585,676357.6226320158,369581.1295096372,1527341.230480256,62729.4554884144,448904.5257293032,68427.13105692959,6842.713105692959,11856197.01305109,0.010009757093572958,0.10009757093572957
2009,274,239617.6092975002,466755.1347774224,674373.786102101,43117.517171686304,81606.065976975,698884.6937843757,381890.56481789093,1573538.8342382358,64676.27575752945,462434.37386952504,70608.28355921709,7060.82835592171,12230189.073048525,0.009995895814423993,0.09995895814423993
2009,275,247341.15841005783,481799.964819592,694177.3882609049,44415.40943924163,83995.77816150695,721411.7120293354,394199.97121602966,1619747.239275445,66623.11415886245,475976.0762485394,72789.4653814775,7278.946538147749,12604181.133045958,0.009982904963454073,0.09982904963454073
2009,276,255064.68941029548,496844.7595804716,713985.6255760851,45713.31412347049,86386.2931990778,743938.6774466953,406509.3487476584,1665966.4596775318,68569.97118520574,489522.32812810753,74970.67672567585,7497.067672567584,12978173.193043392,0.009970705492038101,0.09970705492038101
2009,277,262788.20227085316,511889.5190067662,733798.5038939777,47011.23154254085,88771.46535133779,766465.589956655,418818.6973691722,1712196.509085948,70516.84731381127,503038.3036575808,77151.91787589907,7715.191787589906,13352165.253040826,0.00995922765774883,0.09959227657748831
2009,278,270511.69699173083,526934.2430984759,753616.0288747677,48309.162004489976,91155.9307666113,788992.4495592149,431128.0170805709,1758437.4007077913,72463.74300673496,516550.2743441307,79333.18906118005,7933.318906118005,13726157.31303826,0.009948409675545644,0.09948409675545644
2009,279,278239.91047765274,541988.1589512612,772152.1086344963,49495.13754434938,93458.20174525592,811533.0722264871,443444.85732375894,1801688.2534804915,74242.70631652407,529596.4765564502,81506.40910659818,8150.640910659818,14109747.981351377,0.009937042164790487,0.09937042164790487
2009,280,285968.10587861465,557042.0395760516,790692.7837605497,50789.324424735314,95751.49291251937,834073.6421459593,455761.668744042,1844949.8287746161,76183.98663710296,542591.7931709432,83739.58822398106,8373.958822398106,14493338.649664495,0.009933402186852357,0.09933402186852357
2009,281,293696.28319461655,572095.8849728471,809238.0588873383,52083.52605346057,98042.03473359038,856614.1593176315,468078.45134142006,1888222.1374037892,78125.28908019085,555571.5301570122,85972.79741723996,8597.279741723996,14876929.317977613,0.00992995785572998,0.09929957855729978
2009,282,301424.44242565846,587149.6951416475,827787.9384916998,53377.74267416258,100331.73592750616,879154.6237415038,480395.2051158931,1931505.189813966,80066.61401124387,568546.5035892016,88206.03688667555,8820.603688667556,15260519.98629073,0.009926694144864677,0.09926694144864676
2009,283,309152.58357174037,602203.4700824529,846342.4268964566,54671.974522097,102625.91545409901,901695.0354175761,492711.93006746116,1974798.996091732,82007.9617831455,581546.8542398944,90439.30682429843,9043.930682429844,15644110.654603848,0.009923597529381739,0.09923597529381739
