year,actual,calculated,difference,delta,runoff,evaporation,transpiration,drainage
,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
2009,262.89,262.89,0.0,0.929,66.818,63.775,0.0,131.368
2010,1027.43,1027.43,0.0,-1.552,269.512,237.3,133.174,388.997
2011,872.49,872.49,-0.0,3.519,209.131,178.723,136.018,345.099
2012,424.434,424.434,-0.0,-23.227,59.846,153.107,117.015,117.694
