year,j_day,VS_excreted,TS_excreted,N_excreted,P_excreted,K_excreted,flush_water_volume,TS_loss,VS_loss,WIP,WOP,CH4
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2011,334,309925.3169999999,24.823976129216916,20763.872999999985,631.5224894901542,0,390167.3461770459,7803.346923540918,6632.84488500978,12.79733873974973,1.2797338739749735,903.975164162665
2011,335,309925.3169999999,25.089851420818544,20763.872999999985,631.5796669722191,0,390168.9671586624,7803.379343173248,6632.872441697261,12.787222203077231,1.278722220307723,911.2937487652391
2011,336,333765.72599999997,26.5724624336005,22361.093999999983,680.0665080502366,0,390178.0063032242,7803.5601260644835,6633.026107154811,14.978122723792392,1.4978122723792393,968.3496735912104
2011,337,333765.72599999997,26.845147480336767,22361.093999999983,680.125149995771,0,390179.6688023801,7803.593376047602,6633.054369640461,14.960034068048273,1.4960034068048267,975.900149442569
2011,338,333765.72599999997,27.097173733017797,22361.093999999983,680.1793491898964,0,390181.2053495336,7803.624106990672,6633.080490942071,14.937982489484988,1.4937982489484984,982.8981661543181
2011,339,349659.33199999994,28.177328745007284,23425.90799999998,712.5236405903242,0,390187.79081073566,7803.755816214713,6633.192443782506,16.467372116236948,1.646737211623695,1023.569577811091
2011,340,309925.3169999999,24.375070360725267,20763.872999999985,631.4259506152098,0,390164.6092999412,7803.292185998825,6632.798358099,12.874509471391754,1.2874509471391753,891.1577898419813
2011,341,309925.3169999999,24.62721330124448,20763.872999999985,631.4801749034934,0,390166.14655851404,7803.322931170281,6632.824491494738,12.859387014057274,1.2859387014057275,898.1626123244552
2011,342,309925.3169999999,24.87249546801822,20763.872999999985,631.5329237565629,0,390167.64198849857,7803.352839769971,6632.849913804475,12.84341463290121,1.2843414632901213,904.9707432435602
2011,343,309925.3169999999,25.124541481357983,20763.872999999985,631.5871272002921,0,390169.1786561283,7803.383573122566,6632.876037154181,12.829446437533766,1.2829446437533771,911.9346852307302
2011,344,309925.3169999999,25.363182955042184,20763.872999999985,631.6384479473209,0,390170.6335993066,7803.4126719861315,6632.900771188211,12.813673778626999,1.2813673778627,918.5310756345923
2011,345,309925.3169999999,25.595060582160354,20763.872999999985,631.6883141036905,0,390172.0473048396,7803.440946096792,6632.924804182273,12.797374052922963,1.2797374052922965,924.934251665034
2011,346,317872.11999999994,26.240189610950186,21296.279999999984,647.8830515292366,0,390175.9805108539,7803.519610217078,6632.991668684515,13.504922296911019,1.350492229691102,948.1113046504188
2011,347,278138.105,22.416444522708517,18634.244999999988,566.7807407575717,0,390152.66800047713,7803.053360009543,6632.595356008112,10.29846523699752,1.0298465236997518,815.0407144949223
2011,348,278138.105,22.654974084997104,18634.244999999988,566.8320374376337,0,390154.1222613569,7803.082445227138,6632.6200784430675,10.290795724417622,1.0290795724417625,821.5958849481506
2011,349,286084.908,23.264667663712245,19166.651999999987,583.0191543362823,0,390157.8394254336,7803.156788508672,6632.683270232372,10.928910979168963,1.0928910979168962,843.7988742117753
2011,350,294031.71099999995,23.900657895743812,19699.058999999987,599.2119264291922,0,390161.7169142676,7803.234338285352,6632.749187542549,11.57102796226423,1.1571027962264229,866.7902701593379
2011,351,309925.3169999999,24.95689598825897,20763.872999999985,631.5510744060774,0,390168.1565594123,7803.363131188246,6632.858661510009,12.91738702419586,1.2917387024195865,906.8330764747219
2011,352,309925.3169999999,25.181869369791798,20763.872999999985,631.5994557784497,0,390169.52817131905,7803.390563426381,6632.881978912424,12.895709847101347,1.2895709847101353,913.1014310014731
2011,353,317872.11999999994,25.810279726024266,21296.279999999984,647.7905977905431,0,390173.3594473619,7803.467188947238,6632.947110605152,13.589922166795418,1.3589922166795418,935.9023939386689
2011,354,262244.49899999995,20.341426463656003,17569.43099999999,534.2225003147647,0,390140.01708392357,7802.800341678471,6632.3802904267,9.178309406784999,0.9178309406785,746.4981389814018
2011,355,262244.49899999995,20.553402346786886,17569.43099999999,534.2680865261907,0,390141.3094530175,7802.82618906035,6632.402260701298,9.16815400480307,0.9168154004803067,752.4056162301283
2011,356,262244.49899999995,20.772019956825503,17569.43099999999,534.315101065984,0,390142.64231522067,7802.852846304413,6632.424919358751,9.15957051475328,0.9159570514753281,758.4687985981848
2011,357,262244.49899999995,20.990637566864113,17569.43099999999,534.3621156057773,0,390143.9751774238,7802.879503548476,6632.447578016205,9.15135548323984,0.915135548323984,764.5146091736071
2011,358,262244.49899999995,21.19582074719493,17569.43099999999,534.4062410209021,0,390145.2261329426,7802.904522658852,6632.4688442600245,9.14124895237824,0.9141248952378243,770.1958922868378
2011,359,262244.49899999995,21.39429468336729,17569.43099999999,534.4489235878209,0,390146.4361837147,7802.928723674295,6632.48941512315,9.130545655899937,0.9130545655899934,775.6874780652745
2011,360,270191.30199999997,21.983241322268945,18101.83799999999,550.6315787789827,0,390150.02685838414,7803.0005371676825,6632.55045659253,9.733883250282613,0.9733883250282613,797.3179202429789
2011,361,238404.08999999997,19.013526224688572,15972.20999999999,485.7689303709007,0,390131.92117601505,7802.638423520301,6632.2426599922555,7.553415460234449,0.7553415460234447,693.2078805449654
2011,362,238404.08999999997,19.204615535790175,15972.20999999999,485.81002484640646,0,390133.08620439563,7802.661724087913,6632.262465474726,7.545738355621404,0.7545738355621405,698.4979232396611
2011,363,238404.08999999997,19.388990249765452,15972.20999999999,485.8496753225302,0,390134.2102953937,7802.6842059078745,6632.281575021693,7.537413227847184,0.7537413227847183,703.5993467948754
2011,364,238404.08999999997,19.58047502760139,15972.20999999999,485.89085484464545,0,390135.3777348457,7802.707554696914,6632.301421492376,7.530632528268823,0.7530632528268825,708.8680395517842
2011,365,238404.08999999997,19.758006116359773,15972.20999999999,485.92903357341066,0,390136.4601018062,7802.729202036125,6632.319821730705,7.5220904870159435,0.7522090487015942,713.7640014764436
2012,1,238404.08999999997,19.94238083033506,15972.20999999999,485.96868404953455,0,390137.5841928043,7802.751683856086,6632.338931277673,7.514842857498119,0.7514842857498121,718.823259306814
2012,2,238404.08999999997,20.113272540200413,15972.20999999999,486.0054349548819,0,390138.6260809709,7802.7725216194185,6632.356643376505,7.506319214222078,0.7506319214222076,723.5196482287622
2012,3,198670.07499999998,16.18631176933337,13310.174999999994,404.8809272622223,0,390114.684287884,7802.29368575768,6631.949632894028,5.1816772405839675,0.5181677240583968,587.6460456674183
2012,4,198670.07499999998,16.357027268160056,13310.174999999994,404.9176402727226,0,390115.72510173166,7802.314502034634,6631.967326729438,5.1795631298788685,0.5179563129878867,592.3145739994578
2012,5,198670.07499999998,16.527742766986744,13310.174999999994,404.954353283223,0,390116.7659155794,7802.335318311588,6631.985020564849,5.177533534784438,0.5177533534784439,596.9705887890681
2012,6,198670.07499999998,16.68475249879929,13310.174999999994,404.9881188169461,0,390117.7231684604,7802.354463369208,6632.0012938638265,5.174098821667756,0.5174098821667756,601.2612406767316
2012,7,198670.07499999998,16.835150641895027,13310.174999999994,405.0204625036334,0,390118.640111978,7802.37280223956,6632.016881903625,5.170335083103419,0.517033508310342,605.3672447009856
2012,8,198670.07499999998,16.97851043215485,13310.174999999994,405.0512925660548,0,390119.51414424763,7802.390282884953,6632.03174045221,5.1659930623146275,0.5165993062314628,609.2824359179756
2012,9,206616.87799999997,17.531099394702565,13842.581999999993,421.2261289020866,0,390122.88315437414,7802.457663087483,6632.08901362436,5.635390841853863,0.5635390841853863,629.8536225290711
2012,10,190723.27199999997,15.65979910997939,12777.767999999995,388.711698733329,0,390111.47425908985,7802.229485181797,6631.895062404527,4.8249318333615125,0.4824931833361512,567.037349562522
2012,11,198670.07499999998,16.231162908992825,13310.174999999994,404.8905726686006,0,390114.95773515484,7802.299154703097,6631.954281497632,5.2672866194706405,0.5267286619470642,588.1617684233678
2012,12,206616.87799999997,16.79943533527559,13842.581999999993,421.0687817925323,0,390118.4223638183,7802.368447276365,6632.01318018491,5.7227114072501495,0.5722711407250151,609.2480462167766
2012,13,206616.87799999997,16.969858105578872,13842.581999999993,421.1054318506621,0,390119.4613929663,7802.389227859326,6632.030843680427,5.716342095458702,0.5716342095458702,613.9372710238416
2012,14,206616.87799999997,17.1264265548155,13842.581999999993,421.13910248490663,0,390120.4159554471,7802.408319108943,6632.047071242601,5.708433457834059,0.5708433457834059,618.2575577750392
2012,15,206616.87799999997,17.289963640045578,13842.581999999993,421.1742717505474,0,390121.41300412803,7802.428260082561,6632.064021070177,5.701769677218535,0.5701769677218537,622.7446778376979
