year,manure_applied,manure_N_applied,manure_P_applied,fert_applied,fert_N_applied,fert_P_applied,fert_K_applied
,kg,kg,kg,kg,kg,kg,kg
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,531980.7724096611,47440.0,31600.0,0.0,0.0,0.0,0.0
2011,540264.158405981,10000.0,10000.0,0.0,0.0,0.0,0.0
2012,860585.9503380532,10000.0,10000.0,0.0,0.0,0.0,0.0
