year,DM,NDF,C,N,P,CP,NPN,C_loss,CP_loss
,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,960632.3511215606,0.0,960632.3511215606,960632.3511215606,960632.3511215606,960632.3511215606,493.49993189854655,149925.28023284482,19.73999727594181
2011,3460668.5115487827,0.0,3460668.5115487827,3460668.5115487827,3460668.5115487827,3460668.5115487827,1153.1784127040028,538388.3612801229,46.127136508159985
2012,8940163.387031963,0.0,8940163.387031963,8940163.387031963,8940163.387031963,8940163.387031963,1440.2140875426837,1395285.6153171316,57.60856350170654
2013,10667025.706699934,0.0,10667025.706699934,10667025.706699934,10667025.706699934,10667025.706699934,1287.4641068923058,1661751.248812881,51.49856427569135
2014,13044570.978622178,0.0,13044570.978622178,13044570.978622178,13044570.978622178,13044570.978622178,1235.4284003208238,2035857.8983976839,49.417136012832835
2015,16237580.812821435,0.0,16237580.812821435,16237580.812821435,16237580.812821435,16237580.812821435,1337.8212406353555,2530460.3830163,53.51284962541381
2016,10043205.605356822,0.0,10043205.605356822,10043205.605356822,10043205.605356822,10043205.605356822,815.7856030003541,1567436.7129747812,32.63142412001409
