year,j_day,change in sw,runoff,evaporation,transpiration,drainage,precipitation,calculated water,difference
,,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
2010,140,-1.5930005156908464,0.0,1.5862232927807374,0.006777222910106327,0.0,0.0,-2.4424906541753444e-15,2.4424906541753444e-15
2010,141,5.046020664078355,0.0,1.2945335515461278,0.00944578437552533,0.0,6.35,6.3500000000000085,-8.881784197001252e-15
2010,142,-1.0046200496732638,0.0,0.9977633032875031,0.006856746385768697,0.0,0.0,7.993605777301127e-15,-7.993605777301127e-15
2010,143,-1.4681729935338836,0.0,1.4550717073556265,0.013101286178247337,0.0,0.0,-9.547918011776346e-15,9.547918011776346e-15
2010,144,-1.6189331897366657,0.0,1.5964409841237095,0.02249220561297198,0.0,0.0,1.5987211554602254e-14,-1.5987211554602254e-14
2010,145,-1.5343114155840567,0.0,1.4970225674801423,0.03728884810391634,0.0,0.0,1.7763568394002505e-15,-1.7763568394002505e-15
2010,146,0.25801465404481405,0.0,1.2165604801273904,0.04942486582779262,0.0,1.524,1.5239999999999971,2.886579864025407e-15
2010,147,-1.3113240049099204,0.0,1.2463489093811468,0.06497509552876415,0.0,0.0,-9.547918011776346e-15,9.547918011776346e-15
2010,148,-1.2425030212922934,0.0,1.1557332131384823,0.08676980815380797,0.0,0.0,-3.3306690738754696e-15,3.3306690738754696e-15
2010,149,-1.16071967669221,0.0,1.0570317909113394,0.10368788578086223,0.0,0.0,-8.43769498715119e-15,8.43769498715119e-15
2010,150,-1.111872689328976,0.0,0.984562671953511,0.1273100173754645,0.0,0.0,-6.661338147750939e-16,6.661338147750939e-16
2010,151,-1.11976536558727,0.0,0.9507850463746205,0.16898031921266102,0.0,0.0,1.1546319456101628e-14,-1.1546319456101628e-14
2010,152,-1.0601309788683295,0.0,0.8529778291710559,0.2071531496972771,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15
2010,153,0.26513671237327685,0.0,0.77338916573642,0.23147412189029218,0.0,1.27,1.269999999999989,1.1102230246251565e-14
2010,154,6.603577468283305,0.0,0.7529239061523245,0.26349862556438053,0.0,7.62,7.62000000000001,-9.769962616701378e-15
2010,155,5.122323232231821,0.0,0.9909053861607259,0.23677138160744896,0.0,6.35,6.349999999999996,3.552713678800501e-15
2010,156,0.28101034460513574,0.0,1.701414399789298,0.30357525560558507,0.0,2.286,2.286000000000019,-1.9095836023552692e-14
2010,157,21.81380289474859,8.98939901062867,1.8444134456447199,0.3723846489780183,0.0,33.02,33.019999999999996,7.105427357601002e-15
2010,158,0.5306562338913636,0.0,2.160454473841087,0.3568892922675315,0.0,3.048,3.047999999999982,1.8207657603852567e-14
2010,159,7.71817363907013,0.985819169323057,2.3042422502007502,0.42176494140605925,0.0,11.43,11.429999999999996,3.552713678800501e-15
2010,160,-8.877849040012649,0.7144289475467737,1.248310683185637,0.253332277801822,16.059777131478437,9.398,9.398000000000021,-2.1316282072803006e-14
2010,161,-3.5868089495148183,0.0,2.5310028387059806,0.5413642289839952,0.5144418818248214,0.0,-2.120525977034049e-14,2.120525977034049e-14
2010,162,-7.536659485491185,0.0,1.1926920147603504,0.36121049147493656,7.760756979255914,1.778,1.7780000000000165,-1.6431300764452317e-14
2010,163,-9.809497760010856,0.0,2.0535169701835274,0.6672836805047618,7.0886971093225375,0.0,-2.930988785010413e-14,2.930988785010413e-14
2010,164,-1.5699308911299283,0.0,1.0687213407345726,0.5012095503953754,0.0,0.0,1.9761969838327786e-14,-1.9761969838327786e-14
2010,165,-0.307475506570114,0.0,0.8302469202701511,0.4932285862999744,0.0,1.016,1.0160000000000116,-1.1546319456101628e-14
