year,NO3_runoff,NH4_runoff,NH4_erosion,activeN_erosion,stableN_erosion,freshN_erosion,NO3_drainage,NH4_drainage,activeN_drainage
,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha
2009,0.20387978745729354,0.0428821117063406,3.7415969950313745e-05,0.013219492309824811,0.6663369459884376,0.0,12.850101207028443,0.9020060381363568,1.7455134425534717
2010,0.053964382086877816,2.268814411751738,0.00019483393921617865,0.09716658844129474,1.08439475348316,0.028485983287312305,19.932038906830858,1.4240559857642674,4.859115850008605
2011,11.74325821871018,32.260021886975636,0.002763044398756593,0.280541171495059,0.22285198753473048,0.24645102240291053,25.82928182221764,19.292092804895937,3.1147862190401487
