year,j_day,NO3_L1,NO3_L2,NO3_L3,NH4_L1,NH4_L2,NH4_L3,ActiveN_L1,ActiveN_L2,ActiveN_L3,StableN_L1,StableN_L2,StableN_L3,FreshN,Nitri_L1,Nitri_L2,Nitri_L3,Volati_L1,Volati_L2,Volati_L3,Denitri_L1,Denitri_L2,Denitri_L3,Tot_Nitri_Vol_L1,Tot_Nitri_Vol_L2,Tot_Nitri_Vol_L3,N_trans_L1,N_trans_L2,N_trans_L3,NO3_runoff,NH4_runoff,NO3_perc_L1,NO3_perc_L2,NO3_perc_L3,NH4_perc_L1,NH4_perc_L2,NH4_perc_L3,active_perc_L1,active_perc_L2,active_perc_L3,NH4_erosion,activeN_erosion,stableN_erosion,freshN_erosion
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg,kg,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha
2009,244,12.806862230673644,11.001710101771412,9.450093633928311,1.924168209274215,1.9908336021333852,2.02512698799485,35.99700055001005,35.99747651549413,35.997914192048626,1763.999998529549,1763.9999987628864,1763.999998977453,0.0,0.15445497722529408,0.11168225775015947,0.07695980508824275,0.02437773394146188,8.861735922767392e-06,3.7415228348395796e-08,0,0,0,0.17883271116675595,0.11169111948608224,0.0769598425034711,-1.470451016075458e-06,-1.2371135935381972e-06,-1.0225469441775205e-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,245,12.93169686067648,11.102702498632187,9.52211710688971,1.781212413540465,1.8922972376251428,1.9551585630922703,35.994192801589826,35.99501491253971,35.99586113801233,1763.9999956826414,1763.9999963190085,1763.9999969484268,0.0,0.12483463000283565,0.10099239686077492,0.07202347296139858,0.020931761058634642,8.01447986894164e-06,3.5003847428769184e-08,0,0,0,0.1457663910614703,0.10100041134064387,0.07202350796524601,-2.8469075011503265e-06,-2.443877984617302e-06,-2.0290263714105095e-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,246,13.038029268271996,11.197717429833961,9.59173407635439,1.6585999245841603,1.7997257100188762,1.8875977579364651,35.99150524509666,35.99256760303542,35.993807975408984,1763.999991518214,1763.9999926753853,1763.999993912878,0.0,0.10633240759551735,0.09501493120177491,0.06961696946468121,0.018971802281245682,7.549531865224395e-06,3.384341946342135e-08,0,0,0,0.12530420987676302,0.09502248073364013,0.06961700330810067,-4.164427298424016e-06,-3.643623078039582e-06,-3.035548952850604e-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,247,13.135338059150337,11.291874067962876,9.662052636592795,1.545600747184094,1.708064598154345,1.819383127074877,35.98884279780775,35.99006944479382,35.991708076783965,1763.9999860485898,1763.999987807101,1763.9999898479045,0.0,0.0973087908783404,0.09415663812891487,0.07031856023840585,0.018358303435009365,7.500261480074693e-06,3.422154035575513e-08,0,0,0,0.11566709431334976,0.09416413839039495,0.07031859445994622,-5.4696243722855806e-06,-4.8682842641710525e-06,-4.064973341571659e-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,248,13.229901934449082,11.390019357801263,9.736282654083274,1.4348698975555116,1.6125379786317837,1.7473568033368427,35.986122246023704,35.98744907641405,35.98950948959968,1763.9999792452963,1763.9999816542554,1763.999984705136,0.0,0.09456387529874544,0.09814528983838594,0.07423001749047828,0.01889432940743238,7.85090946633441e-06,3.620036785566224e-08,0,0,0,0.11345820470617782,0.09815314074785227,0.07423005369084613,-6.803293548123293e-06,-6.152845522431108e-06,-5.142768531779893e-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,249,13.319105367517606,11.489163325842645,9.812511881784609,1.3295838719854378,1.5161056483770246,1.6734078392241662,35.9833796904728,35.984736961164174,35.98723544631631,1763.9999710975599,1763.9999741718834,1763.9999784475915,0.0,0.08920343306852457,0.09914396804138205,0.07622922770133461,0.01883329578896759,7.959835190782191e-06,3.7239269219855835e-08,0,0,0,0.10803672885749217,0.09915192787657283,0.07622926494060384,-8.147736512182746e-06,-7.482371934356707e-06,-6.2575445532002055e-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,250,13.409356823124732,11.595226713298885,9.894940952116542,1.2221267800431515,1.412940966331808,1.593405172733068,35.980508444847736,35.981838592670165,35.984816445452914,1763.9999615423048,1763.9999652686895,1763.999971004218,0.0,0.09025145560712519,0.10606338745623971,0.08242907033193336,0.020086437215304807,8.566276858910815e-06,4.039601874448795e-08,0,0,0,0.11033789282242999,0.10607195373309862,0.08242911072795212,-9.555255075194965e-06,-8.903193875451052e-06,-7.443373456981135e-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,251,13.485723721448851,11.691061268423612,9.97166359830458,1.1307391248408336,1.3199594591626236,1.5190806319730212,35.97776037938329,35.97898810272056,35.98242691718006,1763.999950639933,1763.99995496816,1763.9999623894762,0.0,0.07636689832411897,0.09583455512472647,0.07672264618803873,0.01777972471433092,7.742523685351622e-06,3.758671180751766e-08,0,0,0,0.0941466230384499,0.09584229764841182,0.07672268377475053,-1.0902371687361666e-05,-1.0300529613334675e-05,-8.614741847454752e-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,252,13.5575178100352,11.785970354207063,10.049095549322633,1.0442120423258545,1.2279911457275166,1.4441177333062005,35.974990039598474,35.97605137498902,35.97996764711835,1763.9999383795384,1763.9999432280313,1763.9999525691874,0.0,0.07179408858634899,0.09490908578345149,0.07743195101805223,0.017515594108038334,7.69551179147217e-06,3.7999223702790406e-08,0,0,0,0.08930968269438733,0.09491678129524296,0.07743198901727592,-1.2260394589427506e-05,-1.1740128599992659e-05,-9.820288748255735e-06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
