year,j_day,precipitation,runoff,sediment,labile_P_l1,active_P_l1,stable_P_l1,sediment P
,,mm H2O,mm H2O,metric tons,kg,kg,kg,kg P / ha
2009,244,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,245,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,246,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,247,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,248,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,249,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,250,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,251,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,252,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,253,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,254,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,255,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,256,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,257,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,258,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,259,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,260,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,261,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,262,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,263,0.0,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,264,3.048,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,265,1.778,0.0,0.0,31.5,85.95314699413535,343.8125879765414,0.0
2009,266,28.194,4.882925759559737,0.053656249804571204,31.49633780568033,85.94394136731405,343.7757646804974,0.0460281341064711
2009,267,0.508,0.0,0.0,27.956830040769734,85.94394136731405,343.7757646804974,0.0
2009,268,0.0,0.0,0.0,27.956830040769734,85.94394136731405,343.7757646804974,0.0
2009,269,3.048,0.0,0.0,27.956830040769734,85.94394136731405,343.7757646804974,0.0
2009,270,0.0,0.0,0.0,27.935633178843933,85.94394136731405,343.7757646804974,0.0
2009,271,4.318,0.0,0.0,27.935633178843933,85.94394136731405,343.7757646804974,0.0
2009,272,1.524,0.0,0.0,27.280831219177387,85.94394136731405,343.7757646804974,0.0
2009,273,0.0,0.0,0.0,27.05510315633178,85.94394136731405,343.7757646804974,0.0
2009,274,0.0,0.0,0.0,27.05510315633178,85.94394136731405,343.7757646804974,0.0
2009,275,20.32,2.9632984378129428,0.031012101111305236,27.053194290976588,85.93855685921646,343.75422637827546,0.026922540438568877
2009,276,2.54,0.0,0.0,21.271656750467585,85.93855685921646,343.75422637827546,0.0
2009,277,0.254,0.0,0.0,20.501898461343387,85.93855685921646,343.75422637827546,0.0
2009,278,0.0,0.0,0.0,20.501898461343387,85.93855685921646,343.75422637827546,0.0
2009,279,6.096,0.0,0.0,20.501898461343387,85.93855685921646,343.75422637827546,0.0
2009,280,4.064,0.0,0.0,18.863869964252437,85.93855685921646,343.75422637827546,0.0
