id,breed,birth_date,days_born,birth_weight,body_weight,wean_weight,mature_body_weight,events
371311,HO,0,59,43.0670514245424,85.4163186586756,0,740.805298797198,No Events
371505,HO,0,59,44.2522820253739,87.7670260169917,0,659.335379863653,No Events
371517,HO,0,59,43.9094552960784,87.0870863372219,0,701.290041921741,No Events
371528,HO,0,59,43.8034505221755,86.8768435356482,0,716.576034482232,No Events
371617,HO,0,59,44.5957723853337,88.4482818975785,0,742.187780350486,No Events
371624,HO,0,59,42.4463800496338,84.185320431774,0,706.612437547132,No Events
371630,HO,0,59,43.1781052864656,85.6365754848235,0,751.321535036275,No Events
371637,HO,0,59,45.7196000296118,90.6772067253968,0,671.491239895784,No Events
371711,HO,0,59,44.0207533924053,87.3078275616037,0,803.200781933279,No Events
371713,HO,0,59,45.8545084099629,90.9447750130931,0,748.094310092846,No Events
371717,HO,0,59,44.9153568351801,89.0821243897738,0,697.656351773272,No Events
371719,HO,0,59,43.3656517311029,86.008542600021,0,661.410533583639,No Events
371723,HO,0,59,42.6570143598683,84.6030784804055,0,715.591931119877,No Events
371731,HO,0,59,44.8387552147077,88.9301978425035,0,852.280585908967,No Events
371738,HO,0,59,44.2356740195882,87.7340868055166,0,739.937490920393,No Events
371812,HO,0,58,45.5543337487018,89.5901897057801,0,738.155167121453,No Events
371813,HO,0,59,42.2141474203771,83.7247257170811,0,728.235455321754,No Events
371816,HO,0,59,43.6413920075232,86.5554274815876,0,654.600315508744,No Events
371817,HO,0,59,43.3943001272335,86.065361919013,0,788.537366448305,No Events
371820,HO,0,59,45.0087742958679,89.2674023534713,0,795.119562546464,No Events
371821,HO,0,59,44.7360357906374,88.7264709847644,0,818.092776046265,No Events
371823,HO,0,59,43.9786237662301,87.2242704696897,0,641.034299955884,No Events
371824,HO,0,59,42.1440344283886,83.5856682829707,0,667.192441132381,No Events
371825,HO,0,59,42.0544739107204,83.4080399229286,0,647.980043403328,No Events
371826,HO,0,59,43.7333190907506,86.7377495299887,0,741.478355110986,No Events
371830,HO,0,59,43.6207212381096,86.5144304555839,0,740.961541208546,No Events
371833,HO,0,59,44.7884628757824,88.8304513703019,0,707.419222930589,No Events
371838,HO,0,59,44.5308846045817,88.3195877990869,0,673.356134168422,No Events
371840,HO,0,59,43.3024670550239,85.8832263257974,0,734.496819832702,No Events
371842,HO,0,59,43.2327229606698,85.7449005386615,0,715.513097333745,No Events
371847,HO,0,59,42.9086945125569,85.102244116571,0,677.064492753419,No Events
371848,HO,0,59,43.5117857333755,86.2983750378613,0,799.728823943714,No Events
371849,HO,0,59,43.1754554257354,85.6313199277084,0,813.59397860882,No Events
371921,HO,0,58,42.850573142752,84.2727938474123,0,677.981129772007,No Events
371925,HO,0,58,44.5835660384581,87.6810132089675,0,713.438947306003,No Events
371935,HO,0,58,45.0057657631676,88.5113393342299,0,730.358193266149,No Events
371938,HO,0,58,45.3980130450513,89.2827589886007,0,774.314199465874,No Events
371941,HO,0,58,44.034497061883,86.6011775550365,0,818.111409433796,No Events
371943,HO,0,58,41.9815133810806,82.5636429827918,0,714.648172354394,No Events
371945,HO,0,58,43.128566102579,84.8195133350721,0,696.683715352333,No Events
371949,HO,0,58,42.7862359461894,84.146264027506,0,671.478652966626,No Events
372032,HO,0,57,43.4522114431595,84.7318123141608,0,812.25635454987,No Events
372033,HO,0,57,42.9411201705995,83.735184332669,0,721.802814055051,No Events
