year,NO3_average,NH4_average,active_N_average,stable_N_average,org_N_average
,kg,kg,kg,kg,kg
2009,13.700243735597091,0.1442608588805493,0.0,0.0,0.0
2010,58.696874030215795,2.3638323341761276,115.64896587793858,4.835543821852418,0.0
2011,132.96059131802943,8.463792849128954,509.285082236254,59.00648249574413,0.0
2012,184.3493305147632,8.23127926103424,827.4325664528926,160.04365344761146,0.0
