year,j_day,num_animals_in_pen,average_growth,average_milk,average_p_animal,average_p_req
,,,kg,kg,g,g
2009,244,116,0.12124778709136529,0.0,5642.489342438505,18.814568247176787
2009,245,116,0.12124778709136529,0.0,5626.97873294509,15.744447854979857
2009,246,116,0.12124778709136529,0.0,5611.467757967657,15.744804664146592
2009,247,116,0.12124778709136529,0.0,5595.960580385466,15.73277195173235
2009,248,116,0.12124778709136529,0.0,5580.453037149023,15.733129267532682
2009,249,116,0.12124778709136529,0.0,5564.945128257133,15.733486586929253
2009,250,116,0.12124778709136529,0.0,5549.43685370858,15.733843909920227
2009,251,119,0.11970231813019021,0.0,5394.42182711727,15.720372492721854
2009,252,119,0.11970231813019021,0.0,5379.009246746884,15.62394036653885
2009,253,119,0.11970231813019021,0.0,5363.596309752127,15.624289234782502
2009,254,119,0.11970231813019021,0.0,5348.183016131885,15.624638106370005
2009,255,119,0.11970231813019021,0.0,5332.76936588503,15.624986981299656
2009,256,119,0.11970231813019021,0.0,5317.355359010437,15.625335859569669
2009,257,119,0.11970231813019021,0.0,5301.940995506985,15.62568474117834
2009,258,125,0.11395660685994108,0.0,5032.77737190629,15.611796265468639
2009,259,125,0.11395660685994108,0.0,5017.518648023726,15.45175571062557
2009,260,125,0.11395660685994108,0.0,5002.25958444386,15.452088401350585
2009,261,125,0.11395660685994108,0.0,4987.00018116568,15.45242109509392
2009,262,125,0.11395660685994108,0.0,4971.740438188181,15.452753791853988
2009,263,125,0.11395660685994108,0.0,4956.480355510342,15.45308649162922
2009,264,125,0.11395660685994108,0.0,4941.219933131151,15.453419194418057
2009,265,135,0.10551537672216767,0.0,4561.073090859815,15.45375190021893
2009,266,135,0.10551537672216767,0.0,4545.983961905134,15.269226747776617
2009,267,135,0.10551537672216767,0.0,4530.894518409355,15.26953481427684
2009,268,135,0.10551537672216767,0.0,4515.808515933754,15.258665615072662
2009,269,135,0.10551537672216767,0.0,4500.722198763876,15.258974137471446
2009,270,135,0.10551537672216767,0.0,4485.635566898822,15.259282662525287
2009,271,135,0.10551537672216767,0.0,4470.548620337713,15.259591190232776
2009,272,143,0.09961241858386458,0.0,4206.204505778073,15.259899720592566
2009,273,143,0.09961241858386458,0.0,4191.33099222626,15.029080634570924
2009,274,143,0.09961241858386458,0.0,4176.4571814111005,15.029372415847373
2009,275,143,0.09961241858386458,0.0,4161.583073331805,15.029664199481434
2009,276,143,0.09961241858386458,0.0,4146.708667987581,15.029955985471899
2009,277,143,0.09961241858386458,0.0,4131.840799508464,15.009908098727172
2009,278,143,0.09961241858386458,0.0,4116.972633487521,15.010200708817068
2009,279,148,0.028310766407329435,0.0,3963.519448567859,15.010493321029298
2009,280,148,0.028310766407329435,0.0,3948.7424125344346,14.914869109421291
2009,281,148,0.028310766407329435,0.0,3933.9650890091993,14.915151840183881
2009,282,148,0.028310766407329435,0.0,3919.1874779914783,14.915434572993906
2009,283,148,0.028310766407329435,0.0,3904.409579480571,14.915717307850302
2009,284,148,0.028310766407329435,0.0,3889.631393475802,14.91600004475201
2009,285,148,0.028310766407329435,0.0,3874.856579996904,14.905389865736185
2009,286,155,0.09190048940317828,0.0,3685.7550927665256,14.905673045551357
