year,manure_N_applied,NO3_runoff,NH4_runoff,NH4_erosion,active_N_erosion,stable_N_erosion,fresh_N_erosion,NO3_drainage,NH4_drainage,active_N_drainage
,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha
1980,0.0,0.8460300192304802,0.00016519713744492492,1.8272428714523092e-07,0.0003987672069804416,0.020968049158143664,0.0,78.50578780124215,0.009692041834354981,0.1353650994880131
1981,0.0,0.0011378260465737312,0.00010962719239739642,1.1123297473475902e-07,0.00019488383241282007,0.011481017652834501,0.0,74.04306936110243,0.012132320534237693,0.1141693355261282
1982,0.0,5.053946078752508e-05,0.00012960129757509978,1.328145713508699e-07,0.00031984248543904744,0.02016057497628959,0.0,46.472312729139276,0.01336440520667263,0.1095034922169107
1983,0.0,3.8918348704595034e-05,9.544265227664627e-05,1.0018269198114343e-07,0.0002666437911516802,0.018119823417424723,0.0,25.544907024552973,0.01199253619432591,0.10947856981455534
1984,0.0,6.360399091283377e-05,0.0001370878299783282,1.4509986964141877e-07,0.00028073101265985964,0.020163153547061604,0.0,13.959714707625787,0.013571560484877194,0.1234829514857471
1985,0.0,9.9908269330442e-05,0.00012315576689018627,1.2656496545670902e-07,0.00033152163764750976,0.02525409238897801,0.0,6.085649088890315,0.013250610246624689,0.12622820992363323
1986,0.0,7.607330615419268e-05,0.0001354736943373503,1.4977708939179163e-07,0.000295094724376679,0.02323099816928342,0.0,2.1887717774787383,0.010608377148907536,0.10475651724672966
1987,0.0,4.545709119599368e-05,0.00012438352956979545,1.3102687984408425e-07,0.00022499170009732155,0.01797039555594631,0.0,0.98654289937221,0.010309470911364993,0.09950170996000235
1988,0.0,3.358898384117601e-05,5.542953007633081e-05,3.7076911132841656e-08,7.323883332105004e-05,0.005840767319886623,0.0,0.4249608790513635,0.009211103693369223,0.08292057419097007
1989,265.641,6.111609461012115e-06,0.00021050552443852773,2.2127983850812564e-07,0.00873803184081327,0.011087966887094411,2.4146336435915584e-05,0.038810510816045536,0.0071508835804130885,0.057387171427718445
1990,0.0,0.002108819596584038,0.11940459678502302,3.0024770711057023e-05,0.044453146012777604,0.016328813732063387,0.0013589599374920277,0.0025438004055426105,0.09857930238320992,0.09149254493352733
1991,0.0,0.0315774345101425,0.5164033041750355,7.196134800089036e-05,0.015219007831917004,0.01204811804974858,0.00208089808863077,0.009547057745968103,0.593900525977077,0.10902211521825658
1992,272.367,0.0021352443156187717,0.49189872018104025,8.005478263581419e-05,0.032600034171808234,0.021006667063216508,0.004069418027634334,0.0185918578025492,0.9874970403129423,0.10752095777732647
1993,200.632,0.21195464010253473,4.993185295459608,0.0008321039055584019,0.03701018693870104,0.024155373449454242,0.020608463375738267,0.6364610539086961,9.770501783835236,0.1750777336842312
1994,0.0,4.19350165519684,11.73675903918075,0.0013780315020683162,0.019373276649166025,0.010247959980788592,0.02092780394531923,65.80041345538656,23.25445817489702,0.17839713246489358
1995,0.0,0.23096686400059005,4.109280721596188,0.0004141679222054003,0.02615066516310352,0.0200298653465483,0.0060518790601873,272.4996443637603,24.515397554941472,0.23542251724062546
1996,214.082,0.012918170264592304,1.8784411159795142,0.00020854426512252337,0.03359872470645391,0.035210390685598864,0.003124973489431359,67.56786557388152,4.5402065867414905,0.20115921844128334
1997,229.774,0.6943996240699765,3.909391744813365,0.0007435422918296991,0.05034708630981689,0.05518933194131254,0.02072050395656232,0.9574603808798187,6.062713766657145,0.32112322733720694
1998,0.0,8.509374029389786,16.31001229794638,0.0019859385691333004,0.05641429125594273,0.05594572607279651,0.06343333876044362,40.49470740349836,15.97473082415887,0.46870265917400045
1999,0.0,2.0325641768649008,7.973226713112443,0.0007703214421550819,0.05484939668344967,0.06123145963364225,0.01283467314511021,323.25773874667277,14.5108815682252,0.57132988708479
2000,284.36,0.01825652380952457,2.47881240597021,0.0002959208310893545,0.06362558976931948,0.1074516665950778,0.003890988185096541,173.52536373079047,4.940201069741117,0.7765672678825652
2001,214.419,0.4208564586660454,4.340192326982694,0.0008273077425002825,0.06077501360922499,0.10778949098039511,0.012323223603019781,1.702769356826823,6.571845294350647,1.1806963663892696
2002,0.0,1.682817807529062,8.345555998169026,0.000827599218957324,0.024537666687531615,0.04261981204035089,0.028078529134394674,12.465915269571312,7.6164552548195426,0.666980634072753
2003,0.0,0.5075009034598038,3.773766692565773,0.0004650571207863972,0.053200150814812434,0.10978779589876686,0.005382939192177315,155.93892405056695,11.291447709671003,0.8954522387747603
2004,249.94999999999996,0.04962910615653231,3.538945547523068,0.0004122079948536322,0.06017425556609722,0.14804738669217407,0.0072292753458225445,105.71837770606697,10.510438206949551,1.3252365304574838
2005,319.476,0.1678160811056938,2.1187808289112025,0.00025085948918849633,0.04351728980090341,0.10133240706638257,0.010156842160080367,0.4825333809821821,2.267957985717224,0.8823171526499468
2006,0.0,10.298901089024639,19.210748099611205,0.0021005668602356287,0.054760603136506665,0.10842894066647304,0.03999352265605664,71.932433703795,21.12470627934534,1.540239753725111
2007,0.0,0.8655178738699179,5.930753502820999,0.0005507403936282983,0.077719320969021,0.19155536085233732,0.008727179018105978,340.0089588661606,15.101954447563726,1.658025896019546
2008,175.017,0.07273135506852627,3.9986437467772094,0.0004810030982709867,0.1451210558714776,0.46162393246391337,0.010780952274613427,124.08886201735145,8.012381151896685,1.7236108082958446
2009,354.771,0.37182850638490744,7.195332891842168,0.0013136618086929434,0.09083733461050036,0.304969507170102,0.030901613837723337,0.4394764056676116,7.528472006896643,1.6027062715325409
2010,0.0,14.560507830909907,25.06276060404214,0.0027863526880304804,0.0876033340240998,0.2215409944372475,0.04819756464949441,66.45224356654417,32.65942417114265,1.9918695055419444
2011,0.0,0.3537420796890507,3.335285174737409,0.00046258405916536536,0.06535355109968462,0.20395254704460272,0.008010427475175467,215.7433675550533,10.119420912334641,1.3692260530248044
2012,168.621,0.0406141205508687,1.0622758711956475,0.00013192106472003815,0.04125729817918961,0.16094189903868622,0.002584550212146962,75.54604499291676,0.9370553136266765,0.898706637602592
2013,244.525,0.18108821818626392,3.584373891037282,0.0006687250381848822,0.08504536002123719,0.34943819120006464,0.021502749030739367,18.518893657764952,7.224884690228563,1.8759042746213832
2014,0.0,6.076314967034896,22.83341664907207,0.0028724181377798638,0.06580374974145489,0.23907953222853645,0.05712220021078176,12.728266883709521,25.878014017385734,1.5540755160603057
2015,0.0,1.6203964482926945,7.877800242294715,0.0010603412230268153,0.07004893873255955,0.2803417652113753,0.012291952487966098,179.746252427223,18.571567091116762,1.8354400516673457
2016,72.021,0.05919281834058221,1.0187313395101771,0.0001477908876484244,0.06118337574581833,0.3295155356939134,0.0026421752727354853,60.12923872644814,3.579264541818878,2.236625915583725
2017,72.021,0.28870060571874423,1.968402615478852,0.00040029474998623044,0.037005916198551786,0.2279567037628174,0.009095054383656497,0.6492051197252154,3.2708590844620877,1.9075754421026159
2018,275.04,7.590817257433358,16.030881180740572,0.0018092885623520235,0.06762092762320694,0.36466164628478626,0.05349420149604153,74.4092761698859,16.345611442654942,2.561899634073502
2019,0.0,0.07117811449384186,4.832739456302905,0.0005139351351325614,0.10112891544170133,0.49935414391069505,0.01043083776685311,234.96906425227073,14.740402045335408,2.7057163256546723
