year,j_day,transpiration,soil_water,evaporation,percolation,temperature,NO3,NH4,active_N,stable_N,nitrification,volatilization,denitrification,nitrification_volatilization,N_trans,NO3_percolation,NH4_percolation,soil_C_percent,total_CO2_C_loss,total_carbon,M_d,fr_tillage,water_fac,active,slow,passive
,,mm H2O,mm H2O,mm H2O,mm H2O,ºC,kg,kg,kg,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg,kg,kg,%,kg/ha,kg/ha,,,,kg/ha,kg/ha,kg/ha
2009,244,0.0,44.99330214526042,0.006697854739579512,0.0,13.143576526795368,34.88570670197356,1.878790341957894,0.0,0.0,0.07120962342473647,3.461736945594429e-08,0,0.07120965804210592,0.0,0,0,0.007716852164732317,52.37468698827779,15047.861721228019,0.24853041531396627,0.0,0.9997767381753474,5020.83236599502,5026.8318059180265,5000.197549314972
2009,245,0.0,44.98641882365201,0.006883321608413525,0.0,13.05286749682924,34.95205250052415,1.8124445111670264,0.0,0.0,0.0663457985505889,3.224027862621164e-08,0,0.06634583079086753,0.0,0,0,0.007742993205641633,55.78558358031661,15098.836751001185,0.24888958446719547,0.0,0.9995472941217336,5042.5919467297645,5055.832466839721,5000.412337431699
2009,246,0.0,44.97896131121206,0.0074575124399478485,0.0,13.047640650077229,35.01591684116626,1.7485801394839844,0.0,0.0,0.06386434064211334,3.1040928779011454e-08,0,0.06386437168304211,0.0,0,0,0.007769202326880912,55.93724334214113,15149.944537417778,0.249279052764398,0.0,0.9992987103737353,5063.948893496956,5085.363215151348,5000.632428769474
2009,247,0.0,44.971935581309204,0.007025729902859524,0.0,13.161974976185288,35.08015827832392,1.6843386710705863,0.0,0.0,0.06424143715766287,3.125573515807269e-08,0,0.06424146841339802,0.0,0,0,0.007798015038956888,61.50352759339313,15206.129325965932,0.2496462927894173,0.0,0.9990645193769735,5086.919304487824,5118.330349535027,5000.87967194308
2009,248,0.0,44.964500975382606,0.007434605926595389,0.0,13.401954528855157,35.14768593320194,1.6168109832728614,0.0,0.0,0.0675276548780181,3.2919706704649156e-08,0,0.0675276877977248,0.0,0,0,0.007828263593772816,64.58246579724008,15265.114007856992,0.2500352446663092,0.0,0.9988166991794202,5110.445520956794,5153.523073665022,5001.1454132351755
2009,249,0.0,44.95690328969574,0.007597685686869649,0.0,13.579660527782083,35.21679621484207,1.5477006678866068,0.0,0.0,0.06911028164013013,3.3746124477888594e-08,0,0.0691103153862546,0.0,0,0,0.007858041125157152,63.594757870344694,15323.180194056447,0.2504330889359571,0.0,0.9985634429898579,5132.995204637874,5188.771515513297,5001.413473905275
2009,250,0.0,44.949593226278814,0.00731006341692081,0.0,13.909847335914808,35.291245822409216,1.4732510238558956,0.0,0.0,0.074449607567143,3.6463568197352704e-08,0,0.07444964403071119,0.0,0,0,0.007891041539252642,70.50142114558462,15387.531001542651,0.25081621617537947,0.0,0.9983197742092939,5157.31966233055,5228.493677755743,5001.717661456358
2009,251,0.0,44.942461444908,0.00713178137081352,0.0,13.843706377223867,35.360446589022736,1.4040502233614585,0.0,0.0,0.0692007666135222,3.388091481508726e-08,0,0.06920080049443703,0.0,0,0,0.007919875740518494,61.627763062157925,15443.75769401106,0.25119032447236356,0.0,0.9980820481635999,5177.927953241817,5263.8393326722935,5001.99040809695
2009,252,0.0,44.9352711814391,0.0071902634689009915,0.0,13.998920212970544,35.43012560071211,1.334371177501573,0.0,0.0,0.06967901168937661,3.41705089267932e-08,0,0.06967904585988553,0.0,0,0,0.007950950898213658,66.44695767651349,15504.354251516634,0.2515678253467278,0.0,0.9978423727146366,5199.53339093614,5302.529913038152,5002.290947542343
2009,253,0.0,44.92852289673661,0.006748284702489696,0.0,14.177275407042146,35.50063878978036,1.2638579537877708,0.0,0.0,0.07051318906825076,3.4645551547002585e-08,0,0.0705132237138023,0.0,0,0,0.007982448584108681,67.38687278357598,15565.774739011928,0.2519224181692733,0.0,0.9976174298912203,5220.774064381745,5342.397843861678,5002.602830768505
2009,254,0.0,44.92025598142509,0.008266915311514899,0.0,14.61909277987989,35.578522442661736,1.1859742624520146,0.0,0.0,0.07788365288137275,3.845438332506967e-08,0,0.07788369133575608,0.0,0,0,0.008014507328723485,68.62942748114234,15628.289291010795,0.2523571996083576,0.0,0.9973418660475031,5241.717594333437,5383.6438990716415,5002.9277976057165
2009,255,0.0,44.912971123897876,0.007284857527214185,0.0,14.687888005542895,35.65334106754301,1.1111556005921714,0.0,0.0,0.0748186248812767,3.6978566437384544e-08,0,0.07481866185984315,0.0,0,0,0.008046082709777124,67.64172115196575,15689.861284065391,0.25274068866378685,0.0,0.9970990374632626,5261.673274735332,5424.932566085921,5003.255443244138
2009,256,0.0,44.9062537022552,0.006717421642675885,0.0,14.565721618128672,35.72053351400942,1.0439631209547005,0.0,0.0,0.06719244646640384,3.3171067184880423e-08,0,0.06719247963747102,0.0,0,0,0.008075684836567714,63.46243421713116,15747.585431307041,0.2530946030091456,0.0,0.9968751234085066,5279.7675455439075,5464.248259176065,5003.569626587068
2009,257,0.0,44.899443421314956,0.0068102809402430685,0.0,14.531740612646209,35.78291089877806,0.9815857053967134,0.0,0.0,0.06237738476864652,3.0789340477952834e-08,0,0.062377415557986995,0.0,0,0,0.008106707343119659,66.55878479382807,15808.079319083336,0.25345369976894566,0.0,0.9966481140438319,5298.134059326491,5506.039484133663,5003.905775623181
