year,actual,calculated,difference,delta,runoff,evaporation,transpiration,drainage
,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
2009,262.89,262.89,0.0,0.929,66.762,60.291,4.396,130.513
2010,1027.43,1027.43,-0.0,-1.804,283.505,257.468,85.209,403.051
2011,872.49,872.49,-0.0,3.737,207.74,198.401,136.55,326.062
2012,582.168,582.168,0.0,-1.078,99.002,205.867,102.411,175.965
2013,941.07,941.07,-0.0,-1.818,270.676,229.751,143.212,299.249
2014,892.048,892.048,0.0,-0.275,245.162,181.131,145.192,320.839
2015,922.528,922.528,0.0,3.747,236.847,180.641,149.635,351.658
2016,774.192,774.192,-0.0,-1.46,193.058,152.494,145.876,284.225
