year,ET_max,ET
,mm H20,mm H20
2009,95.05947083362915,63.77478450831217
2010,501.3493347841903,376.95014620593963
2011,494.7423604455094,311.70387846455463
2012,568.5055201229012,297.5203242741933
2013,545.6072352414698,349.60375127143567
2014,473.2698954877458,305.5685695203833
2015,501.00671137435876,309.6373983954831
2016,400.6623759419546,260.1745670599689
