year,manure_applied,ET_max,ET
,kg,mm H20,mm H20
1970,2.0354193289150326,497.49456786487315,356.4567425939656
1971,67.85257450066194,492.2999555747559,327.1118593081137
1972,0.0,567.3032049121185,351.06089799685384
1973,0.0,551.0006144011448,386.56625328429425
1974,1.7299331106266307,477.6590048928811,311.74605399921825
1975,60.20486935765206,488.53544231961365,341.02936888757165
1976,59.84889233436796,507.980585988921,371.3140085848817
1977,0.0,497.2097979793717,352.3464760545247
1978,1.6947647271686248,493.00085741888415,319.76579518316703
1979,59.200728895320964,564.8166012309428,352.9296843449708
1980,0.0,553.403185964976,383.43339894572375
1981,0.0,477.70057605750213,313.7085490743916
1982,1.6812307788301697,488.4992951250176,334.30692760646633
1983,58.79415974005081,505.57259045506476,374.43142466720957
1984,100.68110467148726,499.1535399486681,366.7589429920818
1985,0.0,494.0263107826757,325.0453200804338
1986,1.6748951035722488,564.5717806454087,344.1614169731429
1987,58.593784327322744,550.678811217422,368.0769928698649
1988,61.90433218562262,479.9591024650819,336.27942386769485
1989,0.0,488.88550668685644,359.0463416869176
1990,29.22022238210545,505.05684455643717,361.95004034281504
1991,98.55090612215082,497.0245478778772,369.660248710608
1992,58.43643593472181,496.3506336935314,327.6384445484673
1993,0.0,564.5310434493168,339.5746045295679
1994,1.6681238156661402,550.0632577995268,366.99329674798946
1995,60.037773919607936,478.29107016821314,333.41452608356417
1996,0.0,491.1735787256244,357.07281184150156
1997,0.0,505.07668366407773,370.5731926254785
1998,1.6661524469604312,497.1144186132593,352.11228311748414
1999,58.30522733751744,493.9528518117408,326.6951421701096
2000,58.292036034227415,567.0691472018926,358.7187741553858
2001,0.0,549.6104524074645,385.74965527066996
2002,1.6647216877623432,478.4537018705171,316.8493197244595
2003,58.257453295317184,488.92564866280696,342.2569047081222
2004,58.247211113288394,507.2523207054753,367.50554055956405
2005,0.0,496.3520580597958,356.0567045046637
2006,1.663596949723102,494.5784704784763,321.72706749487946
2007,58.21959102394952,565.0302520472231,357.9402637807901
2008,0.0,551.8359421964877,399.8839056287352
2009,0.0,478.69714457504193,338.4409665511298
2010,29.008191815383125,488.8493229503489,338.10700409680794
2011,85.52997109497721,504.85971392438535,370.50999075506485
2012,122.09083929991125,498.1245540302872,367.12039272424255
2013,27.331698629756453,494.6814080808374,325.6564030393328
2014,28.989161800873184,565.8366355055773,346.12988524319013
2015,85.48634803080961,549.1541251652811,382.2231441326058
2016,27.318519584716018,480.5884066292023,343.2868033851317
2017,0.0,489.32697549429207,347.25257997477746
2018,1.6612866404041289,504.79440011075167,365.01281290646205
2019,93.0261006301744,495.82095324581735,370.07111016512675
2020,58.136726078093005,496.6429662850981,327.4239058095101
2021,0.0,566.7272851642049,346.8297655666185
2022,1.660750946186958,548.9268254711837,368.45391036617355
2023,71.40808894410159,477.96349846041113,341.48131998652207
2024,0.0,491.34130756430983,354.8539738452661
2025,0.0,505.1356577835254,364.87761481037984
2026,1.6602166547621473,495.5385227653835,355.4628478505053
2027,58.10443155924522,494.56980702274046,327.9913901509417
2028,68.06047782978926,569.0527099983468,375.3355893188279
2029,0.0,548.7070470798949,385.9114939947835
2030,1.65976800616211,477.83206070062454,322.94125654387204
2031,66.38755287180437,489.3670988812434,344.99394765462534
2032,58.08535938233941,507.4035084074204,372.8621460682689
2033,89.61163785085066,495.1968925414791,374.3280892981391
2034,1.6593529098178994,494.520384586485,324.0297431934609
2035,66.37145942004265,567.1759120346119,371.0831317658438
2036,0.0,551.2294606175884,402.4643891605852
2037,0.0,477.28264306805687,345.55330990069194
2038,1.6590087459515226,489.55956907691495,337.4300549182197
2039,58.06335891245092,505.238042306623,368.74320023301374
2040,89.57949100670925,496.73880415344263,367.41263926940724
2041,0.0,494.9151482857674,329.1145144371684
2042,1.6587283219235462,567.2836634354661,349.76462373246216
2043,92.88600097380298,549.1850339054885,385.09161454903096
2044,68.00319725354484,479.4607088270667,348.46858418420226
2045,0.0,489.0834984061866,358.99716602810855
2046,1.6584762733878415,505.74993642069063,367.5418187160295
2047,87.8969885002871,494.5249149510936,370.0744962220513
2048,58.04327648544224,497.1254587177588,330.1476568275639
2049,0.0,566.7057335482708,355.3351154708088
2050,1.6582626648671157,549.9063992410337,369.80493351760333
2051,66.32899826513238,477.1069629467254,344.19654840016835
2052,0.0,491.0192589154424,354.2950696239457
2053,0.0,506.04754639953063,364.5330319161651
2054,1.6580525146974885,493.9668965440455,358.75213010375126
2055,58.030527460943794,495.4501066367111,331.632091921456
2056,63.00261712303984,568.542904695554,375.6584770333303
2057,0.0,549.4727450097303,384.9769174747504
2058,1.6578559444957148,477.66987016871957,327.033531436722
2059,61.33940542104563,489.05283477746855,342.4814772032193
2060,58.02215585654967,508.1448900218368,378.78840238469104
2061,0.0,493.2380681461111,375.5890482073417
2062,1.6576724106273952,496.2044993100943,327.02486457239604
2063,61.3325938162531,566.419996797799,370.8070487473149
2064,0.0,552.1778441044079,401.36298869604576
2065,0.0,477.21012781483915,347.8397013251094
2066,1.6574842509052685,489.14205840910853,340.0200731436415
2067,58.01080881198801,505.81030964939964,374.0141775788951
2068,0.0,495.3472338647634,387.07518689800315
2069,0.0,437.32736411496006,315.0512932379403
