 Class , Description 
 Pen ," pen.py; Translates pen-level manure information into the format and units required by the Manure module; Translates pen-level manure information into one or more ManureStream instance(s), if applicable, and creates accompanying PenManureData instances "
 PenManureData , animal_to_manure_connection.py; Generates PenManureData and ManureStream 
