year,NO3_average,NH4_average,active_N_average,stable_N_average,org_N_average
,kg,kg,kg,kg,kg
2009,6.530542785703622,0.07914950195459021,0.0,0.0,0.0
2010,89.526955709694,37.16254707567294,50994.501278138814,11727.973964138704,0.0
2011,657.5607965048392,100.99625145864009,110563.17653564733,38897.5575872125,0.0
2012,863.4450290676958,158.81934102039523,152652.1315335808,68716.21490132918,0.0
