year,actual,calculated,difference,delta,N_drainage,N_runoff,N_erosion
,kg,kg,kg,kg,kg,kg,kg
2009,1262.8323862536083,-5010.0692676894905,6272.901653943099,-5023.4804079249425,12.679771307772857,0.43960957706574477,0.29175935061312164
2010,1000.0,704.4594558165043,295.54054418349574,655.2958512478699,35.47419548124944,13.216327528759471,0.47308155862535
2011,2149.1074615879347,1479.2704215755766,669.8370400123581,1127.3544222871833,300.4002470450771,50.9289655958744,0.5867866474417514
2012,2152.275194599233,935.2652398674335,1217.0099547317996,382.5383794269701,488.839464120708,63.553556005852286,0.3338403139031037
2013,2158.5802726299057,1098.3381058237485,1060.2421668061572,-204.55212941587615,1203.2164643115211,98.5633202006059,1.1104507274976485
2014,2164.371417676031,1536.541084319224,627.8303333568069,481.84494683818684,960.7866163864301,92.54371777388273,1.365803320724276
2015,6845.390629411032,2293.2037031525565,4552.186926258475,445.5732956612228,1662.9601545741189,182.54372042982664,2.1265324873881313
2016,2172.739746611143,-62.89849147730626,2235.6382380884493,-1575.5754263934195,1374.29660476195,136.75139791360584,1.6289322405574558
