year,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,manure_applied,N_applied,P_applied
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,11257196.235136433,36475451.43607243,4200253580.498971,2854608134.648513,687291.4054732341,32833489.01914794,29843551.174968336,9800591687.830938,4281912201.9727693,3894651.2976816604,2814299.058784108,528.3536043062668,75006.2163508005,36000.0
2010,184011451.2813285,603227404.0394977,63116351221.14822,43922867451.398094,10777522.298725814,503866577.21805984,463706143.0391658,137470894494.84827,61602388975.124374,57177975.061764635,43188563.76154801,1439.432147309595,289987.48198609106,146126.30624277354
2011,519024953.14366245,1704271647.8190422,180150606105.29556,125046273618.36684,32910431.147860754,977122713.7651417,900854381.2741717,273079928063.01108,121685109250.45314,125419816.8117647,83753375.46558356,959.1063147875971,280813.3714257463,146450.68672009534
2012,965796960.1705194,3173205525.477214,340215802021.8156,234879088479.03412,67196191.7134317,1303085020.4949942,1201854990.8112326,373485457138.5479,164749222291.00082,194285976.53823537,111693001.75671381,950.8815082561148,282104.56147191627,146636.60521168576
2013,1523834584.5084069,5008130711.891445,543491057776.03253,373390286728.55524,113447450.11256665,1627609737.6521678,1501302425.2480056,474308930093.1738,207766797374.28094,262090464.26176476,139509406.08447137,935.8796237759465,281724.26253703964,145640.63704275605
2014,2194253071.970962,7212755164.6283865,790349901624.7172,540815701100.17285,171741386.4675839,1955387255.0991263,1803783643.1484041,576003968980.2633,251138121557.42618,330332306.0117643,167604621.8656391,926.8851573524996,282284.51800279866,145255.4657991916
2015,2978212800.7258763,9790900407.154747,1081119543037.6165,737414033354.1927,242078000.77848288,2286549208.8684974,2109391562.0670233,678462496630.0962,294897498381.0294,398574147.76176083,195989932.18872824,919.9137235538008,282755.40214670746,144951.00616205524
2016,3563901548.158408,11717077061.641329,1299355944262.6338,884675526355.1438,295582393.43948555,1708258846.6782107,1575962717.3071942,509218269525.04144,220892239501.4259,303191558.41234845,146422186.8581323,521.0071359261735,161117.53679484472,82388.74018523422
