Days , 0, 5, 15, 45, 90, 135, 180, 225, 270, 330, 380, 430, 480, 530
CDF , 0 , 0.18 , 0.32 , 0.42 , 0.48 , 0.54 , 0.60 , 0.65 , 0.70 , 0.77 , 0.83 , 0.89 , 0.95 , 1
