Section , Variable , Definition , Default , Min , Max 
config_properties,end_date,The year and Julian day on which the simulation will end.,2009:100,--(cutoff at 2006),--(cutoff at 2016)
,FIPS_county_code,Unique 5-digit code that represents a specific US county.,--,1000,56045
animal_properties,cow_times_milked_per_day,"Number of milkings (per day). The average or most common number of times cows are milked per day (1, 2, or 3 times daily)",3,0, --
,parity_fractions,"Fractions of the milking animal population that are parity 1, 2, and 3 and beyong. The sum of these fractions must be 1.0.",1: 0.346; 2: 0.272; 3: 0.379,1,0
,annual_milk_yield,"The total milk yield generated by the farm in one year (kg). If this information is not available, it can be input as null.",null,--,0
lactation_properties,milking_cow_fraction,Fraction of cows assumed to be in milk at any given time.,0.8365 (306/365),1,0
