year,j_day,num_animals,manure,urea_conc,ammoniacal_N_conc,manure_N,total_solids,manure_VSd,manure_VSnond,WIP_frac,WOP_frac,manure_P,P_frac,K_manure,enteric_methane
,,,kg,mol/L,mol/L,g,kg,g,g,g/g total man,g/g total man,g,g/g total man,g,g
2010,324,42,680.2379370046483,14.279999999999996,5.879999999999998,22361.093999999983,27.369607071613856,297671.34599999996,36094.37999999998,0.09030242087384843,0.009030242087384845,680.2379370046483,0.18060484174769686,0,989.5570191431943
2010,325,44,712.5790735934407,14.959999999999996,6.1599999999999975,23425.90799999998,28.435092209499313,311846.17199999996,37813.15999999998,0.09584653500881349,0.00958465350088135,712.5790735934407,0.19169307001762698,0,1029.7711707792605
2010,326,44,712.6345955977549,14.959999999999996,6.1599999999999975,23425.90799999998,28.693269529559817,311846.17199999996,37813.15999999998,0.09481500069577295,0.009481500069577292,712.6345955977549,0.1896300013915459,0,1036.9430743522867
2010,327,38,615.2990972300875,12.919999999999996,5.319999999999999,20231.465999999986,24.045602119906675,269321.69399999996,32656.819999999985,0.08404028415728879,0.008404028415728878,615.2990972300875,0.16808056831457757,0,875.7189303422226
2010,328,38,615.3517132410576,12.919999999999996,5.319999999999999,20231.465999999986,24.290266570918487,269321.69399999996,32656.819999999985,0.08308651725855888,0.008308651725855886,615.3517132410576,0.16617303451711776,0,882.5010890172016
2010,329,38,615.3998527466209,12.919999999999996,5.319999999999999,20231.465999999986,24.514115271787407,269321.69399999996,32656.819999999985,0.08219608267078593,0.008219608267078595,615.3998527466209,0.16439216534157186,0,888.7299029684189
2010,330,38,615.445105395325,12.919999999999996,5.319999999999999,20231.465999999986,24.724540088260937,269321.69399999996,32656.819999999985,0.08135503776761491,0.008135503776761492,615.445105395325,0.16271007553522981,0,894.5935060171115
2010,331,38,615.4873686659183,12.919999999999996,5.319999999999999,20231.465999999986,24.92106429652035,269321.69399999996,32656.819999999985,0.08056185235413074,0.008056185235413073,615.4873686659183,0.16112370470826148,0,900.0825453455124
2010,332,38,615.5296319365118,12.919999999999996,5.319999999999999,20231.465999999986,25.11758850477974,269321.69399999996,32656.819999999985,0.07978806710840794,0.007978806710840794,615.5296319365118,0.15957613421681588,0,905.5555770697435
2010,333,40,647.8661594391864,13.599999999999996,5.599999999999999,21296.279999999984,26.161641392216982,283496.51999999996,34375.599999999984,0.08531989554386987,0.008531989554386988,647.8661594391864,0.17063979108773975,0,945.2646974293672
2010,334,31,501.83165031839115,10.539999999999997,4.340000000000002,16504.61699999999,19.044773980518027,219709.80299999999,26641.08999999999,0.06976097430956399,0.006976097430956399,501.83165031839115,0.13952194861912798,0,699.3820042772292
2010,335,31,501.87402191629184,10.539999999999997,4.340000000000002,16504.61699999999,19.241801910756745,219709.80299999999,26641.08999999999,0.06896866148581342,0.006896866148581341,501.87402191629184,0.13793732297162684,0,704.8836364576955
2010,336,31,501.91199833283025,10.539999999999997,4.340000000000002,16504.61699999999,19.418392247660744,219709.80299999999,26641.08999999999,0.06823639518308483,0.0068236395183084815,501.91199833283025,0.13647279036616966,0,709.8425385771575
2010,337,31,501.9499854864569,10.539999999999997,4.340000000000002,16504.61699999999,19.59503251202433,219709.80299999999,26641.08999999999,0.06752297244172124,0.006752297244172124,501.9499854864569,0.1350459448834425,0,714.7865141552544
2010,338,31,501.98646832565703,10.539999999999997,4.340000000000002,16504.61699999999,19.76467771430512,219709.80299999999,26641.08999999999,0.06684007484810968,0.006684007484810967,501.98646832565703,0.13368014969621936,0,719.5369129472405
2010,339,31,502.02444474219544,10.539999999999997,4.340000000000002,16504.61699999999,19.941268051209118,219709.80299999999,26641.08999999999,0.06615945018534489,0.0066159450185344915,502.02444474219544,0.13231890037068977,0,724.4530252647291
2010,340,32,518.2039470448799,10.879999999999997,4.480000000000001,17037.02399999999,20.515553758691567,226797.216,27500.47999999999,0.06882356928396859,0.00688235692839686,518.2039470448799,0.13764713856793717,0,745.6994975114682
2010,341,27,437.09126645920037,9.179999999999998,3.7800000000000025,14374.988999999992,16.64358903528104,191360.15099999998,23203.52999999999,0.05991164292838381,0.005991164292838382,437.09126645920037,0.11982328585676762,0,611.3332356236358
2010,342,27,437.12775583669725,9.179999999999998,3.7800000000000025,14374.988999999992,16.813264640641847,191360.15099999998,23203.52999999999,0.059252860541651874,0.005925286054165188,437.12775583669725,0.11850572108330375,0,616.0604505682168
2010,343,27,437.1627516368558,9.179999999999998,3.7800000000000025,14374.988999999992,16.975995111379458,191360.15099999998,23203.52999999999,0.05862303157735967,0.005862303157735968,437.1627516368558,0.11724606315471935,0,620.5959735376424
2010,344,27,437.19922565105446,9.179999999999998,3.7800000000000025,14374.988999999992,17.145599277403182,191360.15099999998,23203.52999999999,0.05799421719398843,0.0057994217193988425,437.19922565105446,0.11598843438797686,0,625.2959641320297
2010,345,28,453.37905479284314,9.519999999999998,3.9200000000000026,14907.395999999992,17.721404786720374,198447.56399999998,24062.91999999999,0.060566371684602695,0.006056637168460271,453.37905479284314,0.12113274336920539,0,646.6467651771861
2010,346,28,453.41267587778,9.519999999999998,3.9200000000000026,14907.395999999992,17.87774283167633,198447.56399999998,24062.91999999999,0.05995816725471672,0.005995816725471673,453.41267587778,0.11991633450943344,0,651.0061385492422
2010,347,30,485.73414974448644,10.199999999999998,4.200000000000002,15972.20999999999,18.851796311862714,212622.38999999998,25781.69999999999,0.06587713086157496,0.0065877130861574954,485.73414974448644,0.1317542617231499,0,688.7003121814365
2010,348,26,420.8515156980419,8.839999999999998,3.6400000000000023,13842.581999999993,15.789147995894504,184272.73799999998,22344.139999999992,0.05859798822559509,0.005859798822559508,420.8515156980419,0.11719597645119018,0,582.1860585652138
2010,349,26,420.8894747489266,8.839999999999998,3.6400000000000023,13842.581999999993,15.96565758250887,184272.73799999998,22344.139999999992,0.057912510643215974,0.005791251064321599,420.8894747489266,0.11582502128643195,0,587.0962330177701
2010,350,26,420.92743379981147,8.839999999999998,3.6400000000000023,13842.581999999993,16.142167169123237,184272.73799999998,22344.139999999992,0.057243594581475515,0.00572435945814755,420.92743379981147,0.11448718916295103,0,591.9923181969693
2010,351,26,420.9653928506963,8.839999999999998,3.6400000000000023,13842.581999999993,16.3186767557376,184272.73799999998,22344.139999999992,0.05659062522225358,0.005659062522225358,420.9653928506963,0.11318125044450716,0,596.8745208913506
2010,352,26,421.0033519015811,8.839999999999998,3.6400000000000023,13842.581999999993,16.495186342351964,184272.73799999998,22344.139999999992,0.0559530188589499,0.0055953018858949915,421.0033519015811,0.1119060377178998,0,601.7430422953629
2010,353,27,437.18732388253113,9.179999999999998,3.7800000000000025,14374.988999999992,17.090256053769433,191360.15099999998,23203.52999999999,0.05849379008756558,0.005849379008756558,437.18732388253113,0.11698758017513115,0,623.5815329234873
2010,354,28,453.3727561900793,9.519999999999998,3.9200000000000026,14907.395999999992,17.692116283868696,198447.56399999998,24062.91999999999,0.06099866443317681,0.006099866443317681,453.3727561900793,0.12199732886635362,0,645.6129377697991
2010,355,28,453.4137150071513,9.519999999999998,3.9200000000000026,14907.395999999992,17.88257478325319,198447.56399999998,24062.91999999999,0.06030242222890159,0.006030242222890158,453.4137150071513,0.12060484445780317,0,650.8643407746457
2010,356,29,469.59876716658044,9.859999999999998,4.060000000000002,15439.80299999999,18.48266732459867,205534.97699999998,24922.30999999999,0.06285485054017002,0.006285485054017001,469.59876716658044,0.12570970108034005,0,672.8121864798932
2010,357,29,469.6411942060249,9.859999999999998,4.060000000000002,15439.80299999999,18.679953058015844,205534.97699999998,24922.30999999999,0.0621384035587751,0.006213840355877511,469.6411942060249,0.1242768071175502,0,678.2429695270137
2010,358,29,469.677783798114,9.859999999999998,4.060000000000002,15439.80299999999,18.850094661230216,205534.97699999998,24922.30999999999,0.06149408743375332,0.006149408743375334,469.677783798114,0.12298817486750664,0,682.9573998077608
2010,359,29,469.71437339020315,9.859999999999998,4.060000000000002,15439.80299999999,19.020236264444588,205534.97699999998,24922.30999999999,0.06086528797310826,0.006086528797310825,469.71437339020315,0.12173057594621652,0,687.658435188012
2010,360,29,469.7524286802303,9.859999999999998,4.060000000000002,15439.80299999999,19.19719336307094,205534.97699999998,24922.30999999999,0.06023719418617792,0.006023719418617793,469.7524286802303,0.12047438837235584,0,692.5230015907298
2010,361,29,469.79048397025747,9.859999999999998,4.060000000000002,15439.80299999999,19.37415046169729,205534.97699999998,24922.30999999999,0.05962373605650984,0.005962373605650983,469.79048397025747,0.11924747211301968,0,697.3741818971426
2010,362,25,404.90818750588176,8.499999999999998,3.500000000000002,13310.174999999994,16.313071902349957,177185.32499999998,21484.749999999993,0.052447264747703386,0.005244726474770338,404.90818750588176,0.10489452949540677,0,590.7998863253123
2010,363,25,404.9419057276192,8.499999999999998,3.500000000000002,13310.174999999994,16.4698616334291,177185.32499999998,21484.749999999993,0.05190246193845759,0.005190246193845759,404.9419057276192,0.10380492387691519,0,595.1038037767037
2010,364,25,404.977039502873,8.499999999999998,3.500000000000002,13310.174999999994,16.63323368836003,177185.32499999998,21484.749999999993,0.05135587323434863,0.005135587323434863,404.977039502873,0.10271174646869725,0,599.5674144869613
2010,365,25,405.00929815684765,8.499999999999998,3.500000000000002,13310.174999999994,16.783236429341418,177185.32499999998,21484.749999999993,0.050849849777552025,0.005084984977755203,405.00929815684765,0.10169969955510405,0,603.6718172479664
2011,1,25,405.04301637858504,8.499999999999998,3.500000000000002,13310.174999999994,16.940026160420565,177185.32499999998,21484.749999999993,0.05034089735922121,0.005034089735922121,405.04301637858504,0.10068179471844242,0,607.9413437115272
2011,2,25,405.07673460032254,8.499999999999998,3.500000000000002,13310.174999999994,17.09681589149971,177185.32499999998,21484.749999999993,0.049843163346197594,0.004984316334619758,405.07673460032254,0.09968632669239519,0,612.1995938768066
2011,3,26,421.2544829986163,8.839999999999998,3.6400000000000023,13842.581999999993,17.662945943565884,184272.73799999998,22344.139999999992,0.052590696583132694,0.00525906965831327,421.2544829986163,0.10518139316626539,0,633.1488181227111
2011,4,23,372.60214512769335,7.819999999999998,3.220000000000002,12245.360999999995,15.410774843773991,163010.49899999998,19765.969999999994,0.04710044086771634,0.004710044086771633,372.60214512769335,0.09420088173543267,0,554.3671841420197
2011,5,23,372.6329507799991,7.819999999999998,3.220000000000002,12245.360999999995,15.55402112699625,163010.49899999998,19765.969999999994,0.04662394491737932,0.004662394491737931,372.6329507799991,0.09324788983475864,0,558.2747696893241
2011,6,23,372.66517039596243,7.819999999999998,3.220000000000002,12245.360999999995,15.70384234122486,163010.49899999998,19765.969999999994,0.046143694122843325,0.004614369412284334,372.66517039596243,0.09228738824568665,0,562.3435858719137
2011,7,23,372.69739001192556,7.819999999999998,3.220000000000002,12245.360999999995,15.85366355545348,163010.49899999998,19765.969999999994,0.04567406433662189,0.004567406433662189,372.69739001192556,0.09134812867324378,0,566.4017486137923
2011,8,24,388.86561384454865,8.159999999999998,3.360000000000002,12777.767999999995,16.375504377150676,170097.91199999998,20625.359999999993,0.048588469414322585,0.0048588469414322585,388.86561384454865,0.09717693882864517,0,586.1356680232345
2011,9,24,388.89348762293986,8.159999999999998,3.360000000000002,12777.767999999995,16.505117446670333,170097.91199999998,20625.359999999993,0.04813894135934181,0.004813894135934181,388.89348762293986,0.09627788271868362,0,589.6841720121877
2011,10,24,388.919876122751,8.159999999999998,3.360000000000002,12777.767999999995,16.62782397079178,170097.91199999998,20625.359999999993,0.047713208116200126,0.004771320811620012,388.919876122751,0.09542641623240025,0,593.0456689401713
2011,11,18,291.56551647881076,6.119999999999998,2.5200000000000014,9583.326,11.892451626469722,127573.434,15469.019999999997,0.037428695373272015,0.0037428695373272016,291.56551647881076,0.07485739074654403,0,429.26106262832405
2011,12,18,291.59190497862176,6.119999999999998,2.5200000000000014,9583.326,12.01515815059117,127573.434,15469.019999999997,0.037022070756628576,0.003702207075662858,291.59190497862176,0.07404414151325715,0,432.6047907537148
2011,13,18,291.6182934784329,6.119999999999998,2.5200000000000014,9583.326,12.137864674712626,127573.434,15469.019999999997,0.03662461228735271,0.0036624612287352704,291.6182934784329,0.07324922457470542,0,435.93963100803853
2011,14,18,291.6417891419333,6.119999999999998,2.5200000000000014,9583.326,12.247119509989746,127573.434,15469.019999999997,0.03626367037777333,0.0036263670377773335,291.6417891419333,0.07252734075554666,0,438.9176089199357
