year,manure_applied,ET_max,ET
,kg,mm H20,mm H20
2009,10400.0,95.05947083362915,64.68661754271459
2010,0.0,501.3493347841903,366.42371182057127
2011,10400.0,494.7423604455094,359.7091049197751
2012,10400.0,568.5055201229012,324.5277720167675
2013,10400.0,545.6072352414698,373.59105186446135
2014,10400.0,473.2698954877458,325.8333277944389
2015,10400.0,501.00671137435876,329.90104175409647
2016,10400.0,400.6623759419546,298.3150956737917
