 , $\leq$  4.6°C , 4.7°C - 5.8°C , 5.8°C - 13.9°C , 14.0°C - 25.1°C , $\geq$ 25.2°C
Mixing ,0.5,0.5,1,1,1.5
No mixing ,21,26,37,41,74
