year,actual,calculated,difference,delta,N_drainage,N_runoff,N_erosion,N_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
2009,0.0,-50.15291659456738,50.15291659456738,-92.24626742668272,41.409416692579015,0.6837861711383761,0.00014796839794668326,0.0
2010,1040.0,1716.3463489855706,-676.3463489855706,1411.581307262346,79.87618485405287,20.51576914945714,0.4027076717903458,203.97038004792452
2011,520.0,3204.0950514009155,-2684.0950514009155,1237.5077738527573,691.2037443284662,142.59619176112292,0.5364593361002122,1132.250882122469
2012,4160.0,4681.420736383599,-521.4207363835994,1600.6244151777319,1098.9837724951356,81.894387891371,0.2926760140373554,1899.6254848053236
2013,1560.0,4625.037539091527,-3065.037539091527,-1236.1778033676956,2958.916662106859,187.98009577540876,1.419441356241781,2712.8991432207126
2014,2080.0,4597.082498624573,-2517.0824986245734,-1380.7827256076193,2140.9677634304817,139.03939565216018,1.5773843784925394,3696.280680771058
2015,0.0,4864.11632145185,-4864.11632145185,-754.5240205879799,1850.0260876939858,68.4047497359454,3.928823838840856,3696.280680771058
2016,1560.0,4164.858244711607,-2604.858244711607,-948.5522830102886,540.0551417934566,15.852618330140471,2.210635932142699,4555.292131666156
