year,actual,calculated,difference,delta,VS,N,P,other_solids,VS_liquid,N_liquid,P_liquid,TS_DM_effluent,other_liquids,manure_applied
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,1721571864.4649808,47614394.15447854,1673957470.3105023,740582.1751900834,36451335.72504742,4186333024.4786096,2846989398.5744863,-7059211462.430793,29823820.138675153,9768110390.450087,4270484097.8617296,2812396.938206271,-14039501662.135767,529.6758505991003
2010,28896246926.244102,733189517.3422054,28163057408.901897,2074668.332205666,603242537.8483765,63067215344.91523,43908382695.423584,-107405601196.17859,463738256.2827235,137388725414.35204,61592089945.27362,43191829.138632484,-213037328579.82187,1442.2799661395502
2011,81784847348.71562,1582206076.141347,80202641272.57428,1423333.5242480733,1704980701.7303205,180166680478.99408,125089106027.45543,-306474437164.1092,901422134.0852264,273232085312.85074,121771084998.04756,83805892.72779211,-608089605426.4597,959.5132102882267
2012,152323141175.33044,2381714041.4702797,149941427133.86017,1128009.4916852508,3173757380.4867396,340160301274.5891,234889901700.9193,-577325193367.1241,1201726373.5279777,373318448523.05524,164701193510.196,111680676.34143847,-1146202318585.7922,951.0694299484967
2013,240320446667.11148,3287915271.608983,237032531395.5025,1196923.1887128185,5005210337.316624,543141467656.7668,373185885816.0702,-919923067064.0516,1498461510.1335483,473622721558.4152,207443976172.72617,139245253.9078213,-1827405040329.0725,936.0389724457057
2014,346232248084.0453,4316356968.997589,341915891115.0477,1236961.5040201154,7208845744.423488,789867571395.0981,540540870182.4664,-1335595962539.992,1802974423.99652,575694242056.1042,251032476549.59448,167530493.0621213,-2654310543245.723,926.909316583348
2015,470309427429.8546,5464510451.164725,464844916978.6899,1229816.8918884788,9789924618.697536,1080854190761.3148,737333436943.2416,-1825241712904.5637,2111791806.2242293,678968778521.1725,295188850141.1638,196212812.7516315,-3628689388379.943,919.9482610393461
2016,562935835815.5076,5419621100.91025,557516214714.5973,822049.2702767588,11716510052.069233,1299051871187.7305,884612712426.084,-2192112947173.1802,1576297172.758663,509127920994.971,220918913224.2636,146452866.66797316,-4358907094552.5605,521.0365125377663
