year,NO3_average,NH4_average,active_N_average,stable_N_average,org_N_average
,kg,kg,kg,kg,kg
2009,13.700243735597091,0.1442608588805493,0.0,0.0,0.0
2010,18.522489736866845,1.7375213402086644,0.0010050447921517952,1.4805248721839116e-05,0.0
2011,73.90046753545845,8.248004107153376,0.2874790541269168,0.010418958861445799,0.0
2012,192.85674471558536,9.066521164080498,2.01365366044569,0.15476598559020038,0.0
