county_code,108,107,110,18,23,44,51,50,52,95,94,100,104,176,91,301,302,303,304,305
1003,0.2,0.2,0.21,0.23,0.32,1.605859,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1005,0.2,0.2,0.21,0.23,0.32,0.741154,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1009,0.2,0.2,0.21,0.23,0.32,1.219191,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1011,0.2,0.2,0.21,0.23,0.32,0.840204,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1015,0.2,0.2,0.21,0.23,0.32,2.034028,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1017,0.2,0.2,0.21,0.23,0.32,1.358072,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1021,0.2,0.2,0.21,0.23,0.32,0.929492,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1029,0.2,0.2,0.21,0.23,0.32,0.489173,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1033,0.2,0.2,0.21,0.23,0.32,1.623297,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1039,0.2,0.2,0.21,0.23,0.32,0.833532,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1041,0.2,0.2,0.21,0.23,0.32,0.787208,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1043,0.2,0.2,0.21,0.23,0.32,0.437932,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
1049,0.2,0.2,0.21,0.23,0.32,0.537666,0.15,0.15,0.15,0.23,0.23,0.24,0.24,0.24,0.24,0.32,0.55,0.55,0.55,0.55
