county_code,4,18,23,25,31,36,44,50,51,52,58,60,66,79,91,94,95,97,104,107,108,110,119,120,144,154,155,163,167,200,202,216,230,233,236,248,301,302,303,304,305,306
55009,0.313139168,0.39817,0.0007,0.343473152,0.871407191,0.563856449,0.29,0.15,0.15,0.15,1.590360709,1.590360709,0.74,0.0007,0.39817,0.2,0.2,0.24,0.21,0.2,0.2,0.21,2.151845749,0.83879,0.28405,0.23688,0.23688,0.45990579,0.4,0,1.794,0.4,0.40924,0.40924,2.09256,0.40924,0.32,0.32,0.32,0.32,0.32,0.32
