year,runoff,drainage,erosion,ET,manure_applied,manure_N_applied,manure_P_applied,N_runoff,P_runoff,N_drainage,P_drainage,N_erosion,P_erosion,yield,N_yield,P_yield
,mm H2O,mm H2O,ton / ha,mm H2O,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1970,1991.3151142139172,3102.2058322239036,10.921522308514811,2582.744145181038,161.92511262412225,37851.41693485833,19500.0,38.13145990938633,160.20870136430196,0.0,0.0,34.49645454465604,23.3881310876099,18251.31333859326,779.13395503298,34.59951484525764
1971,1299.0009884257047,1828.2366778043545,2.7362438957309503,2370.930655241907,69.75017805377973,20906.790782275897,10800.0,76.59673019844675,184.50213530200244,0.0,0.0,18.556777515389136,11.414889857465354,18424.71957701851,768.3108042102649,36.999653420160215
1972,1013.8837970461261,1728.8862657491827,1.5175981013138393,2258.820736476574,0.0,0.0,0.0,151.87607499928862,178.1529265210926,0.0,0.0,8.674811252460643,7.210960722511407,32564.815023662533,1435.462466646632,56.41843859766985
1973,1933.7421125948235,1691.2917437760393,7.3713336547788195,2718.4858401716615,1.7517263570703712,593.538185243495,300.0,118.32053000137344,191.11391705739794,0.0,0.0,11.07353079764409,16.958999634967284,24871.00808514144,1037.121036724618,49.790306547639105
1974,1538.0622259641689,2403.724255873474,3.0151935602194566,2068.742882805999,1.7299331106266307,596.649246047921,300.0,334.550370523878,210.25279731466023,0.0,0.0,11.880142146099852,14.873707340944756,34714.43887911776,1581.8756336465467,54.42548725725169
1975,1259.4045147651254,1521.6806040869283,3.224800819119755,2600.5510785203564,77.37278603179935,26924.411282684636,13500.0,166.8001657551517,228.92588037612177,0.0,0.0,11.14777651690031,10.440698451704842,28413.47097895472,1184.841733946941,57.173848597468066
1976,2250.021007802521,3541.607928753229,2.659882655439581,2247.0869872995886,59.84889233436796,20994.493756899294,10500.0,338.1225957478991,346.99484168029335,0.0,0.0,34.293764768777095,24.836295582523636,53385.61541230326,2388.442699618361,88.52169644300362
1977,2157.881550732496,3217.8593865440457,3.4747013055648748,2397.478075010801,1.7003466099082307,601.4149756374791,300.0,215.86981821366103,419.3342537631481,0.0,0.0,23.927791850495062,24.657533323960575,51155.11048698452,2286.792980871921,85.04507433113147
1978,1189.7642462913393,2050.784909317886,2.5531604768420486,2121.8527396241634,16.945752822141113,6023.330991320036,3000.0,290.7439023003386,297.79050430473177,0.0,0.0,23.90258436737398,24.25288567032973,14586.943550349595,609.2335245177378,29.269556087925594
