 Variable Name , Definition , Default and Range 
 neutral_detergent_fiber_concentration ," Neutral detergent fiber concentration, % DM ",-
 ethyl_ester_concentration ," Ether extract (crude fat) concentration, % DM ",-
 starch_concentration ," Starch concentration in the diet, % DM ",-
