year,j_day,num_animals,manure,U,TAN_s,MN,Mkg,VSd,VSnd,WIP_frac,WOP_frac,p_excrt_manure,p_frac
,,,g,g,g,g,g,g,g,g,g,g,g
2009,244,800,46663.69924781578,56.6550526351951,33.59639680040607,101114.06218109299,18066.09314158136,1893878.5742696226,226425.65790203636,0.3202850035911343,0.03202850035911342,46663.69924781578,0.6405700071822686
2009,251,800,44775.74095132218,55.49486570654591,32.83001134330696,98847.89311191587,17619.36014299471,1848058.9313437445,220947.61779150323,0.30749497161377964,0.030749497161377922,44775.74095132218,0.6149899432275593
2009,258,800,43416.15033912468,54.80052119761779,32.335890838385595,97396.98088175914,17318.646343936973,1817512.5027264925,217295.5910511478,0.2983213462355536,0.029832134623555374,43416.15033912468,0.5966426924711072
2009,265,800,41411.74709644219,52.973825223935194,31.16576457063285,93901.20419140322,16654.62589605702,1748783.0383376754,209078.53088534813,0.28470438635541995,0.028470438635542,41411.74709644219,0.5694087727108399
2009,272,800,40592.026018071854,52.552908578814524,30.815014767894642,92867.4730752457,16427.420446763736,1725873.2168747364,206339.51083008156,0.2792221067398661,0.027922210673986606,40592.026018071854,0.5584442134797322
2009,279,800,46478.83773070416,60.69957492779453,35.5002067971466,107010.0146920647,18891.010938754687,1985517.8601213787,237381.7381231026,0.3198477821932357,0.031984778219323586,46478.83773070416,0.6396955643864713
2009,286,800,46001.14556375057,60.58909758063683,35.29970492756853,106432.81353629945,18734.897039225856,1970244.6458127527,235555.7247529249,0.31674186307366947,0.03167418630736693,46001.14556375057,0.6334837261473389
2009,293,800,46031.01993712153,61.13456882930288,35.49809858371547,107060.50247080214,18798.025688990147,1977881.2529670657,236468.73143801375,0.3171074415164481,0.031710744151644786,46031.01993712153,0.6342148830328962
2009,300,800,45679.3593635154,61.294728296404514,35.4384737539413,106911.54929754474,18714.28583922574,1970244.6458127527,235555.7247529249,0.3148732902762026,0.0314873290276203,45679.3593635154,0.6297465805524052
2009,307,1351,45992.95720606282,62.12303279869809,35.77998167647339,107972.51015785457,18849.73723875463,1985517.8601213787,237381.7381231026,0.3171955393101188,0.03171955393101184,45992.95720606282,0.6343910786202376
2009,314,1382,45550.21412711937,61.98619655164061,35.567663220425366,107363.27311982063,18695.72093922579,1970244.6458127527,235555.7247529249,0.3142944554673504,0.03142944554673505,45550.21412711937,0.6285889109347008
2009,321,1382,45863.2190038003,62.8499548194158,35.9123509736669,108442.59538194741,18830.670738754714,1985517.8601213787,237381.7381231026,0.3166209973214912,0.03166209973214912,45863.2190038003,0.6332419946429824
2009,328,1383,45780.4285830386,63.2518135111483,35.98340498902439,108706.8321744202,18819.721038754757,1985517.8601213787,237381.7381231026,0.31623426363310936,0.03162342636331092,45780.4285830386,0.6324685272662187
2009,335,1396,45796.67550428932,63.516088211834536,36.02694067177786,108874.93292336495,18813.052038754755,1985517.8601213787,237381.7381231026,0.31645718469792133,0.031645718469792146,45796.67550428932,0.6329143693958427
2009,342,1400,45729.41947877301,64.006626575172,36.11019578738343,109193.17102940052,18800.09023875462,1985517.8601213787,237381.7381231026,0.31621153526061496,0.03162115352606151,45729.41947877301,0.6324230705212299
2009,349,1402,45366.50111008436,63.84698464981655,35.88529928674888,108567.54199862412,18646.82633922577,1970244.6458127527,235555.7247529249,0.313846728529834,0.03138467285298336,45366.50111008436,0.627693457059668
2009,356,1404,45671.796825031044,64.8549692287363,36.2454616699476,109739.36249462182,18778.06543875465,1985517.8601213787,237381.7381231026,0.3161839450615396,0.03161839450615398,45671.796825031044,0.6323678901230791
2009,363,1405,45340.35210755375,64.71489438444664,36.01965777285646,109121.64532092871,18624.73313922581,1970244.6458127527,235555.7247529249,0.31403802196242514,0.03140380219624251,45340.35210755375,0.6280760439248503
2010,5,1408,45664.61249484267,65.54249934378745,36.34632683616652,110179.43286975188,18760.458138754628,1985517.8601213787,237381.7381231026,0.31643113224869834,0.031643113224869845,45664.61249484267,0.6328622644973967
