pen_id,sim_day,num_animals,num_cows,animal_types,housing_type,bedding_type,handler_type,separator_type,treatment_type,manure__urea__g/L,manure__TAN__g/L,manure__N__kg,manure__manure_mass__kg,manure__TS__kg,manure__VSd__kg,manure__VSnd__kg,manure__WIP_frac,manure__WOP_frac,manure__P__kg,manure__P_frac,manure__K__kg,manure__CH4_animal__g/day,handler__pen_id,handler__simulation_day,handler__urea__g/L,handler__TAN__g/L,handler__N__kg,handler__TS__kg,handler__VSd__kg,handler__VSnd__kg,handler__VS_total__kg,handler__P__kg,handler__K__kg,handler__manure_volume__m^3,handler__cleaning_water_volume__m^3,handler__total_bedding_volume__m^3,handler__total_water_volume_in_milking_center__m^3,handler__total_daily_manure_volume__m^3,rp__pen_id,rp__simulation_day,rp__urea__g/L,rp__TAN__g/L,rp__N__kg,rp__TS__kg,rp__VSd__kg,rp__VSnd__kg,rp__VS_total__kg,rp__P__kg,rp__K__kg,rp__total_daily_manure_volume__m^3,sep__pen_id,sep__simulation_day,sep__total_daily_manure_volume__m^3,sep__final_solids_wet_mass__kg,sep__final_solids_wet_mass_volume__m^3,sep__TS_solid__kg,sep__VS_solid__kg,sep__N_solid__kg,sep__P_solid__kg,sep__K_solid__kg,sep__TS__kg,sep__VS_total__kg,sep__N__kg,sep__TAN__g/L,sep__P__kg,sep__K__kg,sep__final_daily_volume,tx__pen_id,tx__simulation_day,tx__TAN__g/L,tx__N__kg,tx__TS__kg,tx__VS_total__kg,tx__P__kg,tx__K__kg,tx__final_manure_volume__m^3
first,count,mean,mean,first,first,first,first,first,first,mean,mean,sum,sum,sum,sum,sum,mean,mean,sum,mean,sum,mean,first,count,mean,mean,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,first,count,mean,mean,sum,sum,sum,sum,sum,sum,sum,sum,first,count,sum,first,first,first,first,first,first,first,sum,sum,sum,mean,sum,sum,sum,first,count,mean,sum,sum,sum,sum,sum,sum
0,21,93.57142857142857,0.0,Calf,open air barn,sawdust,manual scraping,none,slurry storage underfloor,0.06,0.03,98.25,17822.55,2141.85,1198.65,589.5,0.00022,2e-05,0.01965,0.00044,58.95,93.57142857142857,0,21,0.06,0.03,98.25,2141.85,1198.65,589.5,1788.15,0.01965,58.95,18.002578,19.65,15.484200000000001,0.0,53.136778,0,21,0.06,0.03,98.25,6443.016665,1198.65,589.5,1788.15,0.01965,58.95,53.136778,,0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0,21,0.0165,88.425,5798.715,1430.52,0.018673,56.0025,53.136778
1,21,831.0,0.0,"HeiferI, HeiferII",open air barn,sawdust,manual scraping,none,slurry storage outdoor,0.24,0.1,2443.14,475016.22,70502.04,42754.950000000004,17451.0,0.00036,4e-05,349.02000000000004,0.00073,2094.12,997.2,1,21,0.24,0.1,2443.14,70502.04,42754.950000000004,17451.0,60205.95,349.02000000000004,2094.12,479.814363,174.51000000000002,137.51388,0.0,791.838243,1,21,0.24,0.1,2443.14,108700.340007,42754.950000000004,17451.0,60205.95,349.02000000000004,2094.12,791.838243,,0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,1,21,0.055,2198.826,97830.30600000001,48164.76,331.569,1989.414,791.838243
2,21,179.0,166.0,"HeiferIII, Cow",open air barn,sawdust,manual scraping,none,slurry storage underfloor,0.332737,0.137095,893.88,146994.72,19037.14,11153.31,4976.2,0.0005041428571428572,5.319047619047619e-05,160.16,0.001009047619047619,515.52,225.02857142857144,2,21,0.332737,0.137095,893.88,19037.14,11153.31,4976.2,16129.51,160.16,515.52,148.479515,37.59,29.620919999999998,104.58000000000001,320.270435,2,21,0.332737,0.137095,893.88,27265.173331,11153.31,4976.2,16129.51,160.16,515.52,320.270435,,0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,2,21,0.075402,804.492,24538.656,12903.608,152.15200000000002,489.74399999999997,320.270435
3,21,851.0,851.0,Cow,open air barn,sawdust,flush system,rotary screen,slurry storage outdoor,0.34,0.14,8037.0599999999995,1230602.01,158730.77,87820.11,47095.7,0.0007197619047619048,6.928571428571429e-05,1739.5,0.0014394285714285715,3691.71,1266.7857142857142,3,21,0.34,0.14,8037.0599999999995,158730.77,87820.11,47095.7,134915.81,1739.5,3691.71,1243.032333,13528.347,140.82348,536.13,15448.332812999999,3,21,0.34,0.14,8037.0599999999995,197848.403324,87820.11,47095.7,134915.81,1739.5,3691.71,15448.332812999999,3.0,21,15448.332812999999,8212.555238,20.531388,2874.394333,3280.605,117.438,17.02,41.1033,138493.882331,67457.905,5625.942,0.126,1391.6,2842.6167,15024.37195,3,21,0.0693,5063.3478000000005,124644.4941,53966.324,1322.02,2700.485865,15024.37195
