pen_id,sim_day,num_animals,num_cows,animal_types,housing_type,bedding_type,handler_type,separator_type,treatment_type,manure__urea__g/L,manure__TAN__g/L,manure__N__kg,manure__manure_mass__kg,manure__TS__kg,manure__VSd__kg,manure__VSnd__kg,manure__WIP_frac,manure__WOP_frac,manure__P__kg,manure__P_frac,manure__K__kg,manure__CH4_animal__g/day,handler__pen_id,handler__simulation_day,handler__urea__g/L,handler__TAN__g/L,handler__N__kg,handler__TS__kg,handler__VSd__kg,handler__VSnd__kg,handler__VS_total__kg,handler__P__kg,handler__K__kg,handler__manure_volume__m^3,handler__cleaning_water_volume__m^3,handler__total_bedding_volume__m^3,handler__total_water_volume_in_milking_center__m^3,handler__total_daily_manure_volume__m^3,rp__pen_id,rp__simulation_day,rp__urea__g/L,rp__TAN__g/L,rp__N__kg,rp__TS__kg,rp__VSd__kg,rp__VSnd__kg,rp__VS_total__kg,rp__P__kg,rp__K__kg,rp__total_daily_manure_volume__m^3,sep__pen_id,sep__simulation_day,sep__total_daily_manure_volume__m^3,sep__final_solids_wet_mass__kg,sep__final_solids_wet_mass_volume__m^3,sep__TS_solid__kg,sep__VS_solid__kg,sep__N_solid__kg,sep__P_solid__kg,sep__K_solid__kg,sep__TS__kg,sep__VS_total__kg,sep__N__kg,sep__TAN__g/L,sep__P__kg,sep__K__kg,sep__final_daily_volume,tx__pen_id,tx__simulation_day,tx__TAN__g/L,tx__N__kg,tx__TS__kg,tx__VS_total__kg,tx__P__kg,tx__K__kg,tx__final_manure_volume__m^3
first,count,mean,mean,first,first,first,first,first,first,mean,mean,sum,sum,sum,sum,sum,mean,mean,sum,mean,sum,mean,first,count,mean,mean,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,first,count,mean,mean,sum,sum,sum,sum,sum,sum,sum,sum,first,count,sum,first,first,first,first,first,first,first,sum,sum,sum,mean,sum,sum,sum,first,count,mean,sum,sum,sum,sum,sum,sum
0,751,106.745672436751,0.0,Calf,open air barn,sawdust,manual scraping,none,slurry storage underfloor,0.05999999999999999,0.029999999999999995,4008.3,727105.62,87380.94,48901.26,24049.8,0.00022,2e-05,0.80166,0.00044,2404.98,106.745672436751,0,751,0.05999999999999999,0.029999999999999995,4008.3,87380.94,48901.26,24049.8,72951.06,0.80166,2404.98,734.450129,801.66,631.70808,0.0,2167.818209,0,751,0.05999999999999999,0.029999999999999995,4008.3,262855.406658,48901.26,24049.8,72951.06,0.80166,2404.98,2167.818209,,0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0,751,0.0165,3607.47,236569.866,58360.848,0.761762,2284.731,2167.818209
1,751,742.1997336884154,0.0,"HeiferI, HeiferII",open air barn,sawdust,manual scraping,none,slurry storage outdoor,0.23999999999999996,0.1,78034.88,15172210.24,2251863.68,1365610.4,557392.0,0.0003600000000000001,4e-05,11147.84,0.00073,66887.04,890.6396804260986,1,751,0.23999999999999996,0.1,78034.88,2251863.68,1365610.4,557392.0,1923002.4,11147.84,66887.04,15325.464858,5573.92,4392.24896,0.0,25291.633818,1,751,0.23999999999999996,0.1,78034.88,3471932.835476,1365610.4,557392.0,1923002.4,11147.84,66887.04,25291.633818,,0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,1,751,0.055,70231.392,3124739.552,1538401.92,10590.448,63542.688,25291.633818
2,751,144.07589880159787,137.40479360852197,"Cow, HeiferIII",open air barn,sawdust,manual scraping,none,slurry storage underfloor,0.3358359107856192,0.13833432889480693,29281.95,4726522.11,610614.95,352979.85,164705.6,0.000537595206391478,5.5631158455392806e-05,5522.59,0.0010755992010652463,15975.54,186.16857523302264,2,751,0.3358359107856192,0.13833432889480693,29281.95,610614.95,352979.85,164705.6,517685.45,5522.59,15975.54,4774.264742,1082.01,852.62388,3095.73,9804.628622,2,751,0.3358359107856192,0.13833432889480693,29281.95,847454.916637,352979.85,164705.6,517685.45,5522.59,15975.54,9804.628622,,0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,2,751,0.07608391478029294,26353.755,762709.425,414148.36,5246.4605,15176.763,9804.628622
3,751,883.0306258322237,883.0306258322237,Cow,open air barn,sawdust,flush system,rotary screen,slurry storage outdoor,0.34,0.14,299013.75,45774468.06,5904351.7,3266056.8,1752504.1,0.0007208788282290279,6.93728362183755e-05,64750.19,0.0014417563249001333,137250.09,1315.6126498002664,3,751,0.34,0.14,299013.75,5904351.7,3266056.8,1752504.1,5018560.9,64750.19,137250.09,46236.836442,502009.092,5225.66928,19894.68,573366.277722,3,751,0.34,0.14,299013.75,7355926.499967,3266056.8,1752504.1,5018560.9,64750.19,137250.09,573366.277722,3.0,751,573366.277722,8212.555238,20.531388,2874.394333,3280.605,117.438,17.02,41.1033,5149148.550067,2509280.45,209309.625,0.126,51800.152,105682.5693,557603.578063,3,751,0.0693,188378.6625,4634233.695,2007424.36,49210.1444,100398.440835,557603.578063
