year,j_day,flush_water_volume,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,WIP,WOP,CH4
,,liters,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,244,1608528.6859754804,7720.937692682305,15039.74321387074,15867.152378347208,895.0996446145559,2021.1527300530452,22519.401603656723,12305.244447712423,37023.35554947682,1342.6494669218341,11453.19880363392,1930.2344231705765,1753.3823926020825,175.3382392602082,380920.69202553085
2009,245,1608524.9581754804,7720.919799242305,15039.708358940738,15871.416406345896,1188.3957914661848,2021.8291251825322,22519.349414456723,12305.215930042421,37033.30494814042,1782.593687199277,11457.031709367682,1930.2299498105765,2210.5358102594637,221.05358102594633,380920.69202553085
2009,246,1608521.2303754804,7720.901905802306,15039.673504010741,15875.685241282321,1188.4073743198674,2023.6436324835322,22519.297225256723,12305.187412372423,37043.265562992085,1782.6110614798008,11467.313917406686,1930.2254764505765,2210.5540877649687,221.05540877649685,380920.69202553085
2009,247,1608517.5025754801,7720.884012362303,15039.63864908074,15879.958734176347,1188.419210667843,2022.9082104266545,22519.245036056724,12305.158894702423,37053.23704641149,1782.6288160017643,11463.146525751039,1930.2210030905758,2210.5729397752198,221.05729397752188,380920.69202553085
2009,248,1608513.78047548,7720.866146282305,15039.603847445742,15884.236739322681,1188.4312925805677,2020.4018299764793,22519.192926656724,12305.130420637423,37063.2190584196,1782.6469388708517,11448.943703200046,1930.2165365705762,2210.592325551589,221.05923255515876,380920.69202553085
2009,249,1608510.0583754801,7720.848280202306,15039.569045810742,15888.519114227725,1188.443612303291,2019.070384610539,22519.140817256724,12305.101946572424,37073.21126653137,1782.6654184549366,11441.39884612639,1930.2120700505766,2210.6122532917993,221.06122532918002,380920.69202553085
2009,250,1608506.3476754802,7720.830468842306,15039.534350765742,15892.763440139315,1188.4559837814725,2018.8382267363195,22519.088867456725,12305.073559717424,37083.1146936584,1782.6839756722086,11440.08328483915,1930.2076172105765,2210.632623064977,221.06326230649776,380920.69202553085
2009,251,1608981.1552675448,7723.109545284218,15043.973801751546,19014.408504562714,1084.1132460960923,2220.396657090945,22525.73617374563,12308.705837796717,44366.953177313015,1626.1698691441381,12582.247723515358,1930.7773863210548,2166.123626854821,216.61236268548217,384817.71429934213
2009,252,1608977.444567545,7723.091733924215,15043.939106706546,19018.449779809845,1142.6755893449165,2215.2853208560828,22525.684223945627,12308.677450941717,44376.38281955631,1714.0133840173746,12553.283484851134,1930.7729334810538,2243.762311700981,224.37623117009818,384817.71429934213
2009,253,1608973.733867545,7723.073922564215,15043.904411661546,19022.498046087458,1142.6836582579836,2212.7441265055913,22525.632274145628,12308.649064086718,44385.82877420407,1714.0254873869753,12538.883383531687,1930.7684806410537,2243.784170444887,224.37841704448851,384817.71429934213
2009,254,1608970.023167545,7723.056111204214,15043.869716616546,19026.55310013953,1142.6920965737424,2217.90380611225,22525.580324345632,12308.620677231718,44395.29056699224,1714.0381448606138,12568.121567969421,1930.7640278010535,2243.8065016190017,224.38065016190012,384817.71429934213
2009,255,1608966.312467545,7723.038299844216,15043.835021571547,19030.614743093654,1142.7008934692049,2209.605724856412,22525.528374545633,12308.592290376717,44404.76773388518,1714.0513402038073,12521.099107519669,1930.759574961054,2243.8292908690255,224.3829290869027,384817.71429934213
2009,256,1608962.601767545,7723.020488484215,15043.800326526547,19034.682780377203,1142.7100383553843,2212.8186614721017,22525.47642474563,12308.563903521717,44414.259820880136,1714.0650575330765,12539.305748341909,1930.755122121054,2243.8525241568027,224.38525241568033,384817.71429934213
2009,257,1608958.891067545,7723.002677124215,15043.765631481545,19038.757021635,1142.7195208728156,2211.7653239618357,22525.424474945634,12308.535516666716,44423.76638381499,1714.0792813092232,12533.336835783732,1930.750669281054,2243.876187754171,224.3876187754171,384817.71429934213
2009,258,1608818.1060974663,7722.326909267838,15042.44929201131,18649.985711938985,1097.0726988134545,2188.5240454840077,22523.45348536453,12307.458511645616,43516.63332785765,1645.6090482201814,12401.636257742708,1930.5817273169596,2183.423821011376,218.34238210113767,383850.7091657997
2009,259,1608814.4067974663,7722.309152627839,15042.414703556315,18654.048289783597,1143.9400653873108,2176.6725578265396,22523.40169516453,12307.430212000618,43526.112676161734,1715.9100980809662,12334.47782768372,1930.5772881569596,2235.520290532417,223.55202905324174,383850.7091657997
2009,260,1608810.7074974664,7722.291395987838,15042.380115101314,18658.117241273685,1143.9492600262265,2187.0674529589087,22523.349904964532,12307.401912355617,43535.60689630525,1715.9238900393398,12393.382233433813,1930.5728489969597,2235.54593925868,223.5545939258681,383850.7091657997
