year,j_day,num_animals_in_pen,average_growth,average_milk,average_p_animal,average_p_req
,,,kg,kg,g,g
2009,244,248,-0.4124999999999985,16.072954501788534,3600.0,0
2009,251,242,-0.4124999999999986,25.884930741089214,3582.0742339466155,34.41874476545691
2009,258,238,-0.4124999999999987,29.64064217815763,3564.12386636973,36.99806117877625
2009,265,229,-0.41249999999999887,31.925467250137626,3546.1591104199765,38.62742638350976
2009,272,226,-0.4124999999999989,33.695061183886274,3528.192535352363,39.76317714184706
2009,279,260,-0.3966346153846139,34.39128670477053,3526.5098108479765,40.72252225384259
2009,286,258,-0.40930232558139373,35.56114763905538,3505.4899510290666,41.18809648036097
2009,293,259,-0.41090733590733425,36.42822000703118,3489.5739412665666,41.81649035192512
2009,300,258,-0.4124999999999983,37.38591610197274,3471.6629170620045,42.261983638413554
2009,307,260,-0.4093269230769214,37.72172394933627,3457.3845770951766,42.67893472242443
2009,314,258,-0.4124999999999983,38.09581915641787,3451.1977882032743,42.93710396013232
2009,321,260,-0.41091346153845987,38.34393869838271,3430.2836270773682,43.156616560583416
2009,328,260,-0.4124999999999983,38.765452319396644,3411.5395185324223,43.32255548300416
2009,335,260,-0.41091346153845987,38.711819305019716,3409.1862673286996,43.48970733430891
2009,342,260,-0.4124999999999983,39.06883554613787,3383.6171964447362,43.58247949562542
2009,349,258,-0.41090116279069605,39.18716391028563,3368.2462886302883,43.83967472171548
2009,356,260,-0.4124999999999983,39.37602682204144,3330.210229476629,43.766035164250695
2009,363,258,-0.41090116279069605,39.30667071387069,3318.0013099791545,43.84618518082675
2010,5,260,-0.4124999999999983,39.42543265403199,3316.309986006614,43.90193630199799
2010,12,260,-0.4124999999999983,39.39639061271305,3303.0543127299725,43.84252505943037
2010,19,260,-0.4124999999999983,39.344428416551565,3277.8791041859404,43.74742450262529
2010,26,258,-0.41090116279069605,39.22170298878855,3264.0846477740647,43.77171521437769
2010,33,260,-0.4093269230769214,39.14612111380006,3245.479392933354,43.66612124770555
2010,40,259,-0.41090733590733425,39.018760341703974,3224.164970549511,43.7755270996583
2010,47,260,-0.41091346153845987,39.070130904574555,3222.8163205244055,43.53843157468973
2010,54,258,-0.4124999999999983,39.016715918933556,3195.456413159337,43.57543186063091
2010,61,260,-0.41091346153845987,38.72473579293936,3177.9058051895177,43.434261090306094
2010,68,259,-0.4124999999999983,38.477732948928974,3154.5676640315883,43.325405699653146
2010,75,260,-0.41091346153845987,38.32340926827201,3147.5969684763086,43.174137143277875
2010,82,258,-0.4124999999999983,38.158718654723884,3130.521748610459,43.047189574753965
2010,89,259,-0.4124999999999983,38.00447608418646,3105.3229305083296,42.92422644219833
2010,96,258,-0.4124999999999983,37.65488617272623,3094.1738492936115,42.76920375106466
2010,103,259,-0.4124999999999983,37.40016683744958,3075.083696751071,42.57049461252521
2010,110,259,-0.41090733590733425,37.28542778977295,3063.779271808006,42.53618670912347
2010,117,260,-0.4124999999999983,37.140800398602416,3042.0467309107494,42.37101885945735
2010,124,259,-0.4124999999999983,36.90683650545834,3031.511605714244,42.211415411977526
2010,131,259,-0.4124999999999983,36.843841853299665,3025.1328463750006,41.99553707306911
2010,138,258,-0.4124999999999983,36.55962830127808,2992.8106385475417,42.05217974726097
2010,145,258,-0.4124999999999983,36.37338886423716,2977.8909475724013,41.807782296788226
2010,152,269,-0.4109665427509276,36.028526181999105,2950.362950371218,41.58342959953458
2010,159,277,-0.4095216606498176,35.685086413336094,2932.5175315343436,41.39610075505916
2010,166,275,-0.4124999999999981,35.683014842819404,2926.4806060171827,41.87756016807608
2010,173,275,-0.4124999999999981,35.408544843981126,2921.1286231553663,42.26181330913085
2010,180,266,-0.4124999999999982,35.09043506221256,2906.218155594486,42.267888312537046
2010,187,208,-0.4124999999999993,35.095226061622284,2906.771735994892,41.9001473171361
