year,actual,calculated,difference,delta,runoff,evaporation,transpiration,drainage
,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
2009,262.89,262.89,0.0,0.929,66.818,63.775,0.0,131.368
2010,1027.43,1027.43,-0.0,-1.806,269.992,266.732,119.815,372.698
2011,872.49,872.49,-0.0,3.139,199.491,252.372,117.097,300.391
2012,582.168,582.168,0.0,-0.529,97.385,230.47,129.225,125.617
2013,941.07,941.07,-0.0,-1.922,270.61,248.85,157.597,265.935
2014,892.048,892.048,0.0,-0.309,249.107,221.798,137.33,284.122
2015,922.528,922.528,0.0,3.809,204.904,230.59,147.19,336.035
2016,774.192,774.192,-0.0,-3.761,190.896,208.799,110.908,267.351
