year,j_day,calf_num,calf_percent,heiferI_num,heiferI_percent,heiferII_num,heiferII_percent,heiferIII_num,heiferIII_percent,cow_num,cow_percent,sold_heifer_num,bought_heifer_num,culled_heifer_num,culled_cow_num,cow_num_for_parity_1,cow_percent_for_parity_1,avg_age_for_parity_1,avg_age_for_calving_1,cow_num_for_parity_2,cow_percent_for_parity_2,avg_age_for_parity_2,avg_age_for_calving_2,cow_num_for_parity_3,cow_percent_for_parity_3,avg_age_for_parity_3,avg_age_for_calving_3,cow_num_for_parity_greater_than_3,cow_percent_for_parity_greater_than_3,avg_age_for_parity_greater_than_3,avg_age_for_calving_greater_than_3,culled for low production_num,culled for low production_percent,culled for lameness_num,culled for lameness_percent,culled for injury_num,culled for injury_percent,culled for mastitis_num,culled for mastitis_percent,culled for disease_num,culled for disease_percent,culled for udder_num,culled for udder_percent,culled for unknown_num,culled for unknown_percent,GnRH_injections,PGF_injections,ai_num,preg_check_num,sold_calf_num,cumulated_milk_production,open_cow_num,vwp_cow_num,non_preg_cow_percent,preg_cow_num,preg_cow_percent,milking_cow_num,milking_cow_percent,dry_cow_num,dry_cow_percent,average_days_in_milk,average_days_in_preg,average_cow_body_weight,average_parity_number,avg_caving_interval,avg_breeding_to_preg_time,avg_heifer_culling_age,avg_cow_culling_age,avg_mature_body_weight,avg_calving_to_preg_time_for_parity_1,avg_calving_to_preg_time_for_parity_2,avg_calving_to_preg_time_for_parity_3,avg_calving_to_preg_time_for_parity_greater_than_3
,,,%,,%,,%,,%,,%,,,,,,%,d,d,,%,d,d,,%,d,d,,%,d,d,,,,,,,,,,,,,,,,,,,,kg,,,%,,%,,%,,%,d,d,kg,,d,d,d,d,kg,d,d,d,d
2009,244,68,3.5453597497393115,444,23.149113660062564,371,19.34306569343066,47,2.450469238790407,988,51.51199165797706,25,0,0,8,431,43.62348178137652,899.8445475638052,682.7053364269142,289,29.251012145748987,1289.4775086505183,1083.6228373702422,169,17.105263157894736,1728.9526627218936,1523.727810650888,99,10.020242914979757,2062.545454545454,1937.8315789473684,8,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4,0,16,0,33307.718053473196,253,253,51.21457489878543,0,0.0,846,85.62753036437248,142,14.37246963562753,181.06382978723397,0,715.6352088628311,1.9190283400809716,412.7721518987343,131.0,0,1802.0,744.1242874615689,0,0,0,0
2009,245,72,3.761755485893417,444,23.197492163009404,375,19.59247648902821,27,1.4106583072100314,996,52.03761755485894,0,0,0,0,432,43.373493975903614,900.7476851851852,682.7129629629629,292,29.31726907630522,1290.544520547945,1083.1027397260277,172,17.269076305220885,1728.406976744186,1523.7383720930234,100,10.040160642570282,2064.0200000000023,1938.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,20,0,33670.896555495325,250,250,50.20080321285141,0,0.0,854,85.7429718875502,142,14.257028112449799,182.02693208430927,0,715.7557084961311,1.9236947791164658,412.6785714285714,62.666666666666664,0,0,743.6806619926273,0,0,0,0
2009,246,71,3.709508881922675,446,23.301985370950888,374,19.54022988505747,26,1.3584117032392893,997,52.08986415882968,0,0,0,0,432,43.329989969909725,901.7476851851852,682.7129629629629,292,29.287863590772318,1291.544520547945,1083.1027397260277,172,17.251755265797392,1729.406976744186,1523.7383720930234,101,10.130391173520561,2050.9702970297053,1938.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,31,0,33649.604000994404,245,245,49.14744232698094,0,0.0,854,85.65697091273822,143,14.343029087261785,183.02693208430927,0,715.759919369189,1.921765295887663,412.6785714285714,40.8,0,0,743.542524704435,0,0,0,0
2009,247,70,3.664921465968586,445,23.298429319371728,372,19.476439790575917,27,1.4136125654450262,996,52.14659685863874,0,0,0,1,432,43.373493975903614,902.7476851851852,682.7129629629629,291,29.21686746987952,1292.7079037800688,1083.3711340206194,171,17.16867469879518,1728.8187134502923,1523.4269005847955,102,10.240963855421686,2039.1568627451004,1938.5833333333333,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,14,0,39,0,33668.75764184663,246,246,49.39759036144578,0,0.0,852,85.54216867469879,144,14.457831325301203,183.67605633802825,0,715.3974392324377,1.9186746987951808,412.7741935483871,31.428571428571427,0,2002.0,743.3304711365708,0,0,0,0
2009,248,71,3.719224724986904,440,23.048716605552645,375,19.643792561550548,27,1.4143530644316398,996,52.17391304347826,0,0,0,1,432,43.373493975903614,903.7476851851852,682.7129629629629,290,29.116465863453815,1292.78275862069,1083.1137931034482,171,17.16867469879518,1729.8187134502923,1523.4269005847955,103,10.341365461847388,2026.6601941747595,1938.5833333333333,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,15,0,43,0,33603.098302260485,246,246,49.39759036144578,0,0.0,851,85.4417670682731,145,14.558232931726907,184.41715628672154,0,715.5580477487098,1.9166666666666667,412.60682226211856,28.5,0,1483.0,743.7386063007965,0,0,0,0
2009,249,69,3.6125654450261777,442,23.141361256544503,375,19.63350785340314,25,1.3089005235602094,999,52.303664921465966,0,0,0,0,432,43.24324324324324,904.7476851851852,682.7129629629629,291,29.129129129129126,1293.8865979381449,1083.1993127147766,171,17.117117117117118,1730.8187134502923,1523.4269005847955,105,10.51051051051051,2001.6285714285737,1938.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,0,51,0,33668.76222488231,245,245,49.049049049049046,0,0.0,852,85.28528528528528,147,14.714714714714713,185.45422535211253,0,715.5748414683662,1.912912912912913,412.68100358422953,28.5,0,0,743.691667124832,0,0,0,0
2009,250,70,3.6726128016789086,437,22.927597061909758,375,19.67471143756558,29,1.521511017838405,995,52.20356768100734,0,0,0,2,430,43.21608040201005,905.4813953488372,682.7302325581389,290,29.145728643216078,1293.4551724137928,1082.5517241379298,171,17.185929648241206,1731.8187134502923,1523.4269005847955,104,10.452261306532664,1996.8750000000002,1935.9473684210527,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,23,0,61,0,33543.15097723626,240,240,48.24120603015075,0,0.0,848,85.22613065326632,147,14.773869346733667,185.6556603773585,0,715.3586313854584,1.9125628140703517,412.7697841726619,28.5,0,2155.5,743.7139270002443,0,0,0,0
2009,251,68,3.56020942408377,441,23.089005235602095,373,19.528795811518325,31,1.6230366492146597,997,52.19895287958115,0,0,0,0,432,43.329989969909725,906.7430555555554,682.7129629629629,290,29.087261785356066,1294.4551724137928,1082.5517241379298,171,17.151454363089268,1732.8187134502923,1523.4269005847955,104,10.431293881644935,1997.8750000000002,1935.9473684210527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,0,66,0,33609.36148065344,237,237,47.54262788365095,0,0.0,850,85.25576730190572,147,14.744232698094283,186.8870588235294,0,715.4970720431239,1.910732196589769,412.7697841726619,42.49999999999999,0,0,743.7436212878486,0,0,0,0
2009,252,65,3.4067085953878404,443,23.21802935010482,371,19.444444444444446,31,1.6247379454926623,998,52.30607966457023,0,0,0,0,432,43.28657314629258,907.7430555555554,682.7129629629629,290,29.058116232464933,1295.4551724137928,1082.5517241379298,171,17.13426853707415,1733.8187134502923,1523.4269005847955,105,10.521042084168336,1985.9047619047622,1935.9473684210527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,42,0,72,0,33534.97344802634,234,234,46.893787575150306,0,0.0,850,85.17034068136272,148,14.829659318637276,187.8870588235294,0,715.5231656741898,1.9088176352705408,412.7697841726619,50.46666666666667,0,0,743.8366218282935,0,0,0,0
