year,actual,calculated,difference,delta,N_drainage,N_runoff,N_erosion,N_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
2009,0.0,-0.0726646980133244,0.0726646980133244,-44.686457913459236,43.862197920793534,0.7515463114882561,4.898316412274495e-05,0.0
2010,1040.0,1716.2795554474744,-676.2795554474744,1408.3082638791311,81.79930360426123,20.521479402852545,0.4024750813185885,205.24803347991093
2011,520.0,3192.269892073252,-2672.269892073252,1228.3573767981566,687.3915608457006,142.4560900162208,0.5363319539815611,1133.5285324591923
2012,4160.0,3394.0797566739584,765.9202433260416,794.0680503915146,640.502539151155,58.23975319703044,0.22508699355356312,1901.044326940705
