year,j_day,profile_SW,runoff,drainage,erosion,ET,manure_applied,manure_N_applied,manure_P_applied,profile_N,profile_P,N_runoff,P_runoff,N_drainage,P_drainage,N_erosion,P_erosion,yield,N_yield,P_yield
,,mm H2O,mm H2O,mm H2O,ton / ha,mm H2O,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2011,130,948.9881576169828,0.7764119960014328,0.0,0.0007161706521426156,5.661602368307604,0.0,0.0,0.0,12821.959246874141,374095.8119121218,0.8412995471529385,70.35927531363247,0.0,0.0,0.11118287614621832,0.04123272109366113,0.0,0.0,0.0
2011,131,932.6904162497591,0.0,0.0,0.0,16.297741367223672,0.0,0.0,0.0,12859.3390905329,374096.16399381706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,132,931.5090456095977,0.0,0.0,0.0,13.627370640161377,0.0,0.0,0.0,12894.674669661854,374096.0410725175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,133,909.3195399388796,0.0,7.150843951146585,0.0,15.038661719571511,0.0,0.0,0.0,12918.208208079768,374095.7478623049,0.0,0.0,11.04036662719517,0.0012275327440961128,0.0,0.0,0.0,0.0,0.0
2011,134,923.0927163137006,0.0,0.0,0.0,7.562823625179071,0.0,0.0,0.0,12949.378640358653,374095.28707412805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,135,924.3308995099871,0.0,0.0,0.0,9.429816803713374,0.0,0.0,0.0,12978.705862305787,374094.4608538716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,136,912.667361898119,0.0,0.0,0.0,11.663537611868298,0.0,0.0,0.0,13007.947015604066,374093.372217403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,137,901.6139527583988,0.0,0.0,0.0,11.053409139720062,0.0,0.0,0.0,13035.428956953485,374092.3846076438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,138,891.0983221572355,0.0,0.0,0.0,10.515630601163267,0.0,0.0,0.0,13063.938053961792,374091.1684919506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,139,884.6389282831083,0.0,0.0,0.0,6.459393874127327,0.0,0.0,0.0,13099.960976329829,374090.25836069253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
