year,runoff,drainage,erosion,ET,manure_applied,manure_N_applied,manure_P_applied,N_runoff,P_runoff,N_drainage,P_drainage,N_erosion,P_erosion,yield,N_yield,P_yield
,mm H2O,mm H2O,ton / ha,mm H2O,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,467.7291188326503,919.5762755318369,3.6020526339984604,446.4234915581851,0.0,0.0,0.0,5.260824180417794,2.293141405897989,307.0353854455547,0.14197024484585988,0.0003428821488592146,3.8780449937552306,0.0,0.0,0.0
2010,1880.5657673213552,2664.664271863775,4.9324851030449475,2658.7244660433216,5787887.119075587,335440.0,286600.0,1805.9154896840018,2719.8270989683097,5958.765704310838,5034.087152339081,128.85717092529885,80.97097007646828,61396.69864002163,2893.7352858754543,102.16889323771929
2011,1432.141897373968,2255.0550337099867,1.4424049941303447,2396.4095508181913,11934645.881698696,221560.0,220900.0,781.3397733519371,3943.977566167783,7536.726096118077,245.45147288178768,78.50925590714519,65.27723230441728,65422.14812622706,2917.535117591922,109.61460058001566
2012,415.6937442824372,742.5991290106525,0.46661390334468816,1928.396782713311,19372184.65760389,228840.0,225100.0,266.46474507997425,2611.8140826771505,4296.364217332424,1108.6867936226843,31.568604999315536,26.83560022656744,35759.47080932503,1558.158951532331,64.0026653326823
